[['Dimitri Mohamed', 'startMemberOf', 'FK Borac Čačak', '2022-01-01']]
[['Aneta Dědinová', 'startMemberOf', 'Celtic F. C.', '2022-04-30']]
[['Adam Varadi', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2022-04-30']]
[['Rajesh V U002E Chopdekar', 'endMemberOf', 'FC Rosengård 1917', '2022-04-30']]
[['Konstantinos Vlachonasios', 'startMemberOf', 'FC Arsenal Dzerzhinsk', '2022-04-30']]
[['Rodrigo Pesántez Rodas', 'endMemberOf', 'Ecuador U0027 S National History Academy', '2022-04-30']]
[['John Solder', 'endWorksFor', 'University of Utah', '2022-04-30']]
[['Michael Matricciani', 'endMemberOf', 'North Eastern MetroStars SC', '2022-04-30']]
[['Francesco Chicchi', 'endMemberOf', 'Liquigas', '2022-04-30']]
[['Johnny Kelly', 'endMemberOf', 'Seventh Void', '2022-04-30']]
[['Radostina Marinova', 'startMemberOf', 'Kazanlak Volley', '2022-04-30']]
[['Hovhannes Hambardzumyan', 'startMemberOf', 'FK Ventspils', '2022-05-01']]
[['Jordan Lister', 'startMemberOf', 'Arbroath F. C.', '2022-05-01']]
[['Etoagwara Onyenegecha', 'endMemberOf', 'Cal State Northridge Matadors men\' s basketball', '2022-05-01']]
[['David Manley', 'endWorksFor', 'University of Bristol', '2022-05-01']]
[['Travis Smith', 'endMemberOf', 'Grambling State Tigers men\' s basketball', '2022-05-01']]
[['Regilio Vrede', 'startMemberOf', 'FC Andorra', '2022-05-01']]
[['Snehasish Chakraborty', 'startMemberOf', 'FC Adeli Batumi', '2022-05-01']]
[['Giampiero de Carli', 'startMemberOf', 'Rugby Rovigo Delta', '2022-05-01']]
[['Iker Seguín', 'startMemberOf', 'Royal Pari F. C.', '2022-05-01']]
[['Juvenal Edjogo-Owono', 'endMemberOf', 'South Korea national football team generic instance', '2022-05-01']]
[['Ferydoon Zandi', 'startMemberOf', 'Tufts Medical Center', '2022-05-01']]
[['Enrico Cortese', 'endMemberOf', 'A. S. D. Flaminia Civita Castellana', '2022-05-01']]
[['Darrius Garrett', 'startMemberOf', 'BC Andorra', '2022-05-01']]
[['Viktor Götesson', 'startMemberOf', 'Club Brugge KV', '2022-05-01']]
[['Ahmad Al Saleh', 'endMemberOf', 'Syria national under-23 football team', '2022-05-01']]
[['Almudena Nuno-Gonzalez', 'endWorksFor', 'Clínica Planas', '2022-05-01']]
[['Arthur Atzianov', 'startMemberOf', 'Hapoel Ironi Safed F. C.', '2022-05-01']]
[['Darren Anderton', 'startMemberOf', 'Ottawa Fury FC', '2022-05-01']]
[['Ivan Herceg ( footballer)', 'startMemberOf', 'Fehérvár FC', '2022-05-01']]
[['Abdul Bangura', 'startMemberOf', 'Ottawa Fury FC', '2022-05-01']]
[['Dean Kowalski', 'startMemberOf', 'Soles de Santo Domingo Este', '2022-05-01']]
[['Fernando Tobio', 'endMemberOf', 'Sociedade Esportiva Palmeiras', '2022-05-01']]
[['Georgios Alexopoulos', 'startMemberOf', 'FC Andorra', '2022-05-01']]
[['Victor A Leon', 'endWorksFor', 'New Jersey City University', '2022-05-01']]
[['Serkan Özdemir', 'startMemberOf', 'PFC Akademik Sofia', '2022-05-01']]
[['Kene Eze', 'startMemberOf', 'FK Rudar Prijedor', '2022-05-01']]
[['Steven Naylor', 'startMemberOf', 'Auckland cricket team', '2022-05-01']]
[['Marko Jakšić ( footballer, born 1983)', 'startMemberOf', 'Asteras Magoula F. C.', '2022-05-01']]
[['Jonathan Woods', 'endMemberOf', 'FC Vestsjælland', '2022-05-01']]
[['Akira Onoda', 'startMemberOf', 'NK Zagreb', '2022-05-01']]
[['Sanchez Hughley', 'startMemberOf', 'San-en NeoPhoenix', '2022-05-01']]
[['Austin Loop', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-05-01']]
[['Dmitriy Dmitriyev', 'startMemberOf', 'FC Smorgon', '2022-05-01']]
[['Nattapon Woratayanan', 'startMemberOf', 'Trat F. C.', '2022-05-01']]
[['Nicolae Josan', 'endMemberOf', 'FC Iskra-Stal', '2022-05-01']]
[['Sergei Temryukov', 'endMemberOf', 'Sauber F1 Team', '2022-05-01']]
[['Fabio Batagini Quinteiro', 'endWorksFor', 'Federal University of Pelotas', '2022-05-01']]
[['Germain Garcia', 'startMemberOf', 'University of Tübingen', '2022-05-01']]
[['Sabrina Semmler', 'endWorksFor', 'German Research Foundation', '2022-05-01']]
[['Filip Almström-Tähti', 'endMemberOf', 'Örgryte Is Fotboll', '2022-05-01']]
[['Zhi Yaqi', 'startMemberOf', 'C. D. Real Sociedad', '2022-05-01']]
[['Brandon Holtz', 'startMemberOf', 'Jackson State Tigers basketball', '2022-05-01']]
[['Kieran Lee', 'startMemberOf', 'Ottawa Fury FC', '2022-05-01']]
[['Seo Yong-duk', 'endMemberOf', 'Omiya Ardija', '2022-05-01']]
[['Shigeki Kato', 'endMemberOf', 'German Research Foundation', '2022-05-01']]
[['Diana Bogas', 'endWorksFor', 'University of Minho', '2022-05-01']]
[['Mykyta Polyulyakh', 'startMemberOf', 'FC Stal Alchevsk', '2022-05-01']]
[['Mark Taylor ( rugby union, born 1973)', 'startMemberOf', 'Ospreys ( rugby union)', '2022-05-01']]
[['Aidas Preikšaitis', 'startMemberOf', 'Concordia Piotrków Trybunalski', '2022-05-01']]
[['Spyros Sfenthourakis', 'endWorksFor', 'University of Patras', '2022-05-01']]
[['Marek Krátký', 'endMemberOf', 'Czech Republic national under-21 football team', '2022-05-01']]
[['Richard Njoku', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2022-05-01']]
[['Matt Annen', 'startMemberOf', 'Virginia Cavaliers men\' s basketball', '2022-05-01']]
[['Giovanni Lonardi', 'endMemberOf', 'Green Project– Bardiani– CSF– Faizanè', '2022-05-01']]
[['Kodi Maduka', 'endMemberOf', 'FC Sher Bishkek', '2022-05-01']]
[['Alberto Hernández ( footballer)', 'startMemberOf', 'K. A. A. Gent', '2022-05-01']]
[['José Miguel Elías', 'startMemberOf', 'UAE Team Emirates', '2022-05-01']]
[['Ryan Edwards ( American soccer)', 'endMemberOf', 'FC Andorra', '2022-05-01']]
[['Wallace Smith Broecker', 'startMemberOf', 'National University of Malaysia', '2022-05-01']]
[['Bassam Alkotaini', 'endWorksFor', 'Perak F. C.', '2022-05-01']]
[['Stavrion Lako', 'endMemberOf', 'KF Skënderbeu Korçë', '2022-05-01']]
[['Yazid Kaïssi', 'startMemberOf', 'FC Andorra', '2022-05-01']]
[['Larry Mcgaughney', 'endMemberOf', 'Fresno State Bulldogs men\' s basketball', '2022-05-01']]
[['Mardhie Coleman', 'endWorksFor', 'University of Canberra', '2022-05-01']]
[['Aitor Blanco', 'startMemberOf', 'UD Vecindario', '2022-05-01']]
[['Damjan Ošlaj', 'startMemberOf', 'Lincoln United F. C.', '2022-05-01']]
[['Stefaan J Soenen', 'endWorksFor', 'Ghent University', '2022-05-01']]
[['Neeraj Gupta', 'endMemberOf', 'Hinckley United F. C.', '2022-05-01']]
[['Alexandre Seny', 'endMemberOf', 'T. Palm– Pôle Continental Wallon', '2022-05-01']]
[['Murray Cox', 'startAcademicDegree', 'Master Of Creative Writing generic instance', '2022-05-01']]
[['Hana Naiclerová', 'endMemberOf', 'Pro 2016', '2022-05-01']]
[['Aleksander Kwiek', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2022-05-01']]
[['Thanh Hoa Tran', 'startMemberOf', 'KU Leuven', '2022-05-01']]
[['Elvir Čolić', 'endMemberOf', 'NK Čelik Zenica', '2022-05-01']]
[['Otto Fajardo', 'endWorksFor', 'Friedrich Miescher Institute for Biomedical Research', '2022-05-01']]
[['Jerran Foster', 'startMemberOf', 'Xavier Musketeers men\' s basketball', '2022-05-01']]
[['Kazuhiro Mori ( footballer)', 'startMemberOf', 'Júbilo Iwata', '2022-05-01']]
[['Stewart Fallon', 'endWorksFor', 'Lawrence Livermore National Laboratory', '2022-05-01']]
[['Yawhen Marozaw', 'startMemberOf', 'Trat F. C.', '2022-05-01']]
[['Dibakar Sahoo', 'endWorksFor', 'Lund University', '2022-05-01']]
[['Quentin Bonnet', 'endMemberOf', 'Vendée Poiré-sur-Vie Football', '2022-05-01']]
[['Darius Kampa', 'startMemberOf', 'Fehérvár FC', '2022-05-01']]
[['Anton Apatin', 'startMemberOf', 'FC Karelia Petrozavodsk', '2022-05-01']]
[['Ariadna Gutiérrez ( cyclist)', 'startMemberOf', 'Massi– Tactic Women Team', '2022-05-01']]
[['Oskar Hertz', 'startMemberOf', 'Team Co U003A Play-Giant', '2022-05-01']]
[['Christoph Huber-Huber', 'endWorksFor', 'University of Vienna', '2022-05-01']]
[['Bryce McGain', 'startMemberOf', 'Karachi Kings', '2022-05-01']]
[['Asive Langwe', 'endWorksFor', 'Türkgücü München', '2022-05-01']]
[['Won Hee-ryong', 'endMemberOf', 'Bareunmirae Party', '2022-05-01']]
[['Jun Tao', 'endMemberOf', 'Jiangsu F. C.', '2022-05-01']]
[['Stephan Mielke', 'endWorksFor', 'University Hospital Würzburg', '2022-05-01']]
[['Oscar van Dillen', 'startMemberOf', 'Free Software Foundation', '2022-05-01']]
[['Tyler King', 'startMemberOf', 'Ole Miss Rebels men\' s basketball', '2022-05-01']]
[['Rodrigue Djahue', 'endMemberOf', 'Miami Hurricanes men\' s basketball', '2022-05-01']]
[['Dominique Pandor', 'startMemberOf', 'Beşiktaş J. K.', '2022-05-01']]
[['Letícia Batista Silva', 'endWorksFor', 'Instituto Nacional De Câncer', '2022-05-01']]
[['Bobby Bowry', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-05-01']]
[['Eli Parquet', 'endMemberOf', 'Colorado Buffaloes men\' s basketball', '2022-05-01']]
[['Heinz Mörschel', 'startMemberOf', 'KFC Uerdingen 05', '2022-05-01']]
[['Sara Casasola', 'startMemberOf', 'Lviv Cycling Team ( women\' s team)', '2022-05-01']]
[['Amir Hadžiahmetović', 'startMemberOf', 'Antalyaspor', '2022-05-01']]
[['Alex Doolan', 'startMemberOf', 'Wellington cricket team', '2022-05-01']]
[['Anny Cárdenas', 'endWorksFor', 'German Research Foundation', '2022-05-01']]
[['Amos Turchet', 'endWorksFor', 'Chalmers University of Technology', '2022-05-01']]
[['Cédric Fauré', 'startMemberOf', 'Asteras Magoula F. C.', '2022-05-01']]
[['Frédéric Weis', 'startMemberOf', 'CB Granollers', '2022-05-01']]
[['Alison Tetrick', 'endMemberOf', 'A. R. Monex Women\' s Pro Cycling Team', '2022-05-01']]
[['Tim Sills', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-05-01']]
[['Giorgi Mamardashvili', 'startMemberOf', 'FC Dinamo Batumi', '2022-05-01']]
[['Khalid Ibrahim', 'endMemberOf', 'People\' s Justice Party ( Malaysia)', '2022-05-01']]
[['Nicolás Mazzina', 'startMemberOf', 'Redbridge F. C.', '2022-05-01']]
[['Shazlan Alias', 'startMemberOf', 'Harimau Muda A', '2022-05-01']]
[['Ben Lambert', 'endWorksFor', 'Havas', '2022-05-01']]
[['Feng Chen', 'startMemberOf', 'FC Tekstilshchik Ivanovo', '2022-05-01']]
[['Joshua Reineke', 'endWorksFor', 'Karmanos Cancer Institute', '2022-05-01']]
[['Vanja Sisirak', 'endWorksFor', 'New York University', '2022-05-01']]
[['Casey R Wade', 'endWorksFor', 'Brandeis University', '2022-05-01']]
[['Mohamed Diakite', 'endMemberOf', 'St. John\' s Red Storm men\' s basketball', '2022-05-01']]
[['Tobi Sho-Silva', 'startMemberOf', 'Trat F. C.', '2022-05-01']]
[['Devanshi D Dave', 'endWorksFor', 'Alpha College Of Engineering And Technology', '2022-05-01']]
[['Stéphane Veilleux', 'endPlaysIn', 'National Hockey League', '2022-05-01']]
[['Mia Tosi', 'endWorksFor', 'CERN', '2022-05-01']]
[['Luis Miguel Escalada', 'endMemberOf', 'Real Salt Lake', '2022-05-01']]
[['Denny Landzaat', 'startMemberOf', 'Fehérvár FC', '2022-05-02']]
[['Mitch Stockentree', 'startMemberOf', 'Fehérvár FC', '2022-05-03']]
[['Deiniol Jones', 'startMemberOf', 'Ospreys ( rugby union)', '2022-05-04']]
[['Joel Gysin', 'startMemberOf', 'Linköping Ibk', '2022-05-04']]
[['Sharon Chepchumba Kiprono', 'endMemberOf', 'Kenya Pipeline ( volleyball)', '2022-05-04']]
[['Márton Lorentz', 'endMemberOf', 'Puskás Akadémia FC', '2022-05-04']]
[['Giada Ferraro', 'endMemberOf', 'A. S. D. Fiammamonza 1970', '2022-05-05']]
[['Chad Johnson', 'endMemberOf', 'New England Patriots', '2022-05-05']]
[['Aleksei Vanyushin', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2022-05-05']]
[['Sardar Azmoun', 'startMemberOf', 'Gol Gohar Sirjan F. C.', '2022-05-05']]
[['Alois Grussmann', 'endMemberOf', 'FK Třinec', '2022-05-05']]
[['Devaughn Elliott', 'startMemberOf', 'New York City FC', '2022-05-06']]
[['Nuno Carmo', 'endWorksFor', 'Instituto de Medicina Molecular', '2022-05-06']]
[['Deepak Mondal', 'startMemberOf', 'S. C. Farense', '2022-05-06']]
[['David Ferris', 'endWorksFor', 'Dartmouth College', '2022-05-08']]
[['Ying-Chu Chen', 'endWorksFor', 'Karlsruhe Institute of Technology', '2022-05-08']]
[['Baptiste Lafleuriel', 'startMemberOf', 'Le Puy Foot 43 Auvergne', '2022-05-08']]
[['Viktoria Mircheva', 'startMemberOf', 'Dynamo Kursk', '2022-05-08']]
[['Vital Nadziewski', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2022-05-08']]
[['Pasi Laaksonen', 'startMemberOf', 'FC Vestsjælland', '2022-05-08']]
[['Dan Pangrazio', 'endMemberOf', 'BC Andorra', '2022-05-09']]
[['Charles Biétry', 'endWorksFor', 'France Télévisions', '2022-05-09']]
[['Jimmy Yobo', 'startMemberOf', 'Montpellier Hérault Rugby', '2022-05-09']]
[['Jin Ho Bae', 'endMemberOf', 'Sarpsborg 08 FF', '2022-05-09']]
[['Ariel Germiniani', 'endMemberOf', 'Fort Lauderdale Strikers ( 2006– 2016)', '2022-05-09']]
[['Yasmany López', 'endMemberOf', 'FC Villa Clara', '2022-05-10']]
[['Alain Rochat', 'startMemberOf', 'Ottawa Fury FC', '2022-05-10']]
[['Mohamad Mido', 'endMemberOf', 'Syria national under-23 football team', '2022-05-10']]
[['Sarah Courtois', 'endWorksFor', 'University of Bordeaux', '2022-05-10']]
[['Abderrahman Atifi', 'endMemberOf', 'Hakoah Amidar Ramat Gan F. C.', '2022-05-10']]
[['Constantin Gângioveanu', 'endMemberOf', 'FC Rapid București', '2022-05-10']]
[['Declan McManus', 'endWorksFor', 'Vila Nova Futebol Clube', '2022-05-10']]
[['Rauf Aliyev', 'startMemberOf', 'Neftchala FK', '2022-05-10']]
[['Travis Fuller', 'endMemberOf', 'Brown Bears men\' s basketball', '2022-05-10']]
[['Jeffrey Viggiano', 'startMemberOf', 'Chiba Jets Funabashi', '2022-05-10']]
[['Melissa A Elafros', 'startMemberOf', 'Greece national football team', '2022-05-10']]
[['Kim Lee Ng', 'endMemberOf', 'Manchester United W. F. C.', '2022-05-10']]
[['Yolimar Gil', 'endWorksFor', 'Institut De Ciència De Materials De Barcelona', '2022-05-10']]
[['Leif Otto Paulsen', 'startMemberOf', 'Eintracht Braunschweig', '2022-05-10']]
[['Steffen Jahn', 'endWorksFor', 'University of Göttingen', '2022-05-10']]
[['Rimantas Žvingilas', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2022-05-10']]
[['Jehad Abubaker', 'endWorksFor', 'King Faisal Specialist Hospital and Research Centre', '2022-05-10']]
[['Johann Duveau', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2022-05-10']]
[['Corinne Morel Darleux', 'startMemberOf', 'La France Insoumise', '2022-05-10']]
[['Fredrik Lundvall', 'endWorksFor', 'University of Oslo', '2022-05-10']]
[['Gabriel da Silva', 'startMemberOf', 'Esporte Clube Bahia', '2022-05-10']]
[['Khalil Iverson', 'endMemberOf', 'Wisconsin Badgers men\' s basketball', '2022-05-10']]
[['Bertrand Calenge', 'startMemberOf', 'German Research Foundation', '2022-05-10']]
[['Jerry Santos', 'endMemberOf', 'Coastal Union F. C.', '2022-05-10']]
[['Longhui Qiu', 'endMemberOf', 'Fehérvár FC', '2022-05-10']]
[['Carla Silva', 'startMemberOf', 'S. S. D. F. C. Trapani 1905', '2022-05-10']]
[['Amitash Ojha', 'startMemberOf', 'Antwerp Giants', '2022-05-10']]
[['Benoit Dorais', 'startMemberOf', 'Club América', '2022-05-10']]
[['Tanaboon Kesarat', 'startMemberOf', 'Suphanburi F. C.', '2022-05-10']]
[['Yoon Jung-chun', 'startMemberOf', 'Trat F. C.', '2022-05-10']]
[['Ágúst Gylfason', 'endMemberOf', 'Ungmennafélagið Fjölnir', '2022-05-10']]
[['Michael Mogaladi', 'endMemberOf', 'Maritzburg United F. C.', '2022-05-10']]
[['Mario Cassano', 'startMemberOf', 'Persepam Madura Utama', '2022-05-10']]
[['Marat Shakhmetov', 'startMemberOf', 'German Research Foundation', '2022-05-10']]
[['Nic Thomas', 'endMemberOf', 'Norfolk State Spartans men\' s basketball', '2022-05-10']]
[['Patricia Corriols-Noval', 'endWorksFor', 'Marqués de Valdecilla University Hospital', '2022-05-10']]
[['Sylvain Georges', 'startMemberOf', 'AG2R Citroën Team', '2022-05-10']]
[['', 'endMemberOf', 'Esporte Clube Passo Fundo', '2022-05-10']]
[['Vincent C U002E Holmberg', 'startMemberOf', 'Dorados de Sinaloa', '2022-05-10']]
[['Armand Ossey', 'startMemberOf', 'S. F. K. Pierikos ( football)', '2022-05-10']]
[['Mark Barnard', 'endMemberOf', 'Stalybridge Celtic F. C.', '2022-05-10']]
[['Rachael S Clark', 'endMemberOf', 'Great Wakering Rovers F. C.', '2022-05-11']]
[['Uzair Mahomed', 'startMemberOf', 'FC Andorra', '2022-05-11']]
[['Evgeny Grachyov', 'endMemberOf', 'Gazprom-Ugra Yugorsk', '2022-05-11']]
[['Vladislav Morozov', 'startMemberOf', 'Deportivo Cali', '2022-05-11']]
[['Kazuhiro Ninomiya ( footballer)', 'startMemberOf', 'Júbilo Iwata', '2022-05-11']]
[['Jeremy Hayes', 'endMemberOf', 'Louisiana Ragin\' Cajuns men\' s basketball', '2022-05-11']]
[['Salvatore Antoci', 'endWorksFor', 'Istituto Zooprofilattico Sperimentale Del Piemonte Liguria E Valle D U0027 Aosta', '2022-05-12']]
[['Marc Magre', 'endWorksFor', 'RWTH Aachen University', '2022-05-12']]
[['Song Chang-ho', 'endMemberOf', 'Max Planck Institute for Intelligent Systems', '2022-05-12']]
[['Dorothea Brüggemann', 'endWorksFor', 'Daegu FC', '2022-05-12']]
[['Makan Dembélé', 'startMemberOf', 'Al Ahli SC ( Doha)', '2022-05-12']]
[['Chase Adams', 'endMemberOf', 'Montana Grizzlies basketball', '2022-05-12']]
[['Marco Campani', 'endWorksFor', 'National Research Council ( Italy)', '2022-05-12']]
[['Dan Oppland', 'endMemberOf', 'Valparaiso Beacons men\' s basketball', '2022-05-13']]
[['Behnam Barzay', 'startMemberOf', 'Gol Gohar Sirjan F. C.', '2022-05-13']]
[['Oleksandr Spivak', 'endMemberOf', 'FC Zenit Saint Petersburg', '2022-05-13']]
[['Ahtyba Rubin', 'startMemberOf', 'Kansas City Chiefs', '2022-05-13']]
[['Marius Obekop', 'endMemberOf', 'New York Red Bulls', '2022-05-13']]
[['A. J. Bouye', 'startMemberOf', 'Los Angeles Rams', '2022-05-14']]
[['Viktor Kuzmichyov', 'startMemberOf', 'Gol Gohar Sirjan F. C.', '2022-05-14']]
[['Marius Mapou', 'startMemberOf', 'AS Lössi', '2022-05-14']]
[['Dan Gibbons', 'startMemberOf', 'Sam Houston Bearkats men\' s basketball', '2022-05-14']]
[['Mark A U002E Bradford', 'endWorksFor', 'University of Georgia', '2022-05-14']]
[['John Clifford', 'startMemberOf', 'Utah Utes men\' s basketball', '2022-05-14']]
[['Rashawn Browne', 'startMemberOf', 'Hiroshima Dragonflies', '2022-05-14']]
[['Alicia González Blanco', 'startMemberOf', 'Wielerclub De Sprinters Malderen', '2022-05-14']]
[['Craig Jennings', 'endMemberOf', 'Northamptonshire County Cricket Club', '2022-05-14']]
[['Jermaine Bucknor', 'startMemberOf', 'Clube 15 de Novembro', '2022-05-14']]
[['Alba Prades Dòria', 'startMemberOf', 'Pays D U0027 Aix Natation', '2022-05-14']]
[['Emily Jenkins', 'endMemberOf', 'Harlequin Ladies Football Club', '2022-05-14']]
[['Magdalena Jozefowicz-Korczynska', 'endMemberOf', 'ES Troyes AC', '2022-05-14']]
[['Mckay Anderson', 'endWorksFor', 'S. C. Farense', '2022-05-14']]
[['Txiki ( footballer, born 1979)', 'startMemberOf', 'FC Andorra', '2022-05-14']]
[['Dustin Corea', 'endMemberOf', 'C. D. Atlético Marte', '2022-05-14']]
[['Edgar Santos-Fernandez', 'endWorksFor', 'Massey University - Wellington Campus', '2022-05-15']]
[['Hua-Lei Yin', 'endWorksFor', 'Zhejiang University', '2022-05-15']]
[['Joanne Lucas', 'endWorksFor', 'University of East Anglia', '2022-05-15']]
[['László Kovács ( politician)', 'endMemberOf', 'German Research Foundation', '2022-05-15']]
[['Alessio Ambrogetti', 'startMemberOf', 'Olbia Calcio 1905', '2022-05-15']]
[['Supaphorn Prompinit', 'startMemberOf', 'TOT S. C.', '2022-05-15']]
[['Naved-ul-Hasan', 'startMemberOf', 'Karachi Kings', '2022-05-15']]
[['Tobias Kongstad', 'startMemberOf', 'Team Js U002E Dk', '2022-05-15']]
[['Iraq', 'endMemberOf', 'FC Triesenberg', '2022-05-16']]
[['Marina Ruy Barbosa', 'startMemberOf', 'Ayr United F. C.', '2022-05-16']]
[['J\' Nathan Bullock', 'endMemberOf', 'Cleveland State Vikings men\' s basketball', '2022-05-16']]
[['Sebastian Salas', 'endMemberOf', 'Human Powered Health ( men\' s team)', '2022-05-16']]
[['Jacintha Weimar', 'startMemberOf', 'Grêmio Foot-Ball Porto Alegrense', '2022-05-16']]
[['Eloy Teruel', 'startMemberOf', 'UAE Team Emirates', '2022-05-16']]
[['Ray Gaddis', 'endMemberOf', 'Philadelphia Union', '2022-05-16']]
[['Muhamed Demiri', 'endMemberOf', 'FC Thun', '2022-05-16']]
[['Rachel Carroll', 'endWorksFor', 'Medical University of South Carolina', '2022-05-17']]
[['Giulia Di Dalmazi', 'endWorksFor', 'Johns Hopkins Medicine', '2022-05-17']]
[['Cátia Batista', 'endWorksFor', 'Trinity College Dublin', '2022-05-18']]
[['A U002E Hierro-Rodriguez', 'endWorksFor', 'University Of Glasgow School Of Physics And Astronomy', '2022-05-18']]
[['Daniel Gramatikov', 'startMemberOf', 'PFC Slavia Sofia', '2022-05-18']]
[['Djimmie Van Putten', 'endMemberOf', 'VVV-Venlo', '2022-05-18']]
[['Stephen O U0027 Suji', 'startMemberOf', 'Norfolk State Spartans men\' s basketball', '2022-05-19']]
[['Leandro ( footballer, born 1980)', 'endMemberOf', 'Sanat Mes Kerman F. C.', '2022-05-19']]
[['Juan Pérez-Fernández', 'endWorksFor', 'University of Vigo', '2022-05-19']]
[['Adama Soumaré', 'startMemberOf', 'Comoros national football team', '2022-05-20']]
[['Malik Rhodes', 'startMemberOf', 'Kansas Jayhawks men\' s basketball', '2022-05-20']]
[['Márcio Carioca', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-05-21']]
[['Tatiana Matveeva ( footballer)', 'endMemberOf', 'Ataşehir Belediyespor', '2022-05-21']]
[['Colette M Mckay', 'endWorksFor', 'University of Manchester', '2022-05-21']]
[['Abby Dahlkemper', 'startMemberOf', 'FC Vestsjælland', '2022-05-21']]
[['Purwaka Yudhi', 'endMemberOf', 'Indonesia national under-23 football team', '2022-05-22']]
[['Pedro Martins', 'startMemberOf', 'US Orléans', '2022-05-22']]
[['Georgi Nedyalkov', 'endMemberOf', 'OFC Kom Berkovitsa', '2022-05-22']]
[['Ron Manigault', 'startMemberOf', 'CB Peñas Huesca', '2022-05-22']]
[['Connor Ogilvie', 'startMemberOf', 'New York City FC', '2022-05-23']]
[['Aarón Suárez', 'endMemberOf', 'Asociación Deportiva Juventud Escazuceña', '2022-05-24']]
[['Upendra Reddy Kora', 'endWorksFor', 'Ipca Laboratories', '2022-05-24']]
[['Carlos Guijas', 'endWorksFor', 'University of São Paulo', '2022-05-25']]
[['Mattia Valoti', 'startMemberOf', 'Virtus Entella', '2022-05-25']]
[['Max Hilaire', 'startMemberOf', 'Le Puy Foot 43 Auvergne', '2022-05-25']]
[['Barbora Špačková', 'endWorksFor', 'Chalmers University of Technology', '2022-05-25']]
[['Dantez Walton', 'endMemberOf', 'Northern Kentucky Norse men\' s basketball', '2022-05-25']]
[['Romario Martin', 'startMemberOf', 'AFC Rushden & Diamonds', '2022-05-25']]
[['Kinga Klivinyi', 'startMemberOf', 'Viborg Hk', '2022-05-26']]
[['Sara G Payne', 'endMemberOf', 'Munster Rugby', '2022-05-26']]
[['Kirthikaa Balapattabi', 'endMemberOf', 'Weston-super-Mare A. F. C.', '2022-05-26']]
[['Santiago Romero', 'startMemberOf', 'Chacarita Juniors', '2022-05-27']]
[['Oliver Hannon-Dalby', 'startMemberOf', 'Middlesex County Cricket Club', '2022-05-28']]
[['Larssyn Rüegg', 'startMemberOf', 'Équipe Paule Ka', '2022-05-28']]
[['Michel Breuer', 'endMemberOf', 'Sparta Rotterdam', '2022-05-29']]
[['Mohammad Hafeez', 'startMemberOf', 'Karachi Kings', '2022-05-29']]
[['Eleni Ntokou', 'endMemberOf', 'Persiwa Wamena', '2022-05-30']]
[['Royce Woolridge', 'endMemberOf', 'Exeter City Women F. C.', '2022-05-30']]
[['Natesan Kumaravel', 'startMemberOf', 'Ssv Ulm 1846', '2022-05-30']]
[['Matthew Goss', 'endMemberOf', 'Team Qhubeka NextHash', '2022-05-30']]
[['Kalen Grimes', 'startMemberOf', 'Team FOG Næstved', '2022-05-30']]
[['Xavier Adams', 'endMemberOf', 'New Mexico Lobos men\' s basketball', '2022-05-30']]
[['Christopher Gomez', 'startMemberOf', 'Bonnyrigg White Eagles FC', '2022-05-31']]
[['Dmitri Prudnikov', 'startMemberOf', 'MFK Tyumen', '2022-05-31']]
[['Samuel Koejoe', 'startMemberOf', 'Eintracht Braunschweig II', '2022-05-31']]
[['Victor Mamane', 'endWorksFor', 'Max Planck Institute of Molecular Physiology', '2022-05-31']]
[['Yurong Zheng', 'endWorksFor', 'Beth Israel Deaconess Medical Center', '2022-05-31']]
[['Piotr Zieliński', 'startMemberOf', 'Simba S. C.', '2022-05-31']]
[['Maro Itoje', 'startWorksFor', 'Comenius University', '2022-05-31']]
[['Casper Ware', 'startMemberOf', 'Perth Wildcats', '2022-05-31']]
[['Geraldo Alves ( footballer, born 1980)', 'endMemberOf', 'FC Astra Giurgiu', '2022-05-31']]
[['Owais Shah', 'startMemberOf', 'Wellington cricket team', '2022-05-31']]
[['Federico Fattori', 'startMemberOf', 'Racing de Córdoba', '2022-05-31']]
[['Derese Desta', 'endWorksFor', 'University of Aveiro', '2022-05-31']]
[['Virginia Rodríguez Rece', 'endMemberOf', 'Patí Hoquei Club Sant Cugat', '2022-05-31']]
[['Sebas Coris', 'endMemberOf', 'FC Spartak-UGP Anapa', '2022-05-31']]
[['Dmitry Kotov', 'endMemberOf', 'Real Oviedo', '2022-05-31']]
[['Mabululu', 'startMemberOf', 'G. D. Sagrada Esperança', '2022-05-31']]
[['Tomasz Wełnicki', 'startMemberOf', 'Nazilli Belediyespor', '2022-05-31']]
[['Kyle Boller', 'endMemberOf', 'Los Angeles Rams', '2022-05-31']]
