[['V.J. Holmes', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2022-01-01']]
[['Stefan Kenić', 'award', 'Master of Fine Arts', '2022-02-07']]
[['Telstra', 'startLeader', 'Radovan Vítek', '2022-02-07']]
[['Andrea Coschiera', 'endWorksFor', 'National Institute on Aging', '2022-02-07']]
[['Brandon Moore Jr', 'startWorksFor', 'Disney Television Studios', '2022-02-07']]
[['Wake Forest University', 'endLeader', 'Oldřich Bajer', '2022-02-07']]
[['Wei Gao', 'endWorksFor', 'Hong Kong Polytechnic University', '2022-02-07']]
[['Adam Bodnar', 'endWorksFor', 'University of Chicago', '2022-02-07']]
[['Lena Luthor', 'award', 'Master of Music', '2022-02-08']]
[['10Th Ouyahia Cabinet', 'startMemberOf', 'National Oceanography Centre', '2022-02-08']]
[['Gaël Dubus', 'award', 'Master of Fine Arts', '2022-02-08']]
[['Kasper Andersen (cyclist)', 'endWorksFor', 'Universidade do Extremo Sul Catarinense', '2022-02-08']]
[['Phillips 66', 'startLeader', 'Maria Els', '2022-02-08']]
[['Xherdan Shaqiri', 'award', 'Master of Music', '2022-02-08']]
[['Timothy Bach', 'endWorksFor', 'La Trobe University', '2022-02-08']]
[['Leonard Dewaele', 'endWorksFor', 'Belgian American Educational Foundation', '2022-02-08']]
[['Jenny Landberg', 'endWorksFor', 'University of California, Irvine', '2022-02-09']]
[['Université de l\'Ontario français', 'startMemberOf', 'University of Bologna', '2022-02-09']]
[['Andrew Saxe', 'award', 'Master of Fine Arts', '2022-02-09']]
[['Carlos, rey emperador', 'startContentLocation', 'Smithsonian Conservation Biology Institute', '2022-02-09']]
[['Bjørnafjorden (municipality)', 'startLeader', 'Marc Asbeck', '2022-02-09']]
[['Stella Pennell', 'startWorksFor', 'National University of Singapore', '2022-02-09']]
[['Teri W. Odom', 'startMemberOf', 'Universidade do Extremo Sul Catarinense', '2022-02-09']]
[['Brandon Moore Jr', 'endWorksFor', 'Disney Television Studios', '2022-02-09']]
[['Christen Westphal', 'startWorksFor', 'University of Granada', '2022-02-09']]
[['Red Dead Redemption 2', 'startContentLocation', 'University Hospital Leipzig', '2022-02-10']]
[['Jocelyn Bell Burnell', 'endWorksFor', 'University of Granada', '2022-02-10']]
[['Judge Romesh', 'startContentLocation', 'Rennes University Hospital', '2022-02-10']]
[['Heitor Florencio', 'endWorksFor', 'Federal Institute Of Education, Science And Technology Of Ceará', '2022-02-10']]
[['George Drosatos', 'award', 'Master of Fine Arts', '2022-02-10']]
[['Angela M Ríos Gallardo', 'endWorksFor', 'South Colombian University', '2022-02-10']]
[['Ernest Aflakpui', 'endWorksFor', 'Universidade do Extremo Sul Catarinense', '2022-02-10']]
[['Mohammad Ghavamzadeh', 'endWorksFor', 'Facebook Ai Research', '2022-02-10']]
[['Evelyne Heyer', 'startWorksFor', 'Republic of Korea Navy', '2022-02-11']]
[['Deathloop', 'startContentLocation', 'MAPPA', '2022-02-11']]
[['The Legend of Zelda: Breath of the Wild', 'startContentLocation', 'Lürssen', '2022-02-11']]
[['Orellana Province', 'startLeader', 'Dominic Perrottet', '2022-02-11']]
[['Alexandra Sunduchkova', 'endWorksFor', 'University of Lille Nord de France', '2022-02-11']]
[['Tommy Rutherford', 'startMemberOf', 'Sri Balaji Vidyapeeth University', '2022-02-11']]
[['Tonje Haug Lerstad', 'startMemberOf', 'Huazhong University of Science and Technology', '2022-02-11']]
[['Pilar Bernal-Bayard', 'endWorksFor', 'Institute Of Plant Biochemistry And Photosynthesis', '2022-02-11']]
[['Vågsøy', 'endLeader', 'Maria Els', '2022-02-12']]
[['Second Conte government', 'endLeader', 'Lee Kun-hee', '2022-02-12']]
[['Martin Gullström', 'endWorksFor', 'University of Gothenburg', '2022-02-12']]
[['Gris', 'startContentLocation', 'Disney Television Studios', '2022-02-12']]
[['Benny Ryplida', 'endWorksFor', 'Korea National University of Transportation', '2022-02-12']]
[['Ivica Olić', 'startWorksFor', 'Republic of Korea Navy', '2022-02-12']]
[['Ewa Zydorek', 'startMemberOf', 'University of Florida', '2022-02-12']]
[['University of Versailles Saint-Quentin-en-Yvelines', 'startLeader', 'Fattah Amin', '2022-02-13']]
[['Lorna Stabler', 'endWorksFor', 'University of Cambridge', '2022-02-13']]
[['Super Mario Odyssey', 'startContentLocation', 'Icahn School of Medicine at Mount Sinai', '2022-02-13']]
[['Guido Galletti', 'endWorksFor', 'University of Geneva', '2022-02-13']]
[['Ameya Kasture', 'endWorksFor', 'Medical University of Vienna', '2022-02-14']]
[['SportsCenter', 'startContentLocation', 'Smithsonian Conservation Biology Institute', '2022-02-14']]
[['Chris Kuhar', 'startMemberOf', 'Republic of Korea Navy', '2022-02-14']]
[['Sabah', 'startLeader', 'Marc Asbeck', '2022-02-14']]
[['Birken T Noesen', 'endWorksFor', 'Wright State University', '2022-02-14']]
[['Evelyne Heyer', 'endWorksFor', 'Republic of Korea Navy', '2022-02-15']]
[['Ivica Olić', 'endWorksFor', 'Republic of Korea Navy', '2022-02-15']]
[['Carlos Johnson', 'startWorksFor', 'National University of Singapore', '2022-02-15']]
[['Norddal', 'startMemberOf', 'Republic of Korea Navy', '2022-02-15']]
[['Sixth Labour Government of New Zealand', 'startLeader', 'Radovan Vítek', '2022-02-15']]
[['Martin B Østergaard', 'startOwns', 'Sonja Molinari', '2022-02-15']]
[['Natividad Gómez Cerezo', 'endWorksFor', 'University of Queensland', '2022-02-15']]
[['Hector Diaz-Albiter', 'endWorksFor', 'Oswaldo Cruz Foundation', '2022-02-16']]
[['Jared Ertel', 'startWorksFor', 'Kyungpook National University', '2022-02-16']]
[['Daniel Akinyele', 'startMemberOf', 'University of Granada', '2022-02-16']]
[['Alexander Szameit', 'startMemberOf', 'IMT School for Advanced Studies Lucca', '2022-02-16']]
[['Nobuto Kaneko', 'endWorksFor', 'Norwegian Research Centre', '2022-02-16']]
[['The Last of Us Part II', 'startContentLocation', 'Chung Ang University - Anseong Campus', '2022-02-16']]
[['Maksim Artemchuk', 'startMemberOf', 'Republic of Korea Navy', '2022-02-16']]
[['Sam Baker', 'startWorksFor', 'Republic of Korea Navy', '2022-02-16']]
[['Md Morshedul Haque', 'endWorksFor', 'Gwangju Institute of Science and Technology', '2022-02-16']]
[['John Siegel', 'endWorksFor', 'Penn State DuBois', '2022-02-16']]
[['LaDontae Henton', 'startWorksFor', 'National University of Singapore', '2022-02-17']]
[['Department of Tumbes', 'startLeader', 'Radovan Vítek', '2022-02-17']]
[['Abdullah Hassoun', 'startWorksFor', 'Federal Ministry of Education and Research (Germany)', '2022-02-18']]
[['Robot Wars (TV series)', 'startContentLocation', 'Weill Cornell Medicine', '2022-02-18']]
[['Thank God You\'Re Here', 'startContentLocation', 'Hospital General Universitario Gregorio Marañón', '2022-02-18']]
[['Anthony Yuen', 'startWorksFor', 'Republic of Korea Navy', '2022-02-20']]
[['Media City Bergen', 'startLeader', 'Yair Lapid', '2022-02-20']]
[['United Nations Environment Programme', 'startLeader', 'Lena Luthor', '2022-02-21']]
[['Jere Vučica', 'startWorksFor', 'University of Northern British Columbia', '2022-02-21']]
[['Demitrius Conger', 'startWorksFor', 'University of Tokyo', '2022-02-22']]
[['Paul Valéry University Montpellier 3', 'startLeader', 'Marjan Rintel', '2022-02-22']]
[['8 Out of 10 Cats', 'startContentLocation', 'Johns Hopkins School of Medicine', '2022-02-23']]
[['British Rail Class 68', 'startContentLocation', 'Massey University - Wellington Campus', '2022-02-23']]
[['David Levitch', 'startWorksFor', 'University of Tokyo', '2022-02-24']]
[['Yizhe Zhan', 'startWorksFor', 'National University of Singapore', '2022-02-24']]
[['Flying Dog Brewery', 'startLeader', 'Daniel Ek', '2022-02-24']]
[['C.J. Williamson', 'startWorksFor', 'Kyungpook National University', '2022-02-24']]
[['Alexandre Delettre', 'startWorksFor', 'Pojišťovna Patricie', '2022-02-25']]
[['Noah Blackwell', 'startWorksFor', 'ETH Zurich', '2022-02-26']]
[['Laura Ràfols', 'startWorksFor', 'Monash University, Caulfield campus', '2022-02-26']]
[['David Dekker', 'startWorksFor', 'Community Université Grenoble Alpes', '2022-02-27']]
[['The Hockey Girls', 'startContentLocation', 'Mitsui Memorial Hospital', '2022-02-27']]
[['Peter M Chapple', 'startWorksFor', 'Pojišťovna Patricie', '2022-02-27']]
[['Rustam Minnikhanov', 'startWorksFor', 'Federal Ministry of Education and Research (Germany)', '2022-02-28']]
[['Andrew Saxe', 'endWorksFor', 'Harvard University', '2022-03-01']]
[['Anthony Henderson', 'startAcademicDegree', 'Master of Music', '2022-03-01']]
[['Zaid Amso', 'startAcademicDegree', 'Master of Fine Arts', '2022-03-01']]
[['École polytechnique universitaire de Lille', 'startLeader', 'Said Gutseriev', '2022-03-01']]
[['Emir Ahmedic', 'startWorksFor', 'Tafila Technical University', '2022-03-01']]
[['Rustam Minnikhanov', 'endWorksFor', 'Federal Ministry of Education and Research (Germany)', '2022-03-01']]
[['Claire E Fishman', 'startWorksFor', 'Federal Ministry of Education and Research (Germany)', '2022-03-01']]
[['Kelland O\'Brien', 'startWorksFor', 'Seattle', '2022-03-01']]
[['Daniela P Pacheco', 'award', 'Master of Fine Arts', '2022-03-01']]
[['Noah Blackwell', 'endWorksFor', 'ETH Zurich', '2022-03-01']]
[['Xuân H U1Ea1 Thu Đông R U1Ed3 I L U1Ea1 I Xuân', 'startContentLocation', 'Copenhagen University Hospital', '2022-03-01']]
[['Media City Bergen', 'endLeader', 'Yair Lapid', '2022-03-01']]
[['Jennifer Creaser', 'startAcademicDegree', 'Master of Music', '2022-03-01']]
[['Iain Wilson', 'award', 'Master of Music', '2022-03-02']]
[['Devendra Jhajharia', 'startMemberOf', 'Department of Home Affairs (Australia)', '2022-03-02']]
[['Vanessa Otero', 'endWorksFor', 'NOVA School of Science and Technology', '2022-03-02']]
[['A.J. Patty', 'startWorksFor', 'Seattle', '2022-03-02']]
[['Ken Krolicki', 'startMemberOf', 'National University of Singapore', '2022-03-02']]
[['Derrick V. Gough', 'startAcademicDegree', 'Master of Music', '2022-03-02']]
[['Shen Jilan', 'startAcademicDegree', 'Master of Music', '2022-03-02']]
[['Alexis Gamboa', 'startAcademicDegree', 'Master of Music', '2022-03-02']]
[['Myles Cephas', 'startAcademicDegree', 'Master\'s degree', '2022-03-02']]
[['Samba Kane', 'startAcademicDegree', 'Master of Education', '2022-03-02']]
[['James M Wood', 'startAcademicDegree', 'Master of Fine Arts', '2022-03-03']]
[['Lina Sarro', 'startWorksFor', 'Federal Ministry of Education and Research (Germany)', '2022-03-03']]
[['Tyrik Armstrong', 'startMemberOf', 'Collis Real', '2022-03-03']]
[['Jenny Xiao', 'startAcademicDegree', 'Master of Fine Arts', '2022-03-03']]
[['Sarah Rogers', 'startAcademicDegree', 'Master of Music', '2022-03-03']]
[['David Levitch', 'endWorksFor', 'University of Tokyo', '2022-03-03']]
[['Joana Rigueira', 'startMemberOf', 'Kyungpook National University', '2022-03-04']]
[['Maksim Artemchuk', 'startWorksFor', 'Endemol Shine Group', '2022-03-04']]
[['Samanta Fabris', 'startMemberOf', 'Innogy Česká Republika', '2022-03-04']]
[['LaDontae Henton', 'endWorksFor', 'National University of Singapore', '2022-03-04']]
[['Stockholm County', 'startMemberOf', 'Seattle', '2022-03-05']]
[['Devyn Wilson', 'startWorksFor', 'Pojišťovna Patricie', '2022-03-05']]
[['God of War (2018 video game)', 'startContentLocation', 'Seattle', '2022-03-05']]
[['Alex Foree', 'startWorksFor', 'Endemol Shine Group', '2022-03-05']]
[['Payton Pervier', 'startWorksFor', 'Generali Česká Pojišťovna', '2022-03-05']]
[['Wall Street Week', 'startContentLocation', 'Baylor College of Medicine', '2022-03-05']]
[['Katherine Fennelly', 'startWorksFor', 'HESAM University Group', '2022-03-05']]
[['Carlos Johnson', 'endWorksFor', 'National University of Singapore', '2022-03-05']]
[['Nærøysund', 'endLeader', 'Chairul Tanjung', '2022-03-06']]
[['BBM (software)', 'startContentLocation', 'Endemol Shine Group', '2022-03-06']]
[['Tyler Streeter', 'startMemberOf', 'Endemol Shine Group', '2022-03-06']]
[['Huaneng Power International', 'startMemberOf', 'Energochemica', '2022-03-06']]
[['Orellana Province', 'endLeader', 'Dominic Perrottet', '2022-03-06']]
[['Roman Plekhov', 'startMemberOf', 'Pojišťovna Patricie', '2022-03-06']]
[['Rita M Franco-Santos', 'endWorksFor', 'Alfred Wegener Institute for Polar and Marine Research', '2022-03-06']]
[['Katherine Fennelly', 'endWorksFor', 'HESAM University Group', '2022-03-06']]
[['Peter M Chapple', 'endWorksFor', 'Pojišťovna Patricie', '2022-03-07']]
[['Cites', 'startContentLocation', 'Brigham and Women\'s Hospital', '2022-03-07']]
[['Spero Manson', 'startWorksFor', 'Ppf', '2022-03-07']]
[['Roman Kreuziger', 'startWorksFor', 'Endemol Shine Group', '2022-03-07']]
[['Hyejeong Seong', 'endWorksFor', 'KAIST', '2022-03-07']]
[['Rosie Brownlow-Calkin', 'endWorksFor', 'Stephen F. Austin State University', '2022-03-07']]
[['Yizhe Zhan', 'endWorksFor', 'National University of Singapore', '2022-03-07']]
[['Ciudad Real', 'startLeader', 'Lena Luthor', '2022-03-07']]
[['Maksim Artemchuk', 'endWorksFor', 'Endemol Shine Group', '2022-03-07']]
[['Spero Manson', 'endWorksFor', 'Ppf', '2022-03-08']]
[['Jaden Stanley-Williams', 'startMemberOf', 'Endemol Shine Group', '2022-03-08']]
[['Ciudad Real', 'endLeader', 'Lena Luthor', '2022-03-08']]
[['Spero Manson', 'endWorksFor', 'Ppf', '2022-03-08']]
[['Claire E Fishman', 'endWorksFor', 'Federal Ministry of Education and Research (Germany)', '2022-03-08']]
[['Devyn Wilson', 'endWorksFor', 'Pojišťovna Patricie', '2022-03-08']]
[['Omaru Maruatona', 'endWorksFor', 'La Trobe University', '2022-03-08']]
[['Tommy Layne', 'award', 'Master of Music', '2022-03-09']]
[['Li Peng', 'award', 'Master of Fine Arts', '2022-03-09']]
[['Com Si Fos Ahir', 'startContentLocation', 'Endemol Shine Group', '2022-03-09']]
[['Lina Sarro', 'endWorksFor', 'Federal Ministry of Education and Research (Germany)', '2022-03-09']]
[['Helen Baxter', 'endWorksFor', 'University of Hull', '2022-03-10']]
[['Ana B Marín-Arroyo', 'endWorksFor', 'University of Cambridge', '2022-03-10']]
[['Payton Pervier', 'endWorksFor', 'Generali Česká Pojišťovna', '2022-03-10']]
[['Telstra', 'endLeader', 'Radovan Vítek', '2022-03-10']]
[['Viktor Axelsen', 'award', 'Master of Fine Arts', '2022-03-10']]
[['Agricultural Bank of China', 'endLeader', 'Jensen Huang', '2022-03-10']]
[['Pintu Patra', 'startMemberOf', 'Tafila Technical University', '2022-03-10']]
[['Phillip D Rivera', 'endWorksFor', 'Massachusetts General Hospital', '2022-03-10']]
[['Kelland O\'Brien', 'endWorksFor', 'Seattle', '2022-03-10']]
[['Jared Ertel', 'endWorksFor', 'Kyungpook National University', '2022-03-10']]
[['Dane Norman', 'award', 'Doctor of Philosophy', '2022-03-11']]
[['Alexandre Delettre', 'endWorksFor', 'Pojišťovna Patricie', '2022-03-11']]
[['Monistrol de Calders', 'endLeader', 'Ramon Vancells I Casacuberta', '2022-03-11']]
[['Castor (rocket stage)', 'startContentLocation', 'Vall d\'Hebron University Hospital', '2022-03-11']]
[['Sabah', 'endLeader', 'Marc Asbeck', '2022-03-11']]
[['Clifton Powell', 'startWorksFor', 'University of Bristol', '2022-03-11']]
[['Castor (rocket stage)', 'startContentLocation', 'Lady Davis Carmel Medical Center', '2022-03-11']]
[['Foot Locker', 'endLeader', 'Radovan Vítek', '2022-03-12']]
[['Abdullah Ekinci', 'endWorksFor', 'European University of Lefke', '2022-03-12']]
[['Alex Foree', 'endWorksFor', 'Endemol Shine Group', '2022-03-12']]
[['Cantavio Dutreil', 'award', 'Master of Fine Arts', '2022-03-13']]
[['Emir Ahmedic', 'endWorksFor', 'Tafila Technical University', '2022-03-13']]
[['Igor Kovalenko', 'endNationality', 'Ukraine', '2022-03-13']]
[['Ohio Pride', 'startContentLocation', 'Disney Television Studios', '2022-03-13']]
[['A.J. Patty', 'endWorksFor', 'Seattle', '2022-03-13']]
[['Ashley Williams (footballer)', 'startWorksFor', 'University of Lille Nord de France', '2022-03-14']]
[['VK (company)', 'startLeader', 'Radovan Vítek', '2022-03-14']]
[['Roman Buess', 'award', 'Master of Fine Arts', '2022-03-14']]
[['W13', 'startLeader', 'Lena Luthor', '2022-03-15']]
[['Xiaoxi Dong', 'startMemberOf', 'University of Lille Nord de France', '2022-03-15']]
[['Jajuan Starks', 'startMemberOf', 'Endemol Shine Group', '2022-03-15']]
[['Alex Farrell', 'award', 'Master of Music', '2022-03-15']]
[['Pierre Verschueren', 'startMemberOf', 'Federal Ministry of Education and Research (Germany)', '2022-03-15']]
[['Josep Franch (basketball)', 'startWorksFor', 'University of Illinois System', '2022-03-15']]
[['Élisabeth Borne', 'startWorksFor', 'Department of Home Affairs (Australia)', '2022-03-15']]
[['Michael J. Noonan', 'endWorksFor', 'Smithsonian Conservation Biology Institute', '2022-03-15']]
[['VK (company)', 'endLeader', 'Radovan Vítek', '2022-03-15']]
[['Sauherad', 'startLeader', 'Yair Lapid', '2022-03-16']]
[['Kengo Fujii', 'award', 'Master of Fine Arts', '2022-03-16']]
[['Gaochuang Cai', 'endWorksFor', 'Queen\'s University Belfast', '2022-03-16']]
[['Celâl Şengör', 'startWorksFor', 'National Research Centre on Equines', '2022-03-16']]
[['Josep Franch (basketball)', 'endWorksFor', 'University of Illinois System', '2022-03-16']]
[['T C Li', 'endWorksFor', 'Dartmouth College', '2022-03-16']]
[['Antonio García-De-Alcaraz', 'endWorksFor', 'Universidad Isabel I', '2022-03-17']]
[['Celâl Şengör', 'endWorksFor', 'National Research Centre on Equines', '2022-03-17']]
[['Splatoon (video game)', 'startContentLocation', 'National Cancer Center', '2022-03-17']]
[['Flying Dog Brewery', 'endLeader', 'Daniel Ek', '2022-03-17']]
[['Stanislav Atrashkevich', 'startWorksFor', 'McMaster University', '2022-03-17']]
[['Sofi Jonsson', 'endWorksFor', 'Connecticut State University System', '2022-03-17']]
[['Roman Kreuziger', 'endWorksFor', 'Endemol Shine Group', '2022-03-18']]
[['Roman Kreuziger', 'endWorksFor', 'Endemol Shine Group', '2022-03-18']]
[['Willinton Y. Hernández', 'endWorksFor', 'Solvay (China)', '2022-03-18']]
[['Chris A. Hamilton', 'endWorksFor', 'University of Florida', '2022-03-18']]
[['Chao Xu', 'endWorksFor', 'Stockholm University', '2022-03-18']]
[['Élisabeth Borne', 'endWorksFor', 'Department of Home Affairs (Australia)', '2022-03-19']]
[['Ilya Trachynski', 'startWorksFor', 'Zentiva Group', '2022-03-19']]
[['Meg Stohlmann', 'startWorksFor', 'University of Bedfordshire', '2022-03-19']]
[['Clifton Powell', 'endWorksFor', 'University of Bristol', '2022-03-19']]
[['Faezeh Maleki', 'endWorksFor', 'National Institute For Genetic Engineering And Biotechnology', '2022-03-19']]
[['Metal Gear Solid V: The Phantom Pain', 'startContentLocation', 'Hubrecht Institute', '2022-03-20']]
[['Grzegorz Sandomierski', 'startWorksFor', 'Hong Kong Baptist University', '2022-03-20']]
[['Ilya Trachynski', 'endWorksFor', 'Zentiva Group', '2022-03-20']]
[['Keon Young Kim', 'endWorksFor', 'National Cancer Center', '2022-03-20']]
[['Nigel D\'Souza', 'endWorksFor', 'Croydon University Hospital', '2022-03-20']]
[['Rio Grande do Sul', 'endLeader', 'Robert S. Langer', '2022-03-21']]
[['Femto Pulse', 'endManufacturer', 'University of Bologna', '2022-03-22']]
[['Demitrius Conger', 'endWorksFor', 'University of Tokyo', '2022-03-22']]
[['Centre D\'Études Et De Recherche En Droit De L\'Immatériel', 'endLeader', 'Lena Luthor', '2022-03-22']]
[['Ashley Williams (footballer)', 'endWorksFor', 'University of Lille Nord de France', '2022-03-23']]
[['A Plague Tale: Requiem', 'startContentLocation', 'IMT School for Advanced Studies Lucca', '2022-03-23']]
[['Velvet (TV series)', 'startContentLocation', 'North York General Hospital', '2022-03-23']]
[['Naga Pradeep Nidamanuri', 'endWorksFor', 'University of Missouri', '2022-03-24']]
[['Blanca Gil-Ibáñez', 'endWorksFor', 'Vall d\'Hebron University Hospital', '2022-03-24']]
[['Subramanian Muthukumar', 'endWorksFor', 'Sri Balaji Vidyapeeth University', '2022-03-24']]
[['Darius Brown Ii', 'startWorksFor', 'NYU Langone Health', '2022-03-25']]
[['Nordea', 'endLeader', 'Jensen Huang', '2022-03-25']]
[['Graeme Stephens', 'startWorksFor', 'Republic of Korea Navy', '2022-03-26']]
[['Vasily Lanovoy', 'startWorksFor', 'Whole Investments Ltd.', '2022-03-26']]
[['Steeve Bourane', 'endWorksFor', 'Inserm', '2022-03-26']]
[['Minotaur (rocket family)', 'startContentLocation', 'Endemol Shine Group', '2022-03-27']]
[['Grzegorz Sandomierski', 'endWorksFor', 'Hong Kong Baptist University', '2022-03-27']]
[['Victoria G Riese', 'endWorksFor', 'National Institutes of Health', '2022-03-27']]
[['Stanislav Atrashkevich', 'endWorksFor', 'McMaster University', '2022-03-27']]
[['Natividad Gómez Cerezo', 'startWorksFor', 'Federal Ministry of Education and Research (Germany)', '2022-03-28']]
[['Deevia Kotecha', 'endWorksFor', 'University of Leicester', '2022-03-28']]
[['Vasily Lanovoy', 'endWorksFor', 'Whole Investments Ltd.', '2022-03-28']]
[['Alante Fenner', 'startWorksFor', 'Hubrecht Institute', '2022-03-29']]
[['Northrop Grumman Pegasus', 'startContentLocation', 'LMU Klinikum', '2022-03-29']]
[['Human', 'startContentLocation', 'NYU Langone Health', '2022-03-30']]
[['Overwatch (video game)', 'startContentLocation', 'University of California, Davis', '2022-03-30']]
[['Azul (board game)', 'startContentLocation', 'University of Tennessee Health Science Center', '2022-03-31']]
[['Shria Kumar', 'startWorksFor', 'Republic of Korea Navy', '2022-03-31']]
[['Caleb Wood', 'startWorksFor', 'University of Málaga', '2022-03-31']]
[['César Leiva', 'endWorksFor', 'Comptroller General of Chile', '2022-04-01']]
[['Dark Souls III', 'startContentLocation', 'University-Hospital Polyclinic Of Modena', '2022-04-01']]
[['Alexander Jacob Fischer Verry', 'startWorksFor', 'Republic of Korea Navy', '2022-04-01']]
[['Nelly Tremblay', 'endWorksFor', 'Centre For Research And Advanced Studies Merida Unit', '2022-04-01']]
[['Zalando', 'award', 'Master of Business Administration', '2022-04-01']]
[['Bernardo Añor Jr.', 'startAcademicDegree', 'Master of Business Administration', '2022-04-01']]
[['Ryō Kubota', 'startAcademicDegree', 'Master of Business Administration', '2022-04-01']]
[['Josh Hart', 'award', 'Doctor of Philosophy', '2022-04-01']]
[['Maider Ormaza', 'endWorksFor', 'Nanogune', '2022-04-01']]
[['Joshua D Wright', 'startAcademicDegree', 'Master of Business Administration', '2022-04-02']]
[['Heshan Du', 'endWorksFor', 'University of Leeds', '2022-04-02']]
[['Seongmin Choi', 'endWorksFor', 'Seoul National University Hospital', '2022-04-02']]
[['Tommy Rutherford', 'award', 'Master of Business Administration', '2022-04-02']]
[['Alexander Jacob Fischer Verry', 'endWorksFor', 'Republic of Korea Navy', '2022-04-02']]
[['Ashley Bigaran', 'startMemberOf', 'Republic of Korea Navy', '2022-04-02']]
[['Alexander Jacob Fischer Verry', 'endWorksFor', 'Republic of Korea Navy', '2022-04-02']]
[['Cologny', 'endLeader', 'Dominic Perrottet', '2022-04-02']]
[['Codi Miller-McIntyre', 'startAcademicDegree', 'Master of Business Administration', '2022-04-03']]
[['Alan Rosales', 'award', 'Master of Business Administration', '2022-04-03']]
[['Dalin Williams', 'award', 'Master of Business Administration', '2022-04-03']]
[['Gustavo Rodríguez-Coira', 'startWorksFor', 'Federal Ministry of Education and Research (Germany)', '2022-04-03']]
[['Yining Jiang', 'endWorksFor', 'Boston University', '2022-04-03']]
[['Anne Polyakov', 'startAcademicDegree', 'Master\'s degree', '2022-04-03']]
[['Sue Adams', 'startAcademicDegree', 'Master of Business Administration', '2022-04-03']]
[['École polytechnique universitaire de Lille', 'endLeader', 'Said Gutseriev', '2022-04-03']]
[['Darius Brown Ii', 'endWorksFor', 'NYU Langone Health', '2022-04-03']]
[['Pilar Jiménez-Meneses', 'endWorksFor', 'Valencia Catholic University Saint Vincent Martyr', '2022-04-03']]
[['Northrop Grumman', 'startMemberOf', 'Ppf Cyprus Management', '2022-04-04']]
[['Isaiah Kelly', 'startWorksFor', 'University of Seville', '2022-04-04']]
[['Shria Kumar', 'endWorksFor', 'Republic of Korea Navy', '2022-04-04']]
[['Toby J. Blundell', 'endWorksFor', 'University of Nottingham', '2022-04-04']]
[['Ornwipa Thamsuwan', 'endWorksFor', 'Institute for Health Metrics and Evaluation', '2022-04-04']]
[['Kazimierz Korabiński', 'startMemberOf', 'Ppf Cyprus Management', '2022-04-04']]
[['Hemne', 'startLeader', 'Chairul Tanjung', '2022-04-04']]
[['Jacopo Vialetto', 'startMemberOf', 'Vall D\'Hebron Institute Of Oncology', '2022-04-04']]
[['Aaron Stevens', 'startAcademicDegree', 'Master of Business Administration', '2022-04-04']]
[['Kristjan Poder', 'endWorksFor', 'Imperial College London', '2022-04-04']]
[['Meland', 'endLeader', 'Libor Chrobok', '2022-04-04']]
[['Welcome to the Family (2018 TV series)', 'startContentLocation', 'Weill Cornell Medicine', '2022-04-05']]
[['Qingyue Wang', 'endWorksFor', 'Spanish National Research Council', '2022-04-05']]
[['The Coca-Cola Company', 'startLeader', 'Robert S. Langer', '2022-04-05']]
[['Christophe Beaux', 'startWorksFor', 'NYU Langone Health', '2022-04-05']]
[['Phillip D Rivera', 'startMemberOf', 'Federal University of São Carlos', '2022-04-05']]
[['Vijay Rana', 'endWorksFor', 'Arni University', '2022-04-05']]
[['Isaiah Kelly', 'endWorksFor', 'University of Seville', '2022-04-05']]
[['Olive Kitteridge (miniseries)', 'startContentLocation', 'University of Évora', '2022-04-05']]
[['David Accam', 'startMemberOf', 'Fudan University', '2022-04-06']]
[['Leandro Pinto', 'startMemberOf', 'Innogy Česká Republika', '2022-04-06']]
[['Alexander Vogel', 'endWorksFor', 'ABB', '2022-04-06']]
[['Enrique Peña Nieto', 'startWorksFor', 'Federal Ministry of Education and Research (Germany)', '2022-04-06']]
[['Birte Riechers', 'award', 'Master of Business Administration', '2022-04-06']]
[['Captain America: Civil War', 'startActor', 'Radovan Vítek', '2022-04-06']]
[['The Coca-Cola Company', 'endLeader', 'Robert S. Langer', '2022-04-06']]
[['Anibal Koné', 'startWorksFor', 'Center For Social Studies, University Of Coimbra', '2022-04-07']]
[['Nicole K Rendos', 'endWorksFor', 'Florida International University', '2022-04-07']]
[['Kahlil Dukes', 'startMemberOf', 'NYU Langone Health', '2022-04-07']]
[['Mikel Saizar', 'startWorksFor', 'King Abdullah University of Science and Technology', '2022-04-07']]
[['Deutsche Telekom', 'startLeader', 'Libor Chrobok', '2022-04-07']]
[['Björn Ross', 'endWorksFor', 'University of Duisburg-Essen', '2022-04-07']]
[['Ncamiso B Khanyile', 'endWorksFor', 'Stellenbosch University', '2022-04-08']]
[['Prisca R Bauer', 'endWorksFor', 'Inserm', '2022-04-08']]
[['Ana María Valenzuela-Muñiz', 'endWorksFor', 'National Technological Institute of Mexico', '2022-04-08']]
[['First Kurz government', 'startLeader', 'Robert S. Langer', '2022-04-08']]
[['Christine L. Heumann', 'endWorksFor', 'Washington University School of Medicine', '2022-04-08']]
[['Gustavo Rodríguez-Coira', 'endWorksFor', 'Federal Ministry of Education and Research (Germany)', '2022-04-08']]
[['Enrique Peña Nieto', 'endWorksFor', 'Federal Ministry of Education and Research (Germany)', '2022-04-08']]
[['Paul-Georges Ntep', 'award', 'Master of Fine Arts', '2022-04-09']]
[['Reagan Nicole', 'award', 'Master of Music', '2022-04-09']]
