[['Timur Melekestsev', 'endMemberOf', 'FC Dynamo Makhachkala', '2022-01-01']]
[['Denis Grechikho', 'startMemberOf', 'FC Dinamo Minsk', '2022-03-01']]
[['Vasily Sovpel', 'startMemberOf', 'FC Gomel', '2022-03-01']]
[['Artyom Dylevsky', 'startMemberOf', 'FC Kaisar', '2022-03-01']]
[['Dzmitry Barysaw', 'startMemberOf', 'FC Smorgon', '2022-03-01']]
[['Bilal El Khannous', 'endMemberOf', 'Morocco national under-20 football team', '2022-03-01']]
[['Oleksandr Batyshchev', 'startMemberOf', 'FC Ordabasy', '2022-03-01']]
[['Bourama Fomba', 'startMemberOf', 'FC Minsk', '2022-03-01']]
[['Florentin Matei', 'startMemberOf', 'FC UTA Arad', '2022-03-01']]
[['Maksim Chizh', 'startMemberOf', 'FC Volna Pinsk', '2022-03-01']]
[['Andrei Mamatyuk', 'endMemberOf', 'FC Kyzyltash Bakhchisaray', '2022-03-01']]
[['Miroslav Khlebosolov', 'startMemberOf', 'FC Energetik-BGU Minsk', '2022-03-01']]
[['Andriy Stryzheus', 'startMemberOf', 'FC Osipovichi', '2022-03-01']]
[['Yuriy Habovda', 'startMemberOf', 'FK Dukla Prague', '2022-03-01']]
[['Amirbek Juraboev', 'endMemberOf', 'FC Istiklol', '2022-03-01']]
[['Kiryl Sidarenka', 'startMemberOf', 'FC Kaisar', '2022-03-01']]
[['Erik Bergström Frisk', 'endMemberOf', 'Ferei– CCN', '2022-03-01']]
[['George I U002E Laliotis', 'endWorksFor', 'Johns Hopkins School of Medicine', '2022-03-01']]
[['Roman Yuzepchuk', 'startMemberOf', 'FC Shakhtyor Soligorsk', '2022-03-01']]
[['Zvonimir Mikulić', 'startMemberOf', 'FC Brașov ( 2021)', '2022-03-01']]
[['Makar Litskevich', 'startMemberOf', 'FC Shakhtyor Petrikov', '2022-03-01']]
[['Layonel Adams', 'startMemberOf', 'FC Van', '2022-03-01']]
[['Vladimir Medved', 'startMemberOf', 'FC Sioni Bolnisi', '2022-03-01']]
[['Kirill Shokurov', 'startMemberOf', 'Fc Vialies-2020', '2022-03-01']]
[['Lucian Filip', 'endMemberOf', 'LPS HD Clinceni', '2022-03-01']]
[['Bakhtiar Rahmani', 'endMemberOf', 'Duhok SC', '2022-03-01']]
[['Aliaksiej Kaltyhin', 'startMemberOf', 'FC Slutsk', '2022-03-01']]
[['Oleksiy Khoblenko', 'startMemberOf', 'FCI Levadia Tallinn', '2022-03-01']]
[['Vladislav Fedosov', 'startMemberOf', 'FC Neftchi Kochkor-Ata', '2022-03-01']]
[['Oleg Nikiforenko', 'startMemberOf', 'FC Isloch Minsk Raion', '2022-03-01']]
[['Giovanni Visconti ( cyclist)', 'endMemberOf', 'Green Project– Bardiani– CSF– Faizanè', '2022-03-09']]
[['Yony González', 'startMemberOf', 'Deportivo Cali', '2022-03-17']]
[['Abdoul Gafar Sirima', 'startMemberOf', 'FC Slutsk', '2022-03-19']]
[['Attilio Viviani', 'startMemberOf', 'Bingoal WB', '2022-03-22']]
[['Henok Mulubrhan', 'endMemberOf', 'Bike Aid', '2022-03-31']]
[['Ryo Ishikawa', 'endWorksFor', 'Science And Technology Agency', '2022-03-31']]
[['Alejandro Osorio ( cyclist)', 'endMemberOf', 'Team Bahrain Victorious', '2022-03-31']]
[['Aleksandr Pavlovets', 'startMemberOf', 'Warta Poznań', '2022-04-01']]
[['Gleb Yefimov', 'startMemberOf', 'FC Rogachev', '2022-04-01']]
[['Zaven Badoyan', 'endMemberOf', 'FC Van', '2022-04-01']]
[['Muhammadjon Loiqov', 'startMemberOf', 'FC Molodechno', '2022-04-01']]
[['Nikolay Zolotov', 'startMemberOf', 'SC Bastia', '2022-04-01']]
[['William ( footballer, born 1996)', 'startMemberOf', 'FC Dinamo Minsk', '2022-04-01']]
[['Cédric Gogoua', 'endMemberOf', 'FC Turan', '2022-04-01']]
[['Syarhey Ignatovich', 'startMemberOf', 'FC Isloch Minsk Raion', '2022-04-01']]
[['Igor R U002E Efimov', 'endWorksFor', 'George Washington University', '2022-04-01']]
[['Kiril Pavlyuchek', 'startMemberOf', 'FC Krumkachy Minsk', '2022-04-01']]
[['Igor Gubanov', 'startMemberOf', 'FC Kyran', '2022-04-01']]
[['Stephen Ward ( footballer)', 'endMemberOf', 'Walsall F. C.', '2022-04-01']]
[['Pavel Golovenko', 'startMemberOf', 'Fc Žodzina-Paŭdniovaje', '2022-04-01']]
[['Oleksandr Kapliyenko', 'startMemberOf', 'FK Auda', '2022-04-01']]
[['Ablaye Mbengue', 'startMemberOf', 'Al-Arabi SC ( Kuwait)', '2022-04-01']]
[['Alyaksandr Krasnow', 'startMemberOf', 'FC Rogachev', '2022-04-01']]
[['Vladislav Myzgin', 'endMemberOf', 'FC Naftan Novopolotsk', '2022-04-01']]
[['Beka Gvaradze', 'startMemberOf', 'FC Energetik-BGU Minsk', '2022-04-01']]
[['Aleksandr Chizh ( footballer, born 2002)', 'startMemberOf', 'FC Rogachev', '2022-04-01']]
[['Ivan Pešić ( footballer, born 1992)', 'startMemberOf', 'FC Dinamo Minsk', '2022-04-01']]
[['Dmitry Baga', 'startMemberOf', 'FC Gomel', '2022-04-01']]
[['Artsyom Pyatrenka', 'endMemberOf', 'FC Slavia Mozyr', '2022-04-01']]
[['Pavel Demidchik', 'startMemberOf', 'Fc Žodzina-Paŭdniovaje', '2022-04-01']]
[['Aleksandr Pavlovets', 'endMemberOf', 'FC Kolos Kovalivka', '2022-04-01']]
[['Sékou Doumbia', 'startMemberOf', 'FC Ordabasy', '2022-04-01']]
[['Leonel Moreira', 'startMemberOf', 'Costa Rica national football team generic instance', '2022-04-02']]
[['Patrick Pemberton', 'startMemberOf', 'Costa Rica national football team generic instance', '2022-04-04']]
[['Jhonny Acosta', 'startMemberOf', 'A. D. Municipal Pérez Zeledón', '2022-04-04']]
[['Francisco Calvo', 'startMemberOf', 'San Jose Earthquakes', '2022-04-05']]
[['Romaine Sawyers', 'startMemberOf', 'Stoke City F. C.', '2022-04-05']]
[['Kenner Gutiérrez', 'startMemberOf', 'Municipal Grecia', '2022-04-05']]
[['Francisco Calvo', 'startMemberOf', 'Costa Rica national football team generic instance', '2022-04-05']]
[['Kenner Gutiérrez', 'startMemberOf', 'Costa Rica national football team generic instance', '2022-04-05']]
[['Ian Smith ( footballer, born 1998)', 'startMemberOf', 'Costa Rica national football team generic instance', '2022-04-07']]
[['Ian Smith ( footballer, born 1998)', 'startMemberOf', 'Liga Deportiva Alajuelense', '2022-04-07']]
[['Daniel Colindres', 'startMemberOf', 'Costa Rica national football team generic instance', '2022-04-08']]
[['Daniel Colindres', 'startMemberOf', 'Abahani Limited Dhaka', '2022-04-08']]
[['Ahmed Yasin ( footballer)', 'startMemberOf', 'Iraq national football team generic instance', '2022-04-10']]
[['Ramin Rezaeian', 'startMemberOf', 'Iran national football team generic instance', '2022-04-14']]
[['Rónald Matarrita', 'startMemberOf', 'FC Cincinnati', '2022-04-14']]
[['Ramin Rezaeian', 'startMemberOf', 'Persepolis F. C.', '2022-04-14']]
[['Rónald Matarrita', 'startMemberOf', 'Costa Rica national football team generic instance', '2022-04-14']]
[['Omid Ebrahimi', 'startMemberOf', 'Iran national football team generic instance', '2022-04-15']]
[['Mehdi Torabi', 'startMemberOf', 'Iran national football team generic instance', '2022-04-15']]
[['Omid Ebrahimi', 'startMemberOf', 'Al-Wakrah SC', '2022-04-15']]
[['Pejman Montazeri', 'startMemberOf', 'Al Kharaitiyat SC', '2022-04-16']]
[['Pejman Montazeri', 'startMemberOf', 'Iran national football team generic instance', '2022-04-16']]
[['Mohammad Reza Khanzadeh', 'startMemberOf', 'Iran national football team generic instance', '2022-04-17']]
[['Rouzbeh Cheshmi', 'startMemberOf', 'Esteghlal F. C.', '2022-04-17']]
[['Mohammad Reza Khanzadeh', 'startMemberOf', 'Gol Gohar Sirjan F. C.', '2022-04-17']]
[['Rouzbeh Cheshmi', 'startMemberOf', 'Iran national football team generic instance', '2022-04-17']]
[['Amir Abedzadeh', 'startMemberOf', 'SD Ponferradina', '2022-04-18']]
[['Amir Abedzadeh', 'startMemberOf', 'Iran national football team generic instance', '2022-04-18']]
[['Mohammad Rashid Mazaheri', 'startMemberOf', 'Iran national football team generic instance', '2022-04-18']]
[['Mohammad Rashid Mazaheri', 'startMemberOf', 'Sepahan S. C.', '2022-04-18']]
[['Syarhey Irha', 'startMemberOf', 'FC Belcard Grodno', '2022-04-23']]
[['Bakhtiar Rahmani', 'startMemberOf', 'Iran national football team generic instance', '2022-04-26']]
[['Bakhtiar Rahmani', 'startMemberOf', 'Dalkurd FF', '2022-04-26']]
[['Martin Lundsteen', 'endWorksFor', 'University of Oxford', '2022-04-30']]
[['Ciprian Petre', 'endMemberOf', 'FC Buzău', '2022-04-30']]
[['European University of Madrid', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Castilla– La Mancha', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Barbara Roxana Wezorke', 'endMemberOf', 'Usc Münster', '2022-05-01']]
[['National University of Distance Education', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Serhiy Shapoval', 'endMemberOf', 'Narew Ostrołęka', '2022-05-01']]
[['Jaume I University', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Alicante', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Girona', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Complutense University of Madrid', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Đorđe Ivanović', 'endMemberOf', 'NK Maribor', '2022-05-01']]
[['Charles III University of Madrid', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Alcalá', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Artem Kontsevoy ( footballer, born 1999)', 'endMemberOf', 'FC Baník Ostrava', '2022-05-01']]
[['University of Vic - Central University of Catalonia', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Open University of Catalonia', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Cantabria', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Jaén', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Valladolid', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Cádiz', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Seville', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Oviedo', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Artsyom Pyatrenka', 'endMemberOf', 'FC Rukh Brest', '2022-05-01']]
[['University of Murcia', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Pablo de Olavide University', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Navarra', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Carlos Barbero', 'startMemberOf', 'Lotto– Dstny', '2022-05-01']]
[['Autonomous University of Barcelona', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['İsmail Yüksek', 'endMemberOf', 'Bursaspor', '2022-05-01']]
[['University of Valencia', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Huelva', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Granada', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Málaga', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Burgos', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Reinardt Janse van Rensburg', 'startMemberOf', 'Lotto– Dstny', '2022-05-01']]
[['University of the Basque Country', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Extremadura', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Jaŭhien Huliecki', 'endMemberOf', 'FC Rukh Brest', '2022-05-01']]
[['Miguel Hernández University of Elche', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of the Balearic Islands', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Barcelona', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Nenad Adamović', 'startMemberOf', 'FC Neman Grodno', '2022-05-01']]
[['Technical University of Madrid', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Santiago de Compostela', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Rovira i Virgili', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['King Juan Carlos University', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Polytechnic University of Catalonia', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Salamanca', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Maksim Lutskiy', 'endMemberOf', 'FC Rukh Brest', '2022-05-01']]
[['Miroslav Khlebosolov', 'endMemberOf', 'FC Energetik-BGU Minsk', '2022-05-01']]
[['University of Vigo', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Filipp Rudik', 'startMemberOf', 'FC Smorgon', '2022-05-01']]
[['University of Zaragoza', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Almería', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of Córdoba ( Spain)', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Autonomous University of Madrid', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Pompeu Fabra University', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Francisco de Vitoria University', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['University of La Laguna', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Uladzislaŭ Šubovič', 'endMemberOf', 'FC Rukh Brest', '2022-05-01']]
[['Artem Miroyevskiy', 'endMemberOf', 'FC Rukh Brest', '2022-05-01']]
[['Ruslan Gurbanov', 'endMemberOf', 'FC Slavia Mozyr', '2022-05-01']]
[['Raheem Hanley', 'startMemberOf', 'New Mills A. F. C.', '2022-05-04']]
[['Romaine Sawyers', 'startMemberOf', 'Saint Kitts and Nevis national football team', '2022-05-04']]
[['Romaine Sawyers', 'startMemberOf', 'West Bromwich Albion F. C.', '2022-05-04']]
[['Seifeddine Jaziri', 'startMemberOf', 'Tunisia national football team generic instance', '2022-05-09']]
[['Dániel Gazdag', 'startMemberOf', 'Hungary national football team generic instance', '2022-05-11']]
[['Dániel Gazdag', 'startMemberOf', 'Philadelphia Union', '2022-05-11']]
[['Joe Bendik', 'startMemberOf', 'Philadelphia Union', '2022-05-11']]
[['Steven Moreira', 'startMemberOf', 'Columbus Crew', '2022-05-12']]
[['James Igbekeme', 'startMemberOf', 'Real Zaragoza', '2022-05-13']]
[['Jennifer Cross', 'endMemberOf', 'Panathinaikos women\' s volleyball', '2022-05-13']]
[['Yaw Yeboah', 'startMemberOf', 'Ghana national football team generic instance', '2022-05-14']]
[['Erik Hurtado', 'startMemberOf', 'CF Montréal', '2022-05-14']]
[['Ivan Baklanov', 'startMemberOf', 'FC Belshina Bobruisk', '2022-05-14']]
[['Yaw Yeboah', 'startMemberOf', 'Columbus Crew', '2022-05-14']]
[['Erik Hurtado', 'startMemberOf', 'Columbus Crew', '2022-05-14']]
[['Nicola Conci', 'startMemberOf', 'Alpecin– Deceuninck Development Team', '2022-05-16']]
[['Hossein Mahini', 'startMemberOf', 'Iran national football team generic instance', '2022-05-18']]
[['Hossein Mahini', 'startMemberOf', 'Saipa F. C.', '2022-05-18']]
[['Michael Amir Murillo', 'startMemberOf', 'R. S. C. Anderlecht', '2022-05-22']]
[['Tony Alfaro', 'startMemberOf', 'D. C. United', '2022-05-25']]
[['Nicolai Brøchner', 'endMemberOf', 'Team ColoQuick', '2022-05-30']]
[['Alexandre Geniez', 'endMemberOf', 'Team TotalEnergies', '2022-05-31']]
[['Emil Feldberg Hansen', 'endMemberOf', 'Restaurant Suri– Carl Ras', '2022-05-31']]
[['Adrián López', 'endMemberOf', 'Málaga CF', '2022-06-01']]
[['Aleksandr Pavlovets', 'endMemberOf', 'Warta Poznań', '2022-06-01']]
[['Realdo Fili', 'endMemberOf', 'FC Botoșani', '2022-06-01']]
[['Issa Ndoye', 'endMemberOf', 'FC Mulhouse', '2022-06-01']]
[['Nusmir Fajić', 'endMemberOf', 'NK Bjelovar', '2022-06-01']]
[['Vladislav Klimovich', 'endMemberOf', 'Gyirmót FC Győr', '2022-06-01']]
[['Danique Kerkdijk', 'endMemberOf', 'Brighton & Hove Albion F. C.', '2022-06-01']]
[['Andreas Mihaiu', 'endMemberOf', 'FC Dinamo București', '2022-06-01']]
[['Sergey Karpovich', 'endMemberOf', 'FC Baltika Kaliningrad', '2022-06-01']]
[['Odise Roshi', 'endMemberOf', 'Boluspor', '2022-06-01']]
[['Baudoin Kanda', 'endMemberOf', 'FC Buzău', '2022-06-01']]
[['Gleb Yefimov', 'endMemberOf', 'FC Rogachev', '2022-06-01']]
[['Sergey Kontsevoy', 'endMemberOf', 'FC Naftan Novopolotsk', '2022-06-01']]
[['Yaroslav Oreshkevich', 'endMemberOf', 'FC Dynamo Brest', '2022-06-01']]
[['Dzyanis Kavalewski', 'endMemberOf', 'FC Znamya Truda Orekhovo-Zuyevo', '2022-06-01']]
[['Jack Wilshere', 'endMemberOf', 'Aarhus Gymnastikforening', '2022-06-01']]
[['Douglas Costa', 'endMemberOf', 'LA Galaxy', '2022-06-01']]
[['Július Szöke', 'endMemberOf', 'Hapoel Ironi Kiryat Shmona F. C.', '2022-06-01']]
[['Yamoussa Camara ( footballer)', 'endMemberOf', 'FC BATE Borisov', '2022-06-01']]
[['Yehor Klymenchuk', 'endMemberOf', 'FC Ararat-Armenia', '2022-06-01']]
[['Václav Pilař', 'endMemberOf', 'FK Jablonec', '2022-06-01']]
[['Igor Khaymanov', 'endMemberOf', 'FC Arsenal Dzerzhinsk', '2022-06-01']]
[['Aleksey Orlovich', 'endMemberOf', 'FC Ostrovets', '2022-06-01']]
[['Artem Dzyuba', 'endMemberOf', 'FC Zenit Saint Petersburg', '2022-06-01']]
[['Mario Götze', 'endMemberOf', 'PSV Eindhoven', '2022-06-01']]
[['Pavel Dolgov', 'endMemberOf', 'FC Metallurg Lipetsk', '2022-06-01']]
[['Lovre Kalinić', 'endMemberOf', 'Aston Villa F. C.', '2022-06-01']]
[['Manuel Fernandes ( footballer, born 1986)', 'endMemberOf', 'Apollon Smyrnis F. C.', '2022-06-01']]
[['Nikolay Zolotov', 'endMemberOf', 'SC Bastia', '2022-06-01']]
[['Joe Allen', 'endMemberOf', 'Stoke City F. C.', '2022-06-01']]
[['Jeff Hendrick', 'endMemberOf', 'Queens Park Rangers F. C.', '2022-06-01']]
[['Robbie Brady', 'endMemberOf', 'AFC Bournemouth', '2022-06-01']]
[['Aaron Ramsey', 'endMemberOf', 'Rangers F. C.', '2022-06-01']]
[['William ( footballer, born 1996)', 'endMemberOf', 'FC Dinamo Minsk', '2022-06-01']]
[['Senin Sebai', 'endMemberOf', 'FC Akhmat Grozny', '2022-06-01']]
[['Marko Šćepović', 'endMemberOf', 'AC Omonia', '2022-06-01']]
[['Musashi Suzuki', 'endMemberOf', 'K Beerschot VA', '2022-06-01']]
[['Marcelo ( footballer, born 1988)', 'endMemberOf', 'Real Madrid CF', '2022-06-01']]
[['Arlind Ajeti', 'endMemberOf', 'Calcio Padova', '2022-06-01']]
[['Tomáš Hubočan', 'endMemberOf', 'AC Omonia', '2022-06-01']]
[['Yury Gazinsky', 'endMemberOf', 'FC Krasnodar', '2022-06-01']]
[['Gabriel Tamaș', 'endMemberOf', 'FC Voluntari', '2022-06-01']]
[['Darko Bodul', 'endMemberOf', 'FK Sarajevo', '2022-06-01']]
[['Duje Čop', 'endMemberOf', 'NK Celje', '2022-06-01']]
[['Yaroslav Oreshkevich', 'endMemberOf', 'FC Rukh Brest', '2022-06-01']]
[['Pavel Nazarenko', 'endMemberOf', 'FC Shakhter Karagandy', '2022-06-01']]
[['Manabu Saitō', 'endMemberOf', 'Nagoya Grampus', '2022-06-01']]
[['Edinson Cavani', 'endMemberOf', 'Manchester United F. C.', '2022-06-01']]
[['Filip Valenčič', 'endMemberOf', 'FC Dinamo Minsk', '2022-06-01']]
[['Miloš Lačný', 'endMemberOf', 'FK Pohronie', '2022-06-01']]
[['Dražen Bagarić', 'endMemberOf', 'FK Sarajevo', '2022-06-01']]
[['Anton Saroka', 'endMemberOf', 'FC Arsenal Dzerzhinsk', '2022-06-01']]
[['Mikita Kieralidzi', 'endMemberOf', 'Fc Malaryta', '2022-06-01']]
[['Marcel Schmelzer', 'endMemberOf', 'Borussia Dortmund', '2022-06-01']]
[['Diego Rossi', 'endMemberOf', 'Fenerbahçe S. K. ( football)', '2022-06-01']]
[['Michael Woodley', 'endWorksFor', 'Vrije Universiteit Brussel', '2022-06-01']]
[['Yevgeny Zemko', 'endMemberOf', 'FC Murom', '2022-06-01']]
[['Vitor Feijão', 'startMemberOf', 'FC Shakhtyor Soligorsk', '2022-06-01']]
[['Bogdan Gavrilă', 'startMemberOf', 'FC Dinamo București', '2022-06-01']]
[['Aleksandr Poznyak', 'endMemberOf', 'FC Minsk', '2022-06-01']]
[['James Chester', 'endMemberOf', 'Stoke City F. C.', '2022-06-01']]
[['Lucas Leiva', 'endMemberOf', 'S. S. Lazio', '2022-06-01']]
[['Miralem Pjanić', 'endMemberOf', 'Beşiktaş ( football club)', '2022-06-01']]
[['Jayden Oosterwolde', 'endMemberOf', 'FC Twente', '2022-06-01']]
[['Yamoussa Camara ( footballer)', 'endMemberOf', 'FC Rukh Brest', '2022-06-01']]
[['Giorgio Chiellini', 'endMemberOf', 'Juventus F. C.', '2022-06-01']]
[['Sofiane Feghouli', 'endMemberOf', 'Galatasaray S. K. ( football)', '2022-06-01']]
[['Yevgeny Pomazan', 'endMemberOf', 'FC Chayka Peschanokopskoye', '2022-06-01']]
[['Salvatore Sirigu', 'endMemberOf', 'Genoa C. F. C.', '2022-06-01']]
[['Umaru Bangura', 'endMemberOf', 'Neuchâtel Xamax FCS', '2022-06-01']]
[['Yuta Nakayama', 'endMemberOf', 'PEC Zwolle', '2022-06-01']]
[['Maksim Lutskiy', 'startMemberOf', 'FC Naftan Novopolotsk', '2022-06-01']]
[['Ion Nicolaescu', 'endMemberOf', 'Maccabi Petah Tikva F. C.', '2022-06-01']]
[['Pavel Sedko', 'endMemberOf', 'FC Torpedo Moscow', '2022-06-01']]
[['Mikhail Gordeychuk', 'endMemberOf', 'FK Liepāja', '2022-06-01']]
[['Aleksey Orlovich', 'startMemberOf', 'FC Arsenal Dzerzhinsk', '2022-06-01']]
[['Pavel Sedko', 'startMemberOf', 'FC Gomel', '2022-06-01']]
[['Cristian Dumitru', 'endMemberOf', 'FC Argeș Pitești', '2022-06-01']]
[['Constantin Dima', 'endMemberOf', 'FC UTA Arad', '2022-06-01']]
[['Pavel Nazarenko', 'startMemberOf', 'FC Akzhayik', '2022-06-01']]
[['Marko Pjaca', 'endMemberOf', 'Torino F. C.', '2022-06-01']]
[['Oleksiy Zbun', 'endMemberOf', 'FC Kryvbas Kryvyi Rih', '2022-06-01']]
[['Ayrton Mboko', 'startMemberOf', 'FC Viitorul Constanța', '2022-06-01']]
[['Ablaye Mbengue', 'endMemberOf', 'Al-Arabi SC ( Kuwait)', '2022-06-01']]
[['Denys Shelikhov', 'endMemberOf', 'FC Metalist 1925 Kharkiv', '2022-06-01']]
[['Fraser Forster', 'endMemberOf', 'Southampton F. C.', '2022-06-01']]
[['Maksim Artemchuk', 'startMemberOf', 'FC Dynamo Brest', '2022-06-01']]
[['Martin Kelly ( footballer)', 'endMemberOf', 'Crystal Palace F. C.', '2022-06-01']]
[['Martín Cáceres', 'endMemberOf', 'Levante UD', '2022-06-01']]
[['Georgios Katsikas', 'endMemberOf', 'FC Lokomotiv 1929 Sofia', '2022-06-01']]
[['Yaroslav Martynyuk', 'endMemberOf', 'FC Rukh Lviv', '2022-06-01']]
[['Divock Origi', 'endMemberOf', 'Liverpool F. C.', '2022-06-01']]
[['Sergio Romero', 'endMemberOf', 'Venezia F. C.', '2022-06-01']]
[['Pedro Perlaza', 'endMemberOf', 'C. S. D. Independiente del Valle', '2022-06-01']]
[['Sergey Kontsevoy', 'startMemberOf', 'FC Arsenal Dzerzhinsk', '2022-06-01']]
[['Radu-Ștefan Zamfir', 'endMemberOf', 'FC Buzău', '2022-06-01']]
[['Nemanja Matić', 'endMemberOf', 'Manchester United F. C.', '2022-06-01']]
[['Nolito', 'endMemberOf', 'RC Celta de Vigo', '2022-06-01']]
[['Juan Mata', 'endMemberOf', 'Manchester United F. C.', '2022-06-01']]
[['Bekim Balaj', 'endMemberOf', 'Boluspor', '2022-06-01']]
[['Nivaldo ( footballer, born July 1988)', 'endMemberOf', 'Anadia F. C.', '2022-06-01']]
[['Olabiran Muyiwa', 'endMemberOf', 'HNK Gorica', '2022-06-01']]
[['Alessandro Florenzi', 'endMemberOf', 'A. S. Roma', '2022-06-01']]
[['Mirko Ivanovski', 'startMemberOf', 'FC Petrolul Ploiești', '2022-06-01']]
[['Aleksandar Filipović ( footballer)', 'endMemberOf', 'FC BATE Borisov', '2022-06-01']]
[['Cristian Dumitru', 'startMemberOf', 'CS Mioveni', '2022-06-01']]
[['Alyaksandr Martynovich', 'endMemberOf', 'FC Krasnodar', '2022-06-01']]
[['Dénis Duarte', 'endMemberOf', 'FC Tom Tomsk', '2022-06-01']]
[['Daniil Kovalev', 'endMemberOf', 'FC Lokomotiv Gomel', '2022-06-01']]
[['José Sosa', 'endMemberOf', 'Fenerbahçe S. K. ( football)', '2022-06-01']]
[['Maksim Samatoj', 'endMemberOf', 'FC Energetik-BGU Minsk', '2022-06-01']]
[['Ángel Di María', 'endMemberOf', 'Paris Saint-Germain F. C.', '2022-06-01']]
[['Fanos Katelaris', 'endMemberOf', 'Apollon Limassol FC', '2022-06-01']]
[['Merih Demiral', 'endMemberOf', 'Atalanta B. C.', '2022-06-01']]
[['Đorđe Ivanović', 'endMemberOf', 'FC Shakhtyor Soligorsk', '2022-06-01']]
[['Bas Dost', 'endMemberOf', 'Club Brugge KV', '2022-06-01']]
[['Andriy Yarmolenko', 'endMemberOf', 'West Ham United F. C.', '2022-06-01']]
[['Moussa Sissoko', 'endMemberOf', 'Watford F. C.', '2022-06-01']]
[['Šime Vrsaljko', 'endMemberOf', 'Atlético Madrid', '2022-06-01']]
[['Dries Mertens', 'endMemberOf', 'S. S. C. Napoli', '2022-06-01']]
[['Andriy Markovych', 'endMemberOf', 'FC Karpaty Lviv', '2022-06-01']]
[['Max Meyer ( footballer)', 'endMemberOf', 'FC Midtjylland', '2022-06-01']]
[['Anthony Martial', 'endMemberOf', 'Sevilla FC', '2022-06-01']]
[['Jason Denayer', 'endMemberOf', 'Olympique Lyonnais', '2022-06-01']]
