[['V U002E J U002E Holmes', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-01-01']]
[['Catherine L Omosule', 'endWorksFor', 'Washington University School of Medicine', '2026-08-10']]
[['Daniel Harrich', 'startAcademicDegree', 'Master of Fine Arts generic instance', '2026-08-12']]
[['Cindy De Jonge', 'endWorksFor', 'University of Antwerp', '2026-08-14']]
[['Huajian Liu', 'endWorksFor', 'Catalan Institute Of Chemical Research', '2026-08-17']]
[['Marcin Przydacz', 'startAcademicDegree', 'Master of Business Administration generic instance', '2026-08-19']]
[['Ryan Boyce', 'startAcademicDegree', 'Master of Fine Arts generic instance', '2026-08-20']]
[['Yining Jiang', 'award', 'Master of Fine Arts generic instance', '2026-08-22']]
[['Tyler Wagner', 'startAcademicDegree', 'Master of Music generic instance', '2026-08-22']]
[['Rio Grande do Sul', 'startLeader', 'Libor Chrobok', '2026-08-22']]
[['Marius Rusu', 'endWorksFor', 'University of Lille Nord de France', '2026-08-22']]
[['Natthachet Tangdamrongsub', 'startNotableWork', 'Scientific Professorship Degree generic instance', '2026-08-22']]
[['Lucy Porter', 'endWorksFor', 'Acronym ( organization)', '2026-08-25']]
[['Lee Yang', 'startAcademicDegree', 'Master of Music generic instance', '2026-08-26']]
[['Phimmasone Michael Rattanasengchanh', 'startMemberOf', 'Ukraine', '2026-08-27']]
[['Aj Hedgecock', 'startAcademicDegree', 'Master of Business Administration generic instance', '2026-08-30']]
[['Audrey Lustig', 'startAcademicDegree', 'Master of Music generic instance', '2026-08-31']]
[['Erika Rubenson', 'startAcademicDegree', 'Master of Arts generic instance', '2026-08-31']]
[['Monica Lasky', 'endWorksFor', 'North Carolina Zoo', '2026-08-31']]
[['Ravi Naidu', 'award', 'Master of Business Administration generic instance', '2026-08-31']]
[['Igor Prünster', 'award', 'Master of Fine Arts generic instance', '2026-08-31']]
[['Jacopo Vialetto', 'startMemberOf', 'Shaka Ponk', '2026-08-31']]
[['Harry White ( cricketer, born 1995)', 'startPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-08-31']]
[['Terrel Martin-Garcia', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-08-31']]
[['Stein-Erik Eriksen', 'award', 'Master of Business Administration generic instance', '2026-08-31']]
[['Emily Berndt', 'endWorksFor', 'Community Université Grenoble Alpes', '2026-08-31']]
[['Amy Satterthwaite', 'startPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-08-31']]
[['Guido Zichittella', 'startAcademicDegree', 'Master of Music generic instance', '2026-08-31']]
[['Megan Gustafson', 'startPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-09-01']]
[['Wirecard', 'endLeader', 'Radovan Vítek', '2026-09-01']]
[['Lamontray Harris', 'startAcademicDegree', 'Master of Arts generic instance', '2026-09-01']]
[['C U002E J U002E Duff', 'award', 'Master of Music generic instance', '2026-09-01']]
[['Rob Schmitt', 'startNotableWork', 'Fox & Friends First', '2026-09-01']]
[['Derrick Luckassen', 'startMemberOf', 'Chesapeake Regional Medical Center', '2026-09-01']]
[['Jörg Widmann', 'startAcademicDegree', 'Master of Music generic instance', '2026-09-01']]
[['Moussa Kone', 'startMemberOf', 'University of Kent', '2026-09-01']]
[['Bethany Lusch', 'startAcademicDegree', 'Master of Arts generic instance', '2026-09-01']]
[['Marius Rusu', 'award', 'Master of Business Administration generic instance', '2026-09-01']]
[['Jose Antonio Briz', 'endWorksFor', 'CERN', '2026-09-02']]
[['Parker Van Dyke', 'startWorksFor', 'La Trobe University', '2026-09-05']]
[['Tommy Layne', 'startMemberOf', 'Federal Ministry of Education and Research ( Germany)', '2026-09-05']]
[['Evan Kuhlman', 'startPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-09-06']]
[['Seth Dittmer', 'startAcademicDegree', 'Master of Fine Arts generic instance', '2026-09-06']]
[['Joe Mooney', 'startPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-09-06']]
[['Bruno De Medeiros', 'startAcademicDegree', 'Master of Business Administration generic instance', '2026-09-07']]
[['Bor-Luen Huang', 'startAcademicDegree', 'Master of Music generic instance', '2026-09-14']]
[['Leon Bailey', 'endWorksFor', 'Federal Ministry of Education and Research ( Germany)', '2026-09-15']]
[['Yaneirys Rodríguez', 'award', 'Master of Business Administration generic instance', '2026-09-17']]
[['Isaiah Palermo', 'startAcademicDegree', 'Master of Arts generic instance', '2026-09-17']]
[['Scarlett Estevez', 'endNotableWork', 'Bunk\' d', '2026-09-18']]
[['Monjur Ahmed', 'startWorksFor', 'Department of Tourism, Culture, Arts, Gaeltacht, Sport and Media', '2026-09-20']]
[['Anna J Zaczek', 'startAcademicDegree', 'Master of Fine Arts generic instance', '2026-09-24']]
[['Sheldon Eberhardt', 'endWorksFor', 'Federal Ministry of Education and Research ( Germany)', '2026-09-26']]
[['Gary Hooper', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-09-27']]
[['Cindy Xiaoning Chen', 'startAcademicDegree', 'Master of Music generic instance', '2026-09-27']]
[['Paolo Rossini', 'startWorksFor', 'Hahnemann University Hospital', '2026-09-29']]
[['SoftBank Group', 'endLeader', 'Marc Asbeck', '2026-09-29']]
[['Connor Wheeler', 'startPlaysIn', 'National Hockey League', '2026-09-30']]
[['Ce Electronics Holding', 'startMemberOf', 'Xavier University of Louisiana', '2026-09-30']]
[['Zhen Zhang', 'endWorksFor', 'East China University of Science and Technology', '2026-09-30']]
[['Federico Gatti', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-09-30']]
[['Intel', 'startLeader', 'Radovan Vítek', '2026-09-30']]
[['Dana Raysor', 'startWorksFor', 'Potomac Cfi', '2026-09-30']]
[['Sandi Toksvig', 'startAcademicDegree', 'Master of Business Administration generic instance', '2026-09-30']]
[['Kirill Gorshkov', 'endWorksFor', 'Eli Lilly and Company', '2026-09-30']]
[['Audrey Lustig', 'startAcademicDegree', 'Master of Fine Arts generic instance', '2026-09-30']]
[['Matt Weyand', 'startPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-09-30']]
[['Rowan Sprague', 'endWorksFor', 'University of Lille Nord de France', '2026-09-30']]
[['David Rudling', 'startAcademicDegree', 'Master of Arts generic instance', '2026-09-30']]
[['Seattle', 'endLeader', 'Marc Asbeck', '2026-09-30']]
[['Thomas D U002E W U002E Corbett', 'startMemberOf', 'Potomac Cfi', '2026-09-30']]
[['Jennifer Mcfaline-Figueroa', 'award', 'Master of Music generic instance', '2026-09-30']]
[['Shazia Rehman', 'startNotableWork', 'Master of Business Administration generic instance', '2026-09-30']]
[['Christopher Joyce', 'startMemberOf', 'Disney Television Studios', '2026-10-01']]
[['Austin Eagleton', 'startMemberOf', 'UOP LLC', '2026-10-01']]
[['Clarence Nadolny', 'startWorksFor', 'Hahnemann University Hospital', '2026-10-01']]
[['Ryō Kubota', 'startAcademicDegree', 'Master of Fine Arts generic instance', '2026-10-01']]
[['John Peter Merryman Boncori', 'startAcademicDegree', 'Master of Arts generic instance', '2026-10-01']]
[['Vladislav Davydov', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-10-01']]
[['Thibault Vlietinck', 'startWorksFor', 'Hahnemann University Hospital', '2026-10-01']]
[['Paolo Rossini', 'endWorksFor', 'Hahnemann University Hospital', '2026-10-01']]
[['Lauri Markkanen', 'startPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-10-01']]
[['Bharath Sundaram', 'endWorksFor', 'Nalanda University', '2026-10-01']]
[['Jordan M Casey', 'endWorksFor', 'Potomac Cfi', '2026-10-01']]
[['Dariusz Dudka', 'startWorksFor', 'UOP LLC', '2026-10-01']]
[['Paolo Rossini', 'endWorksFor', 'Hahnemann University Hospital', '2026-10-01']]
[['Peter Jeszenszki', 'startAcademicDegree', 'Master of Arts generic instance', '2026-10-01']]
[['Dana Raysor', 'endWorksFor', 'Potomac Cfi', '2026-10-01']]
[['Toms Skujiņš', 'startAcademicDegree', 'Master of Arts generic instance', '2026-10-01']]
[['Matt Weyand', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-10-02']]
[['Jane Oliver', 'startAcademicDegree', 'Master of Education generic instance', '2026-10-06']]
[['Joseph Stiglitz', 'startMemberOf', 'Ministry Of Innovation U002C Science And Research Of North Rhine-Westphalia', '2026-10-06']]
[['Alonso Vicente Pizarro Valdebenito', 'endWorksFor', 'Hewlett Packard Enterprise', '2026-10-08']]
[['Víctor Reyes', 'startAcademicDegree', 'Master of Education generic instance', '2026-10-12']]
[['Brandon Allen ( soccer)', 'startMemberOf', 'Julius Meinl Living Holdings', '2026-10-13']]
[['Romuald Huszcza', 'startAcademicDegree', 'Master of Arts generic instance', '2026-10-14']]
[['Jayden Oosterwolde', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-10-15']]
[['Sanjeevan Rajendran', 'endWorksFor', 'Uppsala University', '2026-10-15']]
[['Shelby Simmons', 'startNotableWork', 'Bunk\' d', '2026-10-16']]
[['Marcus Lightfoot', 'startMemberOf', 'Medical University of Vienna', '2026-10-16']]
[['Plamen Iliev ( footballer, born 1991)', 'startPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-10-21']]
[['Collonge-Bellerive', 'startLeader', 'Radovan Vítek', '2026-10-21']]
[['Jennifer Crowther', 'startAcademicDegree', 'Master of Music generic instance', '2026-10-23']]
[['Lisa Taouma', 'startNotableWork', 'Master of Business Administration generic instance', '2026-10-23']]
[['Patrick Sieloff', 'endWorksFor', 'University-Hospital Polyclinic Of Modena', '2026-10-25']]
[['Tj Clifford', 'startWorksFor', 'University of Lille Nord de France', '2026-10-25']]
[['Legion Of Superheroes', 'award', 'Master of Fine Arts generic instance', '2026-10-25']]
[['Eric Ayala', 'startMemberOf', 'University of Lille Nord de France', '2026-10-25']]
[['Solomon Iluyomade', 'startMemberOf', 'Hewlett Packard Enterprise', '2026-10-26']]
[['Joe Young ( basketball)', 'endWorksFor', 'Innogy Česká Republika', '2026-10-28']]
[['Emily Herfoss', 'startAcademicDegree', 'Master of Education generic instance', '2026-10-31']]
[['Mohammad Ghavamzadeh', 'startMemberOf', 'Medical University of South Carolina', '2026-10-31']]
[['Gabriela Gonçalves Amaral', 'endWorksFor', 'Federal University of São João del-Rei', '2026-10-31']]
[['Nelson Aguirre-Duarte', 'startWorksFor', 'European Commission generic instance', '2026-10-31']]
[['Richeal Ni Riordain', 'startWorksFor', 'University of St Andrews', '2026-10-31']]
[['David A U002E Donoso', 'endWorksFor', 'University of Cuenca', '2026-10-31']]
[['Thiago Brito', 'startAcademicDegree', 'Master of Music generic instance', '2026-10-31']]
[['Delphine Remy-Boutang', 'startMemberOf', 'Community Université Grenoble Alpes', '2026-10-31']]
[['Province of Monza and Brianza', 'startLeader', 'Oldřich Bajer', '2026-11-01']]
[['Christopher Joyce', 'startAcademicDegree', 'Master of Music generic instance', '2026-11-01']]
[['Zane N Norvill', 'startAcademicDegree', 'Master of Business Administration generic instance', '2026-11-01']]
[['Nicolas Casanova', 'startWorksFor', 'Brittany And Loire University', '2026-11-01']]
[['Bismarck, North Dakota', 'startLeader', 'Heinz Hermann Thiele', '2026-11-01']]
[['Ha Dae-won', 'startMemberOf', 'Disney Television Studios', '2026-11-01']]
[['Derrick Bruce', 'endWorksFor', 'Disney Television Studios', '2026-11-01']]
[['FTX', 'startLeader', 'Lena Luthor', '2026-11-01']]
[['Gabriela Liberalino Lima', 'endWorksFor', 'Federal University of Roraima', '2026-11-01']]
[['Ryan Boyce', 'startAcademicDegree', 'Master of Education generic instance', '2026-11-01']]
[['Ana Escamilla', 'startWorksFor', 'Ministry of Defence ( United Kingdom)', '2026-11-01']]
[['Sailakshmi Velamoor', 'endWorksFor', 'Ministry of Defence ( United Kingdom)', '2026-11-01']]
[['Atash V U002E Gurbanov', 'startAcademicDegree', 'Master of Music generic instance', '2026-11-01']]
[['Derrick Bruce', 'endWorksFor', 'Disney Television Studios', '2026-11-01']]
[['Nieves Lugo Suárez', 'startAcademicDegree', 'Master of Business Administration generic instance', '2026-11-04']]
[['Joseph Fourier University', 'endLeader', 'Jensen Huang', '2026-11-05']]
[['Kamari Williams', 'startPlaysIn', 'National Hockey League', '2026-11-06']]
[['Wuhan', 'startLeader', 'Amir Haddad', '2026-11-06']]
[['Hüseyin İlter', 'startWorksFor', 'University of Lille Nord de France', '2026-11-06']]
[['Alpha Okoli', 'startAcademicDegree', 'Master of Business Administration generic instance', '2026-11-08']]
[['Anna J Zaczek', 'startAcademicDegree', 'Master of Arts generic instance', '2026-11-10']]
[['Al-Amir Dawes', 'startAcademicDegree', 'Master of Arts generic instance', '2026-11-15']]
[['ConocoPhillips', 'startLeader', 'Libor Chrobok', '2026-11-17']]
[['Lisbet Arredondo', 'startAcademicDegree', 'Master of Music generic instance', '2026-11-21']]
[['Maria E K Lie', 'startWorksFor', 'Sri Venkateswara University', '2026-11-28']]
[['Jhonny Victor', 'endWorksFor', 'University of Innsbruck', '2026-11-28']]
[['Ksenia Dyachenko', 'startPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-11-29']]
[['Jimmy Clark Iii', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-11-29']]
[['Inês Araújo', 'award', 'Master of Music generic instance', '2026-11-29']]
[['Dominique Shaw', 'startAcademicDegree', 'Master of Arts generic instance', '2026-11-29']]
[['Ján Michalko', 'startAcademicDegree', 'Master of Music generic instance', '2026-11-30']]
[['Eugenio Spadoni Andreani', 'endWorksFor', 'McGill University', '2026-12-01']]
[['Ivan Yagan', 'startPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-12-01']]
[['LadBaby', 'startWorksFor', 'Federal Ministry of Education and Research ( Germany)', '2026-12-01']]
[['Brian Voelkel', 'startAcademicDegree', 'Master of Business Administration generic instance', '2026-12-01']]
[['Andrew J Maroda', 'endWorksFor', 'University of Tennessee Health Science Center', '2026-12-01']]
[['Denis Zakaria', 'startPlaysIn', 'National Hockey League', '2026-12-01']]
[['Luke Hyam', 'endWorksFor', 'TU Wien', '2026-12-01']]
[['Matthew Whichelow', 'award', 'Master of Music generic instance', '2026-12-01']]
[['Alfio Pelliccioni', 'endWorksFor', 'University Of The French West Indies And Guiana', '2026-12-01']]
[['Ruth Davis ( basketball)', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-12-01']]
[['Fachhochschule Des Bundes Für Öffentliche Verwaltung', 'award', 'Master of Business Administration generic instance', '2026-12-01']]
[['Viktor Axelsen', 'startPlaysIn', 'National Hockey League', '2026-12-01']]
[['Zane N Norvill', 'startAcademicDegree', 'Master of Education generic instance', '2026-12-01']]
[['Hoeksche Waard ( municipality)', 'endLeader', 'Lee Kun-hee', '2026-12-01']]
[['Jahmiah Simmons', 'endPlaysIn', 'National Hockey League', '2026-12-01']]
[['Lyles Davis', 'startMemberOf', 'TU Wien', '2026-12-02']]
[['Ørskog', 'endLeader', 'Radovan Vítek', '2026-12-02']]
[['Suchol Savagatrup', 'startMemberOf', 'Innogy Česká Republika', '2026-12-03']]
[['Renata Thaís De A Barbosa', 'endWorksFor', 'Centro Universitário das Faculdades Metropolitanas Unidas', '2026-12-03']]
[['Magdalena Żemojtel-Piotrowska', 'startAcademicDegree', 'Master of Music generic instance', '2026-12-05']]
[['Jacob Broussard', 'endWorksFor', 'Disney Television Studios', '2026-12-10']]
[['Gary Akbar', 'startPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-12-10']]
[['Bismarck Maia', 'startWorksFor', 'Shaka Ponk', '2026-12-12']]
[['Walter Dellisanti', 'award', 'Master of Business Administration generic instance', '2026-12-13']]
[['Júlia Truyol', 'endNotableWork', 'Com Si Fos Ahir', '2026-12-13']]
[['Austin Mueller', 'startAcademicDegree', 'Master of Business Administration generic instance', '2026-12-18']]
[['Sumyya Waliullah', 'startAcademicDegree', 'Master of Education generic instance', '2026-12-19']]
[['Nieves Lugo Suárez', 'startAcademicDegree', 'Master of Music generic instance', '2026-12-22']]
[['Matthew W Gorr', 'endWorksFor', 'Collis Real', '2026-12-23']]
[['Trinity', 'endManufacturer', 'The Walt Disney Company', '2026-12-23']]
[['Pete Miller', 'startAcademicDegree', 'Master of Arts generic instance', '2026-12-25']]
[['Nic Zeil', 'startPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-12-27']]
[['Rissa, Norway', 'startMemberOf', 'George Mason University', '2026-12-31']]
[['Travis Trim', 'award', 'Master of Business Administration generic instance', '2026-12-31']]
[['Christian G Ramos', 'startMemberOf', 'Stony Brook University', '2026-12-31']]
[['Nic Zeil', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-12-31']]
[['Brent Urban', 'startMemberOf', 'Loughborough University', '2026-12-31']]
[['Ander Gago', 'startMemberOf', 'TU Wien', '2026-12-31']]
[['Hakeem Anchrum', 'startAcademicDegree', 'Master of Music generic instance', '2026-12-31']]
[['Skechers', 'award', 'Master of Fine Arts generic instance', '2026-12-31']]
[['Tzer-Yang Yu', 'startAcademicDegree', 'Master of Arts generic instance', '2026-12-31']]
[['Jefferson A Cavalcante', 'endWorksFor', 'Centro Universitário Barriga Verde', '2026-12-31']]
[['Christopher Jon Andrews', 'startAcademicDegree', 'Master of Music generic instance', '2026-12-31']]
[['Svelvik', 'endLeader', 'Fattah Amin', '2026-12-31']]
[['Anne B Chang', 'startMemberOf', 'Vita-Salute San Raffaele University', '2026-12-31']]
[['Masaharu Motoshita', 'endWorksFor', 'Hiroshima University', '2026-12-31']]
[['Cuenca Canton', 'endLeader', 'Libor Chrobok', '2026-12-31']]
