[['Ruth Davis (basketball)', 'award', 'Pac-12 Conference Women\'s Basketball Player of the Year', '2015-01-01']]
[['Catharina Elizabeth Myburgh', 'startWorksFor', 'North-West University', '2017-02-01']]
[['Bořek Dočkal', 'startMemberOf', 'Henan Songshan Longmen F.C.', '2017-02-01']]
[['Homecoming (Supergirl)', 'startContentLocation', 'Kara Danvers\' Apartment', '2017-02-01']]
[['Mike A. Zuber', 'endWorksFor', 'University of Amsterdam', '2017-02-01']]
[['Homecoming (Supergirl)', 'startContentLocation', 'D.E.O. Headquarters', '2017-02-01']]
[['Homecoming (Supergirl)', 'startContentLocation', 'Al\'S Dive Bar', '2017-02-01']]
[['Adrian Doroszko', 'startAcademicDegree', 'Habilitation', '2017-02-23']]
[['Malte Feja', 'endWorksFor', 'Free University of Berlin', '2017-02-01']]
[['Parthasarathi Subramanian', 'endWorksFor', 'University of Göttingen', '2018-02-28']]
[['Upendarrao Golla', 'endWorksFor', 'University of Florida', '2018-02-28']]
[['Oleg Shatov', 'startMemberOf', 'FC Krasnodar', '2018-02-01']]
[['Anusha L Dissanayake', 'endWorksFor', 'University of Georgia', '2018-02-01']]
[['Dmitry Aliseyko', 'startMemberOf', 'FC Isloch Minsk Raion', '2018-02-01']]
[['Junghwan Goh', 'endWorksFor', 'Hanyang University', '2018-02-28']]
[['Youssouf Dao', 'startMemberOf', 'FC Sellier & Bellot Vlašim', '2018-02-01']]
[['Jakob Matthias Krämer', 'endWorksFor', 'Helmholtz-Zentrum Dresden-Rossendorf', '2018-02-28']]
[['Federico Panciera', 'endWorksFor', 'National University of Singapore', '2018-02-01']]
[['Laissac-Sévérac-l\'Église', 'endLeader', 'Claude Salles', '2018-02-15']]
[['Wojciech Śleszyński', 'startAcademicDegree', 'Scientific Professorship Degree', '2019-02-05']]
[['Tadeusz Magiera', 'startAcademicDegree', 'Scientific Professorship Degree', '2019-02-25']]
[['Przemyslaw Perlikowski', 'startAcademicDegree', 'Scientific Professorship Degree', '2019-02-05']]
[['Hyunju Ryu', 'endWorksFor', 'Seoul National University', '2019-02-01']]
[['Alessia Romani', 'endWorksFor', 'National Interuniversity Consortium Of Materials Science And Technology', '2019-02-15']]
[['Joanes Grandjean', 'endWorksFor', 'Agency for Science, Technology and Research', '2019-02-28']]
[['Mikhail Zhvanetsky', 'award', 'Order \'For Merit To The Fatherland\' Iii Class', '2019-02-27']]
[['Michael T Madsen', 'endWorksFor', 'Zealand University Hospital, Roskilde', '2019-02-28']]
[['Min-Jeong Lee', 'endWorksFor', 'Ajou University School Of Medicine And Graduate School Of Medicine', '2019-02-28']]
[['Aaron Lun', 'endWorksFor', 'Cancer Research Uk Cambridge Institute', '2019-02-28']]
[['Nailya Asker-Zade', 'startOwns', 'Land lot', '2019-02-01']]
[['Janka Kupala National Theatre', 'startLeader', 'Pavel Latushko', '2019-02-01']]
[['Rebecca Mclaughlan', 'endWorksFor', 'University of Melbourne', '2019-02-01']]
[['Nobel Boungou Colo', 'startMemberOf', 'Club Joventut Badalona', '2019-02-01']]
[['Catalunya Comunicació', 'endLeader', 'Ramon Rovira I Pol', '2019-02-28']]
[['Dmytro Bashlay', 'startMemberOf', 'FC Arsenal Kyiv', '2019-02-01']]
[['Kanstantsin Kastsiuchenka', 'award', 'Francysk Skaryna Medal', '2020-02-27']]
[['Marathon', 'startContentLocation', 'Cc Jitters', '2020-02-01']]
[['Agata Kwiatkowska-Lubańska', 'startAcademicDegree', 'Habilitation', '2020-02-17']]
[['Petra Marusic', 'endWorksFor', 'Peter MacCallum Cancer Centre', '2020-02-01']]
[['First Kurti cabinet', 'startLeader', 'Albin Kurti', '2020-02-03']]
[['Hyoseob Lim', 'endWorksFor', 'Hallym University', '2020-02-29']]
[['Davor Kvočka', 'endWorksFor', 'Slovenian National Building And Civil Engineering Institute', '2020-02-29']]
[['A Girl Named Sue', 'startContentLocation', 'Central City (DC Comics)', '2020-02-01']]
[['Grodd Friended Me', 'startContentLocation', 'Central City (DC Comics)', '2020-02-01']]
[['Lucyna Kapka-Skrzypczak', 'startAcademicDegree', 'Scientific Professorship Degree', '2020-02-06']]
[['Jakub Nicpoń', 'startAcademicDegree', 'Scientific Professorship Degree', '2020-02-28']]
[['Grodd Friended Me', 'startContentLocation', 'S.T.A.R. Labs', '2020-02-01']]
[['Marathon', 'startContentLocation', 'Central City (DC Comics)', '2020-02-01']]
[['Francesco Regazzoni', 'startAcademicDegree', 'Doctor of Philosophy', '2020-02-18']]
[['Marathon', 'startContentLocation', 'S.T.A.R. Labs', '2020-02-01']]
[['Napoleon Waszkiewicz', 'startAcademicDegree', 'Scientific Professorship Degree', '2020-02-28']]
[['Dominika Latusek-Jurczak', 'startAcademicDegree', 'Scientific Professorship Degree', '2020-02-28']]
[['Kosovo', 'startLeader', 'Albin Kurti', '2020-02-03']]
[['Jiho Yoo', 'endWorksFor', 'Duke University', '2020-02-14']]
[['Kim Jun-young (footballer)', 'startMemberOf', 'FC Dinamo Minsk', '2020-02-01']]
[['NMC Health', 'endLeader', 'Prasanth Manghat', '2020-02-26']]
[['Fatos Bećiraj', 'startMemberOf', 'Bnei Yehuda Tel Aviv F.C.', '2021-02-01']]
[['Puducherry (union territory)', 'endLeader', 'V. Narayanasamy', '2021-02-23']]
[['Giulio Colombo', 'startAcademicDegree', 'Doctor of Philosophy', '2021-02-26']]
[['Artur Wdowiak', 'startAcademicDegree', 'Scientific Professorship Degree', '2021-02-22']]
[['Second Conte government', 'endLeader', 'Giuseppe Conte', '2021-02-13']]
[['Intel', 'endLeader', 'Bob Swan', '2021-02-15']]
[['Draghi government', 'startLeader', 'Mario Draghi', '2021-02-13']]
[['Łukasz A Małek', 'startAcademicDegree', 'Scientific Professorship Degree', '2021-02-11']]
[['Jan Matysiak', 'startAcademicDegree', 'Scientific Professorship Degree', '2021-02-22']]
[['Rodion Syamuk', 'startMemberOf', 'FC Tambov', '2021-02-01']]
[['Guadalajara', 'endLeader', 'Ismael Del Toro', '2021-02-28']]
[['Ludmiła Daniłowicz-Szymanowicz', 'startAcademicDegree', 'Scientific Professorship Degree', '2021-02-26']]
[['Anhui', 'endLeader', 'Li Guoying', '2021-02-01']]
[['Łukasz Matusiak', 'startAcademicDegree', 'Scientific Professorship Degree', '2021-02-26']]
[['Davide Rebellin', 'startMemberOf', 'Work Service–Vitalcare–Dynatek', '2021-02-20']]
[['Heilongjiang', 'startLeader', 'Hu Changsheng', '2021-02-22']]
[['Akai Haato', 'award', 'Gold Play Button', '2021-02-10']]
[['Varun Arora', 'endWorksFor', 'IIT Delhi', '2021-02-02']]
[['Vrije Universiteit Brussel', 'endLeader', 'Caroline Pauwels', '2022-02-01']]
[['Jinni', 'startMemberOf', 'Nmixx', '2022-02-22']]
[['Han Kook-young', 'startMemberOf', 'Gangwon FC', '2022-02-06']]
[['Stanislav Izhakovsky', 'startMemberOf', 'FC Rogachev', '2022-02-01']]
[['Plamen Iliev (footballer, born 1991)', 'startMemberOf', 'FC Hermannstadt', '2022-02-01']]
[['Jack Schlossberg', 'startAcademicDegree', 'Juris Doctor', '2022-02-01']]
[['Đorđe Šušnjar', 'startMemberOf', 'FK Sloboda Užice', '2022-02-01']]
[['Evgheni Oancea', 'startMemberOf', 'FC Noah', '2022-02-01']]
[['Jack Schlossberg', 'startAcademicDegree', 'Master of Business Administration', '2022-02-01']]
[['Nikita Melnikov (footballer)', 'startMemberOf', 'FC Arsenal Dzerzhinsk', '2022-02-01']]
[['Hyeok Choi', 'endWorksFor', 'Severance Hospital', '2022-02-28']]
[['Nicolas Garrido A', 'startWorksFor', 'University of Tarapacá', '2015-03-20']]
[['Tadeusz J. Zieliński', 'startAcademicDegree', 'Scientific Professorship Degree', '2015-03-04']]
[['General Council Of Hautes-Alpes', 'endLeader', 'Michel Roy', '2015-03-01']]
[['Anna J Zaczek', 'startAcademicDegree', 'Habilitation', '2015-03-12']]
[['Hanna Godlewska-Majkowska', 'startAcademicDegree', 'Scientific Professorship Degree', '2015-03-04']]
[['Daniel Cruz', 'startWorksFor', 'University of Aveiro', '2015-03-12']]
[['Suicidal Tendencies', 'startContentLocation', 'Kaznia', '2015-03-01']]
[['Olga Dal Monte', 'startWorksFor', 'Yale University', '2015-03-17']]
[['Bosnia and Herzegovina', 'startLeader', 'Denis Zvizdić', '2015-03-31']]
[['Daniel K. Wójcik', 'startAcademicDegree', 'Scientific Professorship Degree', '2015-03-04']]
[['Suicidal Tendencies', 'startContentLocation', 'Star City (comics)', '2015-03-01']]
[['Cecilia Laterza', 'endWorksFor', 'San Raffaele Hospital', '2015-03-31']]
[['Yuan-Ming Yeh', 'startWorksFor', 'Chang Gung University', '2015-03-01']]
[['Li Zhao', 'endWorksFor', 'Shiga University of Medical Science', '2015-03-31']]
[['Romuald Huszcza', 'startAcademicDegree', 'Scientific Professorship Degree', '2015-03-04']]
[['Anna Burniol-Figols', 'startWorksFor', 'Aalborg University', '2015-03-15']]
[['Bruce Schultz', 'endWorksFor', 'Henry M. Jackson Foundation for the Advancement of Military Medicine', '2015-03-15']]
[['Poliana De B Medeiros', 'startWorksFor', 'Hospital das Clínicas da Universidade de São Paulo', '2015-03-01']]
[['Filippo M Miatto', 'endWorksFor', 'University of Ottawa', '2015-03-01']]
[['Paul C Bauer', 'endWorksFor', 'University of Bern', '2015-03-31']]
[['Marzena Dominiak', 'startAcademicDegree', 'Scientific Professorship Degree', '2015-03-04']]
[['Monika Brzychczy-Wloch', 'startAcademicDegree', 'Habilitation', '2015-03-19']]
[['Ana Patrícia Hilário', 'startWorksFor', 'Instituto Piaget', '2015-03-01']]
[['Ayele Almaw Fenta', 'endWorksFor', 'Mekelle University', '2015-03-31']]
[['Tanja Leppäaho', 'endWorksFor', 'University of Edinburgh', '2016-03-31']]
[['Fatih Bayram', 'endWorksFor', 'Ordu University', '2016-03-01']]
[['Kelsey A Rankin', 'endWorksFor', 'Brigham and Women\'s Hospital', '2016-03-15']]
[['Marco Iannetta', 'endWorksFor', 'Sapienza University of Rome', '2016-03-31']]
[['Bor-Luen Huang', 'endWorksFor', 'Academia Sinica', '2016-03-01']]
[['Masahiro Miyake', 'endWorksFor', 'Ministry of Health, Labour and Welfare', '2016-03-31']]
[['Beacon Of Hope', 'startContentLocation', 'Iron Heights Penitentiary', '2016-03-29']]
[['Simone Ciambelli', 'startAcademicDegree', 'Laurea Magistrale', '2016-03-01']]
[['Inner Mongolia', 'startLeader', 'Bu Xiaolin', '2016-03-30']]
[['Li Yuanrong', 'endNationality', 'China', '2016-03-05']]
[['Jonathan Lee', 'startWorksFor', 'North York General Hospital', '2016-03-01']]
[['Lina Sarro', 'award', 'Knight Of The Order Of The Star Of Italy', '2016-03-14']]
[['Loreani P Noguera', 'startWorksFor', 'Pontifical Catholic University of Chile', '2016-03-01']]
[['Michael van Praag', 'award', 'Jillis Bruggeman Penning', '2016-03-09']]
[['Josna Joseph', 'startWorksFor', 'University of Kerala', '2016-03-28']]
[['Seongmin Choi', 'startWorksFor', 'Seoul National University Hospital', '2016-03-02']]
[['Kristjan Poder', 'startWorksFor', 'Imperial College London', '2016-03-01']]
[['Alexandra Rogers', 'endWorksFor', 'MIND Institute', '2016-03-01']]
[['Joao Bimbo', 'startWorksFor', 'Istituto Italiano di Tecnologia', '2016-03-01']]
[['Pedro F Saint-Maurice', 'startWorksFor', 'University of Minho', '2016-03-01']]
[['Yongjie Lin', 'endWorksFor', 'Northwestern University', '2016-03-31']]
[['Tetyana Cherep-Perohanych', 'startWorksFor', 'Pharmacy Professional Association Of Ukraine', '2017-03-01']]
[['Ayse Nur Ay', 'startWorksFor', 'Sakarya University', '2017-03-01']]
[['Michelle Yeoh', 'award', 'Commander Of The Legion Of Honour', '2017-03-28']]
[['Oscar David Diaz-Sotelo', 'endWorksFor', 'Corporación Universitaria Minuto De Dios', '2017-03-15']]
[['Exodus (Supergirl)', 'startContentLocation', 'D.E.O. Headquarters', '2017-03-01']]
[['Chhanda Charan Danta', 'startWorksFor', 'University of Bradford', '2017-03-15']]
[['Exodus (Supergirl)', 'startContentLocation', 'Al\'S Dive Bar', '2017-03-01']]
[['Exodus (Supergirl)', 'startContentLocation', 'National City (DC Comics)', '2017-03-01']]
[['Exodus (Supergirl)', 'startContentLocation', 'Alex Danvers\' Apartment', '2017-03-01']]
[['Andrea Columbu', 'startWorksFor', 'University of Bologna', '2017-03-01']]
[['Edinéia Bonin', 'startWorksFor', 'State University of Maringá', '2017-03-09']]
[['Shikai Jin', 'endWorksFor', 'University of Texas Southwestern Medical Center', '2017-03-15']]
[['Bichitra Nanda Sahoo', 'endWorksFor', 'York University', '2017-03-31']]
[['Accra', 'startLeader', 'Mohammed Adjei Sowah', '2017-03-24']]
[['Exodus (Supergirl)', 'startContentLocation', 'Kara Danvers\' Apartment', '2017-03-01']]
[['Truptimayee Behera', 'endWorksFor', 'Toyo University', '2017-03-31']]
[['Rustam Minnikhanov', 'award', 'Order of Alexander Nevsky', '2017-03-01']]
[['Jean-Patrick Abouna', 'startMemberOf', 'FC Neman Grodno', '2017-03-01']]
[['Muthuchamy Nallal', 'startWorksFor', 'Kyungpook National University', '2017-03-01']]
[['Exodus (Supergirl)', 'startContentLocation', 'Catco Worldwide Media Offices', '2017-03-01']]
[['Alyaksandr Dzemidovich', 'startMemberOf', 'FC Smolevichi', '2017-03-01']]
[['You-Fan Peng', 'endWorksFor', 'Affiliated Hospital Of Youjiang Medical University For Nationalities', '2017-03-01']]
[['Katarzyna Placek', 'endWorksFor', 'National Institutes of Health', '2017-03-01']]
[['Min Uk Kim', 'startWorksFor', 'Ewha Womans University Medical Center', '2017-03-01']]
[['Genki Sahashi', 'endWorksFor', 'Hokkaido University', '2017-03-31']]
[['Shristi Ram', 'endWorksFor', 'Central Salt and Marine Chemicals Research Institute', '2017-03-31']]
[['Mike Brady', 'endWorksFor', 'Open University', '2017-03-01']]
[['Hai Zhang', 'endWorksFor', 'Second Military Medical University', '2017-03-31']]
[['William Sánchez', 'startWorksFor', 'Francisco José de Caldas District University', '2017-03-15']]
[['Taisuke Ono', 'endWorksFor', 'Akita University Hospital', '2017-03-31']]
[['Erin R Voss', 'startWorksFor', 'University of Virginia', '2017-03-01']]
[['Masako Tanaka', 'endWorksFor', 'Osaka City University', '2017-03-31']]
[['Exodus (Supergirl)', 'startContentLocation', 'Lena Luthor\'S Office', '2017-03-01']]
[['NMC Health', 'startLeader', 'Prasanth Manghat', '2017-03-08']]
[['Karlijn A C Meeks', 'startWorksFor', 'Academic Medical Center (Amsterdam)', '2017-03-01']]
[['Herman N C Berghuijs', 'endWorksFor', 'Wageningen University & Research', '2018-03-31']]
[['Jurrien Knibbe', 'endWorksFor', 'Vrije Universiteit Amsterdam', '2018-03-31']]
[['Karlsruhe University of Arts and Design', 'endLeader', 'Siegfried Zielinski', '2018-03-30']]
[['Peter H Thorpe', 'endWorksFor', 'Francis Crick Institute', '2018-03-31']]
[['Renata Thaís De A Barbosa', 'startWorksFor', 'Centro Universitário das Faculdades Metropolitanas Unidas', '2018-03-10']]
[['Denys Shelikhov', 'startMemberOf', 'FC Luch Minsk (2012)', '2018-03-01']]
[['Swaid Abdullah', 'endWorksFor', 'Queens University Belfast School Of Biological Sciences', '2018-03-31']]
[['Mohiuddin Sharif', 'endWorksFor', 'Dhaka Medical College and Hospital', '2018-03-01']]
[['Demitrius Conger', 'startMemberOf', 'Club Joventut Badalona', '2018-03-01']]
[['Francesco Presel', 'startWorksFor', 'Technical University of Denmark', '2018-03-15']]
[['Mariusz Gujski', 'startAcademicDegree', 'Habilitation', '2018-03-21']]
[['Antonio A García-Valdivia', 'endWorksFor', 'University Of Granada Faculty Of Sciences', '2018-03-31']]
[['Ante Vukušić', 'startMemberOf', 'Olimpia Grudziądz', '2018-03-01']]
[['Ashleigh Shannon', 'endWorksFor', 'Vaxxas (Australia)', '2018-03-09']]
[['Amanda Selwood', 'endWorksFor', 'University of New South Wales', '2018-03-31']]
[['Sozvezdie', 'endLeader', 'Aleksey Bocharov', '2018-03-01']]
[['Kathryn McGrath', 'endWorksFor', 'Callaghan Innovation', '2018-03-01']]
[['Min Young Kim', 'startWorksFor', 'Chungbuk National University', '2018-03-02']]
[['Balasubramaniam Sivaraman', 'endWorksFor', 'Reliance Industries', '2018-03-16']]
[['O Obreja', 'endWorksFor', 'Hospital Winterthur', '2018-03-05']]
[['Femto Pulse', 'endManufacturer', 'Advanced Analytical Technologies (United States)', '2018-03-06']]
[['Biki Gupta', 'startWorksFor', 'Kyungpook National University', '2018-03-01']]
[['Kengo Fujii', 'endWorksFor', 'Icahn School of Medicine at Mount Sinai', '2018-03-31']]
[['Stanislaw Mazur', 'startAcademicDegree', 'Scientific Professorship Degree', '2018-03-22']]
[['10Th Ouyahia Cabinet', 'endLeader', 'Ahmed Ouyahia', '2019-03-11']]
[['Siarhiej Kučmieĺ', 'startMemberOf', 'FC Slonim-2017', '2019-03-01']]
[['Niklas Peters', 'endWorksFor', 'Bayer', '2019-03-31']]
[['Artur Kats', 'startMemberOf', 'FC Dnyapro Mogilev', '2019-03-01']]
[['Abigail Morris', 'endWorksFor', 'Liverpool John Moores University', '2019-03-29']]
[['Karolini Zuqui Nunes', 'endWorksFor', 'Faculdade Católica Salesiana Do Espírito Santo', '2019-03-05']]
[['Yuriy Pantya', 'startMemberOf', 'FC Slavia Mozyr', '2019-03-01']]
[['Yusuke Tsuboko', 'endWorksFor', 'Waseda University', '2019-03-31']]
[['Laetitia Mottet', 'endWorksFor', 'University of Cambridge', '2019-03-01']]
[['Gabriel F A Jesus', 'endWorksFor', 'Federal University of Santa Catarina', '2019-03-01']]
[['Dalima Chhibber', 'startMemberOf', 'Gokulam Kerala FC (women)', '2019-03-31']]
[['Yujiro Ina', 'endWorksFor', 'Iizuka Hospital', '2019-03-31']]
[['Lisanne Andra Gitsels', 'endWorksFor', 'University of East Anglia', '2019-03-01']]
[['Naomi Shimizu', 'endWorksFor', 'University Of Bristol School Of Veterinary Sciences', '2019-03-28']]
[['Greta Thunberg', 'award', 'Rachel Carson Prize (environmentalist award)', '2019-03-22']]
[['Tomohide Iwao', 'endWorksFor', 'Nara Institute of Science and Technology', '2019-03-31']]
[['Stelios Kokovas', 'startMemberOf', 'VfL Bochum', '2019-03-30']]
[['Kaushik Pal', 'endWorksFor', 'University of Malaya', '2019-03-31']]
[['Rémi Denise', 'endWorksFor', 'Pasteur Institute', '2019-03-30']]
[['Kyoto City University of Arts', 'endLeader', 'Kiyokazu Washida', '2019-03-31']]
[['Francesco Diana', 'endWorksFor', 'Istituto Neurologico Mediterraneo', '2019-03-17']]
[['Sara Molina-Gil', 'endWorksFor', 'Centro Andaluz De Biología Del Desarrollo', '2019-03-31']]
[['Stefan Brandlmeier', 'startMemberOf', 'Herrmann Radteam', '2019-03-18']]
[['Michitaro Hayakawa', 'endWorksFor', 'National Hospital Organization Tokyo Medical Center', '2019-03-01']]
[['Kızıltepe', 'startLeader', 'Nilüfer Elik Yılmaz', '2019-03-31']]
[['Antoine M G Barreaux', 'endWorksFor', 'University Park', '2019-03-30']]
[['Death Of The Speed Force', 'startContentLocation', 'S.T.A.R. Labs', '2020-03-01']]
[['Idalia Kasprzyk', 'startAcademicDegree', 'Scientific Professorship Degree', '2020-03-10']]
[['The Exorcism Of Nash Wells', 'startContentLocation', 'S.T.A.R. Labs', '2020-03-01']]
[['The Exorcism Of Nash Wells', 'startContentLocation', 'Cc Jitters', '2020-03-01']]
[['So Long And Goodnight', 'startContentLocation', 'Central City (DC Comics)', '2020-03-01']]
[['Nagaraj Yamanakkanavar', 'endWorksFor', 'Chosun University', '2020-03-30']]
[['Diether Sweeck', 'startMemberOf', 'Alpecin–Deceuninck', '2020-03-01']]
[['Ekaterina Vasilyeva', 'endWorksFor', 'King Abdullah University of Science and Technology', '2020-03-14']]
[['Willies, Nord', 'endLeader', 'Bruno Lallemant', '2020-03-05']]
[['Epiroc', 'endLeader', 'Per Lindberg', '2020-03-01']]
[['Liam R Chamberlain', 'endWorksFor', 'Nottinghamshire Healthcare NHS Foundation Trust', '2020-03-01']]
[['Death Of The Speed Force', 'startContentLocation', 'Cc Jitters', '2020-03-01']]
[['Alex In Wonderland', 'startContentLocation', 'National City (DC Comics)', '2020-03-01']]
[['Death Of The Speed Force', 'startContentLocation', 'Central City (DC Comics)', '2020-03-01']]
[['The Exorcism Of Nash Wells', 'startContentLocation', 'Central City (DC Comics)', '2020-03-01']]
[['Faumont', 'endLeader', 'Henri Coquelle', '2020-03-01']]
[['Anna Przybył', 'endWorksFor', 'University of Warmia and Mazury in Olsztyn', '2020-03-31']]
[['Lazar Sajčić', 'startMemberOf', 'FC Gomel', '2021-03-01']]
[['Jack T. Pronk', 'award', 'Knight Of The Order Of The Netherlands Lion', '2021-03-23']]
[['Julian Paton', 'award', 'Fellow Of The Royal Society Te Apārangi', '2021-03-11']]
[['Catherine Stampfl', 'award', 'Fellow Of The Royal Society Of New South Wales', '2021-03-03']]
[['Kosovo', 'endLeader', 'Avdullah Hoti', '2021-03-22']]
[['Nika Ryzhova-Alenicheva', 'award', 'Gold Play Button', '2021-03-01']]
[['Maria Espinosa-Alcantud', 'endWorksFor', 'Josep Carreras Leukaemia Research Institute', '2021-03-01']]
[['Alexandre Teixeira Vessoni', 'endWorksFor', 'Washington University in St. Louis', '2021-03-05']]
[['Artsyom Salavey', 'startMemberOf', 'FC Sputnik Rechitsa', '2021-03-01']]
[['Microsoft Sweden', 'endLeader', 'Hélène Barnekow', '2022-03-31']]
[['Police of the Czech Republic', 'endLeader', 'Jan Svejdar', '2022-03-31']]
[['European Chemicals Agency', 'endLeader', 'Bjørn Hansen', '2022-03-31']]
[['Centene Corporation', 'endLeader', 'Michael Neidorff', '2022-03-01']]
[['Rio Grande do Sul', 'endLeader', 'Eduardo Leite', '2022-03-31']]
[['Serhiy Kotenko', 'award', 'Hero Of Ukraine, Order Of The Gold Star', '2022-03-16']]
[['Cheng Hu', 'startWorksFor', 'Loughborough University', '2015-04-01']]
[['Lauren Notini', 'endWorksFor', 'Monash University', '2015-04-15']]
[['Claudine Neyen', 'startWorksFor', 'University of Lausanne', '2015-04-01']]
[['Mohie A M Haridy', 'endWorksFor', 'Gifu University', '2015-04-20']]
[['Kai Nagase', 'startWorksFor', 'Japan Society for the Promotion of Science', '2015-04-01']]
[['Laura Hobley', 'startWorksFor', 'Queen\'s University Belfast', '2015-04-01']]
[['El ministerio del tiempo', 'startActor', 'Iria Del Río', '2015-04-13']]
[['Caroline S Nishisaka', 'startWorksFor', 'University of Hawaiʻi', '2015-04-01']]
[['Departmental Council Of Ariège', 'startLeader', 'Henri Nayrou', '2015-04-02']]
[['Paul R Jones', 'startWorksFor', 'Oak Ridge Institute for Science and Education', '2015-04-01']]
[['Andrea Fuchs', 'endWorksFor', 'Leibniz Institute Of Freshwater Ecology And Inland Fisheries', '2015-04-30']]
[['Mohammed Danish', 'startWorksFor', 'Shanghai Jiao Tong University', '2015-04-27']]
[['Sanofi', 'startLeader', 'Olivier Brandicourt', '2015-04-01']]
[['Otaru', 'startLeader', 'Hideaki Morii', '2015-04-30']]
[['Sophie E Mountcastle', 'startWorksFor', 'University of Birmingham', '2015-04-01']]
[['Dina Petrova', 'startWorksFor', 'University of Amsterdam', '2015-04-01']]
[['Sho Sugiura', 'startWorksFor', 'University of Tokyo', '2015-04-01']]
[['Kyoto City University of Arts', 'startLeader', 'Kiyokazu Washida', '2015-04-01']]
[['Sergio Mattarella', 'award', 'Collar Of The Order Of Pope Pius Ix', '2015-04-17']]
[['Fumiya Noritake', 'startWorksFor', 'University of Tokyo', '2015-04-01']]
[['Melissa Wallace', 'endWorksFor', 'Desmond Tutu HIV Foundation', '2015-04-01']]
[['Elena Madeo', 'startAcademicDegree', 'Laurea Magistrale', '2015-04-13']]
[['Milan K Piya', 'startWorksFor', 'University Hospitals Coventry and Warwickshire NHS Trust', '2015-04-01']]
[['François Bouchet', 'award', 'Officer Of The National Order Of Merit', '2015-04-30']]
[['Ayumu Karimata', 'startWorksFor', 'Kindai University', '2015-04-01']]
[['Arnau Solé', 'startMemberOf', 'Burgos BH', '2015-04-08']]
[['Jennifer Timm', 'startWorksFor', 'European Molecular Biology Laboratory - France', '2016-04-01']]
[['Bonnie L. Mcclure', 'startWorksFor', 'Aoyama Gakuin University', '2016-04-01']]
[['Vrije Universiteit Brussel', 'startLeader', 'Caroline Pauwels', '2016-04-01']]
[['Pratik P Vikhe', 'startWorksFor', 'Mammalian Genetics Unit', '2016-04-01']]
[['Younghyun Lee', 'startWorksFor', 'Columbia University Irving Medical Center', '2016-04-04']]
[['Robin N Kok', 'endWorksFor', 'Australian National University', '2016-04-01']]
[['Sivaprakash Sengodan', 'startWorksFor', 'Ulsan National Institute of Science and Technology', '2016-04-01']]
[['Gabriela Liberalino Lima', 'startWorksFor', 'Federal University of Roraima', '2016-04-15']]
[['Xiangfu Zhong', 'startWorksFor', 'Oslo University Hospital', '2016-04-01']]
[['Jammu and Kashmir (state)', 'startLeader', 'Mehbooba Mufti', '2016-04-04']]
[['Seung-Won Yi', 'startWorksFor', 'Korea National University of Agriculture and Fisheries', '2016-04-25']]
[['John Osei Sekyere', 'startWorksFor', 'University of KwaZulu-Natal', '2016-04-01']]
[['Heino Falcke', 'award', 'Knight Of The Order Of The Netherlands Lion', '2016-04-26']]
[['Vijay Singh Parihar', 'startWorksFor', 'Jawaharlal Nehru Centre for Advanced Scientific Research', '2016-04-20']]
[['Gareth Hughes', 'startWorksFor', 'University of the West of England', '2016-04-01']]
[['Caisse Des Dépôts Et Consignations', 'startLeader', 'Boutheina Ben Yaghlane', '2016-04-01']]
[['Akira Ishikawa', 'startWorksFor', 'Hiroshima University Hospital', '2016-04-01']]
[['Berend Van Der Kolk', 'endWorksFor', 'University of Sydney', '2016-04-30']]
[['Blanca Gil-Ibáñez', 'startWorksFor', 'Vall d\'Hebron University Hospital', '2016-04-01']]
[['Shazia Rehman', 'startWorksFor', 'Hamdard University', '2016-04-20']]
[['Prisca R Bauer', 'startWorksFor', 'Inserm', '2016-04-01']]
[['Xiaolei Wang', 'startWorksFor', 'University of Chicago', '2016-04-01']]
[['Casper Schmidt', 'startWorksFor', 'Aarhus University', '2016-04-01']]
[['Tabea L Bauer', 'startWorksFor', 'University of Stuttgart', '2016-04-01']]
[['Kris Jenner', 'endNotableWork', 'I Am Cait', '2016-04-24']]
[['Oulu', 'startLeader', 'Päivi Laajala', '2017-04-01']]
[['Hainan', 'startLeader', 'Shen Xiaoming', '2017-04-07']]
[['Anand Thirupathi', 'endWorksFor', 'Universidade do Extremo Sul Catarinense', '2017-04-01']]
[['Antoine Biehler', 'endWorksFor', 'Université du Québec à Montréal', '2017-04-01']]
[['Christine Wils-Morel', 'award', 'Officer Of The Legion Of Honour', '2017-04-14']]
[['Angela Marques Filipe', 'endWorksFor', 'London School of Hygiene and Tropical Medicine', '2017-04-01']]
[['Juan Carlos García-Ramos', 'endWorksFor', 'National Autonomous University of Mexico', '2017-04-15']]
[['Andrea Álvarez', 'endWorksFor', 'Catalan Institute Of Chemical Research', '2017-04-01']]
[['Stuart Mckie', 'startAcademicDegree', 'Doctor of Philosophy', '2017-04-01']]
[['Susmit B Sambhare', 'endWorksFor', 'Centre for DNA Fingerprinting and Diagnostics', '2017-04-24']]
[['Varuneswara Panyam', 'endWorksFor', 'Shiv Nadar University', '2017-04-30']]
[['Zhejiang', 'startLeader', 'Yuan Jiajun', '2017-04-28']]
[['Monica Giona Bucci', 'startAcademicDegree', 'Doctor of Philosophy', '2017-04-13']]
[['Wasim Abuillan', 'endWorksFor', 'Heidelberg University', '2017-04-30']]
