[['Nazmul Hossain Milon', 'startMemberOf', 'Islamabad United', '2022-06-30'], ['Glenn Maxwell', 'startMemberOf', 'Wellington cricket team', '2022-06-30'], ['Adrian Barath', 'startMemberOf', 'Karachi Kings', '2022-06-30'], ['Jayden Levitt', 'startMemberOf', 'Oxfordshire County Cricket Club', '2022-07-01']]
[['Mario Fillinger', 'startMemberOf', 'Eintracht Braunschweig II', '2022-02-28'], ['Aleksandr Puzevich', 'startMemberOf', 'Trat F. C.', '2022-02-28'], ['Oleksandr Aharin', 'endMemberOf', 'FC Ihroservice Simferopol', '2022-02-28'], ['Stéphane Lièvre', 'endMemberOf', 'Toulouse FC', '2022-02-28']]
[['Wilmar Jordán', 'startMemberOf', 'South Korea national football team generic instance', '2022-02-28'], ['Mamadou Bah', 'startMemberOf', 'Beşiktaş J. K.', '2022-03-01'], ['Trầ n Minh Quang', 'endMemberOf', 'Parramatta Power SC', '2022-03-01'], ['Boris Andrievsky', 'startMemberOf', 'FC Gorodeya', '2022-03-01']]
[['Abdoulaye Faye', 'startMemberOf', 'Morocco national football team generic instance', '2022-03-01'], ['Lloyd Macklin', 'endWorksFor', 'Türkiyemspor Berlin', '2022-03-01'], ['Oumar Traoré ( Senegalese footballer)', 'endMemberOf', 'AEK Larnaca FC', '2022-03-01'], ['Robin Olsen', 'endMemberOf', 'F. C. Copenhagen', '2022-03-01']]
[['Jon Reed', 'startMemberOf', 'Clube 15 de Novembro', '2022-03-01'], ['Daniel Schober', 'endWorksFor', 'Plymouth Argyle F. C.', '2022-03-01'], ['Ryan Dickson', 'startMemberOf', 'Fehérvár FC', '2022-03-01'], ['Alperen Uysal', 'endMemberOf', 'Turkey national under-20 football team generic instance', '2022-03-01']]
[['Vitali Seletskiy', 'startMemberOf', 'BK Häcken', '2022-03-01'], ['Vitali Safronov', 'endMemberOf', 'FC Salyut Belgorod', '2022-03-01'], ['Andrejs Butriks', 'endMemberOf', 'Anagennisi Epanomi F U002E C U002E ', '2022-03-01'], ['Alessandro Colasante', 'startMemberOf', 'Olbia Calcio 1905', '2022-03-01']]
[['Philipe Sampaio', 'endMemberOf', 'FC Andorra', '2022-03-01'], ['Aurelia Visa', 'endMemberOf', 'U. S. Pergolettese 1932', '2022-03-01'], ['Renato Torres', 'endWorksFor', 'F91 Dudelange', '2022-03-01'], ['Abdi Aktaş', 'startMemberOf', 'Nazilli Belediyespor', '2022-03-01']]
[['Bohdan Yesyp', 'startMemberOf', 'Ottawa Fury FC', '2022-03-01'], ['Aleksey Butarevich', 'startMemberOf', 'Trat F. C.', '2022-03-01'], ['Oleh Danchenko', 'endMemberOf', 'FC Shakhtar Donetsk', '2022-03-01'], ['Mark Bentley', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-03-01']]
[['Vladimir Maljković', 'startMemberOf', 'Ottawa Fury FC', '2022-03-01'], ['Alexander Jakobsen', 'startMemberOf', 'FC Vestsjælland', '2022-03-01'], ['Hermoine J Venter', 'endMemberOf', 'Ottawa Fury FC', '2022-03-01'], ['Thibault Marchal', 'startMemberOf', 'Le Puy Foot 43 Auvergne', '2022-03-01']]
[['Marquinhos ( footballer, born June 1989)', 'endMemberOf', 'Vila Nova Futebol Clube', '2022-03-01'], ['Predrag Mijatović', 'startMemberOf', 'FC Andorra', '2022-03-01'], ['David Moser', 'startMemberOf', 'Switzerland national under-20 football team', '2022-03-01'], ['Mattias Wiklöf', 'endMemberOf', 'IK Brage', '2022-03-01']]
[['Brice Aka', 'startMemberOf', 'Persita Tangerang', '2022-03-01'], ['Alex Putrenko', 'startMemberOf', 'Laval Comets', '2022-03-01'], ['Muscal Mvuezolo', 'startMemberOf', 'Asteras Magoula F. C.', '2022-03-01'], ['Kevin Pressman', 'startMemberOf', 'Ottawa Fury FC', '2022-03-01']]
[['Samel Šabanović', 'endMemberOf', 'Vaasan Palloseura', '2022-03-10'], ['Shane Smith ( soccer)', 'startMemberOf', 'FC Aarau', '2022-03-10'], ['Mircea Stan', 'startMemberOf', 'FC Saxan', '2022-03-10'], ['Jemeiko Jennings', 'startMemberOf', 'Ottawa Fury FC', '2022-03-10']]
[['Maciej Zięba', 'endMemberOf', 'Trat F. C.', '2022-03-31'], ['Jonathan Ringayen', 'startMemberOf', 'SV Wehen Wiesbaden', '2022-03-31'], ['Hudson Lima', 'startMemberOf', 'Dalian Shide F. C.', '2022-03-31'], ['Robyn Jones', 'startMemberOf', 'Poland women\' s national football team', '2022-03-31']]
[['Fabinho ( footballer, born 1986)', 'endMemberOf', 'América Futebol Clube ( RN)', '2022-03-31'], ['Saul Halpin', 'startMemberOf', 'Mansfield Town F. C.', '2022-03-31'], ['Ibon Díez', 'startMemberOf', 'Fehérvár FC', '2022-03-31'], ['Eric Tramiel', 'startMemberOf', 'Kickers Emden', '2022-03-31']]
[['Gilbert Meriel', 'startMemberOf', 'Le Puy Foot 43 Auvergne', '2022-03-31'], ['Artur Novotryasov', 'endMemberOf', 'SC Tavriya Simferopol', '2022-03-31'], ['Robert Rateau', 'endMemberOf', 'FC Avirons', '2022-03-31'], ['Angelo Hugues', 'endMemberOf', 'SC Bastia', '2022-03-31']]
[['Jay Needham', 'endMemberOf', 'Puerto Rico Islanders', '2022-03-31'], ['John Jairo Castillo', 'startMemberOf', 'Deportivo Roca', '2022-03-31'], ['Roberta Giuliano', 'startMemberOf', 'S. S. D. Res Roma', '2022-03-31'], ['Stephanie Tanti', 'startMemberOf', 'Vancouver Whitecaps FC ( women)', '2022-03-31']]
[['Lea Trela-Larsen', 'endMemberOf', 'Konyaspor', '2022-03-31'], ['Leonard van Utrecht', 'startMemberOf', 'UD Vecindario', '2022-03-31'], ['Mikhail Solovey', 'endMemberOf', 'FC Nizhny Novgorod ( 2007)', '2022-04-01'], ['Xisco Hernández', 'endMemberOf', 'RCD Mallorca B', '2022-04-01']]
[['Moussa Ouwo', 'startMemberOf', 'Sahel SC', '2022-04-01'], ['Robbie Tice', 'startMemberOf', 'Mansfield Town F. C.', '2022-04-01'], ['Sushil Kumar Singh', 'endMemberOf', 'Churchill Brothers FC Goa', '2022-04-01'], ['Ahmad Al Douni', 'startMemberOf', 'Mumbai City FC', '2022-04-01']]
[['Goran Brkić', 'startMemberOf', 'FK Sinđelić Beograd', '2022-04-01'], ['Russell Teibert', 'startMemberOf', 'Ottawa Fury FC', '2022-04-01'], ['Ansgar Brinkmann', 'startMemberOf', 'Ottawa Fury FC', '2022-04-01'], ['Breno ( footballer, born 1986)', 'endMemberOf', 'Team Milram', '2022-04-01']]
[['Laurentiu Mihai Palade', 'startMemberOf', 'Viborg FF', '2022-04-01'], ['Nicklas Røjkjær', 'startMemberOf', 'Nazilli Belediyespor', '2022-04-01'], ['Tchô', 'startMemberOf', 'Dalian Shide F. C.', '2022-04-01'], ['Dmitry Guz', 'endMemberOf', 'FC Tyumen', '2022-04-01']]
[['Ronald Rivero', 'startMemberOf', 'Trujillanos F. C.', '2022-04-01'], ['Stoyan Abrashev', 'startMemberOf', 'FC Andorra', '2022-04-01'], ['Tom Rogic', 'startMemberOf', 'Arsenal F. C.', '2022-04-01'], ['Paolo Fornaciari', 'endWorksFor', 'PFC Krylia Sovetov Samara', '2022-04-01']]
[['Jay Reynolds', 'endMemberOf', 'K. V. Oostende', '2022-04-15'], ['Raffael Korte', 'startMemberOf', 'VfR Aalen', '2022-04-15'], ['Bouabid Bouden', 'startMemberOf', 'Morocco national football team generic instance', '2022-04-15'], ['Luís Pedro ( footballer, born 1990)', 'startMemberOf', 'Stoke City F. C.', '2022-04-15']]
[['Hovhannes Hambardzumyan', 'startMemberOf', 'FK Ventspils', '2022-05-01'], ['Jordan Lister', 'startMemberOf', 'Arbroath F. C.', '2022-05-01'], ['Regilio Vrede', 'startMemberOf', 'FC Andorra', '2022-05-01'], ['Snehasish Chakraborty', 'startMemberOf', 'FC Adeli Batumi', '2022-05-01']]
[['Juvenal Edjogo-Owono', 'endMemberOf', 'South Korea national football team generic instance', '2022-05-01'], ['Ferydoon Zandi', 'startMemberOf', 'Tufts Medical Center', '2022-05-01'], ['Enrico Cortese', 'endMemberOf', 'A. S. D. Flaminia Civita Castellana', '2022-05-01'], ['Viktor Götesson', 'startMemberOf', 'Club Brugge KV', '2022-05-01']]
[['Arthur Atzianov', 'startMemberOf', 'Hapoel Ironi Safed F. C.', '2022-05-01'], ['Darren Anderton', 'startMemberOf', 'Ottawa Fury FC', '2022-05-01'], ['Ivan Herceg ( footballer)', 'startMemberOf', 'Fehérvár FC', '2022-05-01'], ['Abdul Bangura', 'startMemberOf', 'Ottawa Fury FC', '2022-05-01']]
[['Georgios Alexopoulos', 'startMemberOf', 'FC Andorra', '2022-05-01'], ['Serkan Özdemir', 'startMemberOf', 'PFC Akademik Sofia', '2022-05-01'], ['Kene Eze', 'startMemberOf', 'FK Rudar Prijedor', '2022-05-01'], ['Marko Jakšić ( footballer, born 1983)', 'startMemberOf', 'Asteras Magoula F. C.', '2022-05-01']]
[['Akira Onoda', 'startMemberOf', 'NK Zagreb', '2022-05-01'], ['Dmitriy Dmitriyev', 'startMemberOf', 'FC Smorgon', '2022-05-01'], ['Nattapon Woratayanan', 'startMemberOf', 'Trat F. C.', '2022-05-01'], ['Nicolae Josan', 'endMemberOf', 'FC Iskra-Stal', '2022-05-01']]
[['Mykyta Polyulyakh', 'startMemberOf', 'FC Stal Alchevsk', '2022-05-01'], ['Aidas Preikšaitis', 'startMemberOf', 'Concordia Piotrków Trybunalski', '2022-05-01'], ['Marek Krátký', 'endMemberOf', 'Czech Republic national under-21 football team', '2022-05-01'], ['Kodi Maduka', 'endMemberOf', 'FC Sher Bishkek', '2022-05-01']]
[['Damjan Ošlaj', 'startMemberOf', 'Lincoln United F. C.', '2022-05-01'], ['Neeraj Gupta', 'endMemberOf', 'Hinckley United F. C.', '2022-05-01'], ['Aleksander Kwiek', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2022-05-01'], ['Elvir Čolić', 'endMemberOf', 'NK Čelik Zenica', '2022-05-01']]
[['Yawhen Marozaw', 'startMemberOf', 'Trat F. C.', '2022-05-01'], ['Quentin Bonnet', 'endMemberOf', 'Vendée Poiré-sur-Vie Football', '2022-05-01'], ['Darius Kampa', 'startMemberOf', 'Fehérvár FC', '2022-05-01'], ['Anton Apatin', 'startMemberOf', 'FC Karelia Petrozavodsk', '2022-05-01']]
[['Amir Hadžiahmetović', 'startMemberOf', 'Antalyaspor', '2022-05-01'], ['Cédric Fauré', 'startMemberOf', 'Asteras Magoula F. C.', '2022-05-01'], ['Tim Sills', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-05-01'], ['Giorgi Mamardashvili', 'startMemberOf', 'FC Dinamo Batumi', '2022-05-01']]
[['Shazlan Alias', 'startMemberOf', 'Harimau Muda A', '2022-05-01'], ['Feng Chen', 'startMemberOf', 'FC Tekstilshchik Ivanovo', '2022-05-01'], ['Tobi Sho-Silva', 'startMemberOf', 'Trat F. C.', '2022-05-01'], ['Luis Miguel Escalada', 'endMemberOf', 'Real Salt Lake', '2022-05-01']]
[['Baptiste Lafleuriel', 'startMemberOf', 'Le Puy Foot 43 Auvergne', '2022-05-08'], ['Vital Nadziewski', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2022-05-08'], ['Pasi Laaksonen', 'startMemberOf', 'FC Vestsjælland', '2022-05-08'], ['Jin Ho Bae', 'endMemberOf', 'Sarpsborg 08 FF', '2022-05-09']]
[['Yasmany López', 'endMemberOf', 'FC Villa Clara', '2022-05-10'], ['Alain Rochat', 'startMemberOf', 'Ottawa Fury FC', '2022-05-10'], ['Mohamad Mido', 'endMemberOf', 'Syria national under-23 football team', '2022-05-10'], ['Abderrahman Atifi', 'endMemberOf', 'Hakoah Amidar Ramat Gan F. C.', '2022-05-10']]
[['Johann Duveau', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2022-05-10'], ['Gabriel da Silva', 'startMemberOf', 'Esporte Clube Bahia', '2022-05-10'], ['Jerry Santos', 'endMemberOf', 'Coastal Union F. C.', '2022-05-10'], ['Longhui Qiu', 'endMemberOf', 'Fehérvár FC', '2022-05-10']]
[['Benoit Dorais', 'startMemberOf', 'Club América', '2022-05-10'], ['Tanaboon Kesarat', 'startMemberOf', 'Suphanburi F. C.', '2022-05-10'], ['Yoon Jung-chun', 'startMemberOf', 'Trat F. C.', '2022-05-10'], ['Ágúst Gylfason', 'endMemberOf', 'Ungmennafélagið Fjölnir', '2022-05-10']]
[['Mario Cassano', 'startMemberOf', 'Persepam Madura Utama', '2022-05-10'], ['', 'endMemberOf', 'Esporte Clube Passo Fundo', '2022-05-10'], ['Vincent C U002E Holmberg', 'startMemberOf', 'Dorados de Sinaloa', '2022-05-10'], ['Armand Ossey', 'startMemberOf', 'S. F. K. Pierikos ( football)', '2022-05-10']]
[['Viktor Kuzmichyov', 'startMemberOf', 'Gol Gohar Sirjan F. C.', '2022-05-14'], ['Marius Mapou', 'startMemberOf', 'AS Lössi', '2022-05-14'], ['Jermaine Bucknor', 'startMemberOf', 'Clube 15 de Novembro', '2022-05-14'], ['Alba Prades Dòria', 'startMemberOf', 'Pays D U0027 Aix Natation', '2022-05-14']]
[['Virginia Rodríguez Rece', 'endMemberOf', 'Patí Hoquei Club Sant Cugat', '2022-05-31'], ['Sebas Coris', 'endMemberOf', 'FC Spartak-UGP Anapa', '2022-05-31'], ['Dmitry Kotov', 'endMemberOf', 'Real Oviedo', '2022-05-31'], ['Mabululu', 'startMemberOf', 'G. D. Sagrada Esperança', '2022-05-31']]
[['Lawrence Aidoo', 'startMemberOf', 'Ottawa Fury FC', '2022-05-31'], ['Mattias Lindström ( footballer)', 'startMemberOf', 'Eintracht Braunschweig II', '2022-06-01'], ['Muhammad Roby', 'startMemberOf', 'Persepam Madura Utama', '2022-06-01'], ['Mpho Moloi', 'endMemberOf', 'Thanda Royal Zulu F. C.', '2022-06-01']]
[['Michaël Goossens', 'startMemberOf', 'FK Borac Čačak', '2022-06-01'], ['Pauline Martin', 'startMemberOf', 'Allianz MTV Stuttgart', '2022-06-01'], ['Andrei Truță', 'endMemberOf', 'ASC Daco-Getica București', '2022-06-01'], ['Romane Auvergne', 'endMemberOf', 'Brescia Calcio', '2022-06-01']]
[['Haibo Guo', 'endMemberOf', 'Hellas Verona F. C.', '2022-06-01'], ['Aleksandr Fedulov', 'endMemberOf', 'FC Kaluga', '2022-06-01'], ['Rustem Shagitov', 'startMemberOf', 'Ottawa Fury FC', '2022-06-01'], ['Silje Evjenth Bentsen', 'endMemberOf', 'BG Pathum United F. C.', '2022-06-01']]
[['Romain Danzé', 'startMemberOf', 'Çaykur Rizespor', '2022-06-01'], ['Callum McNaughton', 'startMemberOf', 'Switzerland national under-23 football team', '2022-06-01'], ['Ioannis Chadjivasilis', 'startMemberOf', 'FC Andorra', '2022-06-01'], ['Marylin Díaz', 'startMemberOf', 'Tigres UANL', '2022-06-01']]
[['Ashutosh Rath', 'startMemberOf', 'Enosi Alexandroupoli', '2022-06-01'], ['Mauricio Casierra', 'startMemberOf', 'Racing de Córdoba', '2022-06-01'], ['Andreas Raudsepp', 'endMemberOf', 'Estonia national under-21 football team', '2022-06-01'], ['Lucas Acosta ( footballer, born 1988)', 'startMemberOf', 'UD Vecindario', '2022-06-01']]
[['Gakuto Notsuda', 'startMemberOf', 'Urawa Red Diamonds', '2022-06-01'], ['Illiasu Shilla', 'startMemberOf', 'Tema Youth F. C.', '2022-06-01'], ['Muhammet Demir', 'startMemberOf', 'Çaykur Rizespor', '2022-06-01'], ['Davor Burcsa', 'endMemberOf', 'HNK Cibalia', '2022-06-01']]
[['Radivoje Manić', 'endMemberOf', 'OFK Mladenovac', '2022-06-01'], ['Aaron Ledgister', 'startMemberOf', 'Fehérvár FC', '2022-06-01'], ['Alessandro Crescenzi', 'startMemberOf', 'Olbia Calcio 1905', '2022-06-01'], ['Elton Muçollari', 'startMemberOf', 'Puszcza Niepołomice', '2022-06-01']]
[['Andrea Belotti', 'startMemberOf', 'Virtus Entella', '2022-06-06'], ['Alexios Michail', 'startMemberOf', 'Panthrakikos F. C.', '2022-06-06'], ['Andreas Hölzl', 'startMemberOf', 'Panthrakikos F. C.', '2022-06-06'], ['Alban Jusufi', 'endMemberOf', 'Högaborgs BK', '2022-06-06']]
[['André Valente', 'endMemberOf', 'FK Senica', '2022-06-06'], ['Ritchie Kotschau', 'endMemberOf', 'HNK Brotnjo', '2022-06-06'], ['Guohua Cao', 'endMemberOf', 'Júbilo Iwata', '2022-06-06'], ['Alexandre Brito', 'startMemberOf', 'Fehérvár FC', '2022-06-06']]
[['Gonzalo Vega ( footballer)', 'startMemberOf', 'Nacional Potosí', '2022-06-06'], ['Lazar Popović', 'startMemberOf', 'Asteras Magoula F. C.', '2022-06-06'], ['Ivan Georgiev ( footballer)', 'startMemberOf', 'PFC Akademik Sofia', '2022-06-06'], ['Mikhail Sivakow', 'startMemberOf', 'Olbia Calcio 1905', '2022-06-06']]
[['Joe Chalmers', 'endMemberOf', 'Forfar Athletic F. C.', '2022-06-06'], ['Ryan Smillie', 'startMemberOf', 'Celtic F. C.', '2022-06-06'], ['Daniele Amerini', 'startMemberOf', 'FC Andorra', '2022-06-06'], ['Tatsuya Tsuruta', 'startMemberOf', 'South Korea national football team generic instance', '2022-06-06']]
[['Denis Petrić', 'startMemberOf', 'Asteras Magoula F. C.', '2022-06-06'], ['Mohsen Bengar', 'startMemberOf', 'Gol Gohar Sirjan F. C.', '2022-06-06'], ['Meshal Al-Mouri', 'startMemberOf', 'Al-Shamal SC', '2022-06-06'], ['Pierluigi Frattali', 'startMemberOf', 'A. S. Pro Piacenza 1919', '2022-06-06']]
[['Simon Falokun', 'startMemberOf', 'Northampton Town F. C.', '2022-06-06'], ['Vitali Komisov', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2022-06-06'], ['Ricardo Villar ( Brazilian footballer)', 'startMemberOf', 'Asteras Magoula F. C.', '2022-06-06'], ['João Ricardo ( footballer, born 1991)', 'endMemberOf', 'Gondomar S. C.', '2022-06-06']]
[['Thomas Wörle', 'startMemberOf', 'Ottawa Fury FC', '2022-06-06'], ['Jasmin Fejzić', 'endMemberOf', 'Unión Española', '2022-06-06'], ['Dusan K U002E Bozanic', 'endMemberOf', 'VfR Aalen', '2022-06-06'], ['Jamie Harney', 'startMemberOf', 'Celtic F. C.', '2022-06-06']]
[['Lee Rochester Sørensen', 'endMemberOf', 'FC Cincinnati ( 2016– 2018)', '2022-06-06'], ['Marlon Hairston', 'startMemberOf', 'Asteras Magoula F. C.', '2022-06-06'], ['Saliou Diallo', 'startMemberOf', 'FC Vestsjælland', '2022-06-06'], ['Matko Djarmati', 'startMemberOf', 'Asteras Magoula F. C.', '2022-06-06']]
[['Christoph Spatzenegger', 'endMemberOf', 'FC Red Bull Salzburg', '2022-06-06'], ['Sok Pheng ( footballer)', 'endMemberOf', 'Boeung Ket Angkor FC', '2022-06-06'], ['Hugo Sosa', 'endMemberOf', 'Club San José', '2022-06-06'], ['Moshe Abutbul ( footballer)', 'startMemberOf', 'Hapoel Ironi Safed F. C.', '2022-06-06']]
[['Nikos Kounenakis', 'startMemberOf', 'FC Andorra', '2022-06-06'], ['Massimilian Porcello', 'startMemberOf', 'Ottawa Fury FC', '2022-06-06'], ['Ivan Vargić', 'endMemberOf', 'Croatia national under-20 football team', '2022-06-06'], ['Claudio Pani', 'endMemberOf', 'South Korea national football team generic instance', '2022-06-06']]
[['Joenal Castma', 'startMemberOf', 'Racing CH', '2022-06-11'], ['Jozef Talian', 'endMemberOf', 'ŠK Odeva Lipany', '2022-06-11'], ['Ma Liang ( footballer)', 'endMemberOf', 'Jiangsu F. C.', '2022-06-12'], ['Sasho Petrovski', 'startMemberOf', 'Kırıkkale Büyük Anadoluspor', '2022-06-13']]
[['Jaber Ansari', 'startMemberOf', 'Gol Gohar Sirjan F. C.', '2022-06-13'], ['Fabinho Azevedo', 'endMemberOf', 'C. D. Platense Municipal Zacatecoluca', '2022-06-13'], ['Methembe Ndlovu', 'startMemberOf', 'Marine A. F. C.', '2022-06-13'], ['Maximiliano Timpanaro', 'endMemberOf', 'FK Dinamo Tirana', '2022-06-13']]
[['Maciej Wilusz', 'startMemberOf', 'FC Saxan', '2022-06-16'], ['Stefan Vukmirović', 'startMemberOf', 'FK Sinđelić Beograd', '2022-06-16'], ['Sebastian Olszar', 'startMemberOf', 'Concordia Piotrków Trybunalski', '2022-06-16'], ['Gill Voria', 'startMemberOf', 'Olbia Calcio 1905', '2022-06-16']]
[['Lisa Umbach', 'startMemberOf', 'Bayer 04 Leverkusen ( women)', '2022-06-20'], ['Danilo Peinado', 'startMemberOf', 'FC Andorra', '2022-06-20'], ['Milton Erick Melgar', 'startMemberOf', 'Trujillanos F. C.', '2022-06-20'], ['Ljubica Kecman', 'endMemberOf', 'OK Crvena Zvezda', '2022-06-20']]
[['Keith Smith', 'endMemberOf', 'Clitheroe F. C.', '2022-06-20'], ['Sara Ismael', 'startMemberOf', 'Sevilla FC ( women)', '2022-06-20'], ['John K Travers', 'startMemberOf', 'FC Rostov', '2022-06-20'], ['Francisco Rojas ( footballer, born 1991)', 'endMemberOf', 'S. D. Aucas', '2022-06-20']]
[['Mihails Zemļinskis', 'startMemberOf', 'Latvia national football team', '2022-06-20'], ['Nikolay Kolesnichenko', 'startMemberOf', 'FK Ventspils', '2022-06-20'], ['Jeannette Dyer', 'startMemberOf', 'VfR Aalen', '2022-06-20'], ['Mila Marinova', 'endWorksFor', 'Wigan Athletic F. C.', '2022-06-20']]
[['Dmitry Goryachkin', 'startMemberOf', 'NK Celje', '2022-06-30'], ['Kyle Yamada', 'endMemberOf', 'FC Edmonton', '2022-06-30'], ['Sascha Mölders', 'startMemberOf', 'Ottawa Fury FC', '2022-06-30'], ['Aristidis Lottas', 'endMemberOf', 'Ottawa Fury FC', '2022-06-30']]
[['Elsa Arrestad', 'startMemberOf', 'Engelholms Vs', '2022-06-30'], ['Hans Erik Ødegaard', 'startMemberOf', 'FC Vestsjælland', '2022-06-30'], ['Raúl López ( footballer, born 1976)', 'endMemberOf', 'Cádiz CF', '2022-06-30'], ['Jang Dong-hyun', 'startMemberOf', 'Júbilo Iwata', '2022-06-30']]
[['Denzel Slager', 'endMemberOf', 'Coventry City F. C.', '2022-06-30'], ['Kieran Agard', 'endMemberOf', '1. FC Slovácko', '2022-06-30'], ['Houhui Song', 'startMemberOf', 'Győri ETO FC', '2022-06-30'], ['Jörg Köhl', 'startMemberOf', 'Racing de Córdoba', '2022-06-30']]
[['Ayrat Karimov', 'startMemberOf', 'Çaykur Rizespor', '2022-06-30'], ['Philippe Erne', 'startMemberOf', 'Panargiakos F. C.', '2022-06-30'], ['Sebastian Strandvall', 'endMemberOf', 'IFK Mariehamn', '2022-06-30'], ['Javier Manjarín', 'startMemberOf', 'Red Star F. C.', '2022-06-30']]
[['Amar Rahmanović', 'endMemberOf', 'FK Olimpik', '2022-07-01'], ['Harmeet Singh ( footballer)', 'startMemberOf', 'Ottawa Fury FC', '2022-07-01'], ['Mohamed Rahoui', 'endMemberOf', 'SA Mohammadia', '2022-07-01'], ['James McArthur', 'startMemberOf', 'Mansfield Town F. C.', '2022-07-01']]
[['Sine Hovesen', 'startMemberOf', 'FC Vestsjælland', '2022-07-01'], ['Massimo Luongo', 'startMemberOf', 'Great Wakering Rovers F. C.', '2022-07-01'], ['Iliyan Chavdarov', 'startMemberOf', 'FC Lokomotiv Gorna Oryahovitsa', '2022-07-01'], ['Andrés Pérez ( footballer, born 1980)', 'startMemberOf', 'Racing de Córdoba', '2022-07-01']]
[['Alexei Abrahams', 'endMemberOf', 'Concordia Piotrków Trybunalski', '2022-07-01'], ['Kristoffer Larsen', 'startMemberOf', 'Kristiansund BK', '2022-07-01'], ['Manabu Nakamura', 'startMemberOf', 'AC Nagano Parceiro', '2022-07-01'], ['Galin Dimov', 'endMemberOf', 'FC Dobrudzha Dobrich', '2022-07-01']]
[['Kevin McGowne', 'endMemberOf', 'Montrose F. C.', '2022-07-01'], ['Nikos Skarmoutsos', 'endMemberOf', 'University of British Columbia', '2022-07-01'], ['Madonna Grehan', 'endMemberOf', 'Avispa Fukuoka', '2022-07-01'], ['Karl Lennartz', 'endMemberOf', 'OFK Grbalj', '2022-07-01']]
[['Sebastian Harris', 'endMemberOf', 'Nuneaton Borough F. C.', '2022-07-01'], ['Abdoulaye Sylla', 'endMemberOf', 'Canada men\' s national under-20 soccer team', '2022-07-01'], ['András Kaj', 'startMemberOf', 'Fehérvár FC', '2022-07-01'], ['Jessica Migliorini', 'startMemberOf', 'FK Bodva Moldava nad Bodvou', '2022-07-01']]
[['Pyotr Yanzin', 'endMemberOf', 'PFC CSKA Moscow', '2022-07-01'], ['Sarem Ugoh', 'startMemberOf', 'Dalian Shide F. C.', '2022-07-01'], ['Hussein Ammouta', 'startMemberOf', 'South Korea national football team generic instance', '2022-07-01'], ['Paul M Gordon', 'endMemberOf', 'OFK Sinđelić Niš', '2022-07-01']]
[['Peter Olofsson ( footballer)', 'endMemberOf', 'Team Lotto– Kern Haus', '2022-07-01'], ['Alyaksandr Lebedzew', 'startMemberOf', 'Puszcza Niepołomice', '2022-07-01'], ['Diosdado Mbele', 'startMemberOf', 'Apulia Trani', '2022-07-01'], ['Siniša Končalović', 'startMemberOf', 'Oud-Heverlee Leuven', '2022-07-01']]
[['Lars Øvrebø', 'endMemberOf', 'Drøbak-Frogn IL', '2022-07-01'], ['Volodymyr Hudyma', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2022-07-01'], ['Youssef Moustaïd', 'startMemberOf', 'PFC Slavia Sofia', '2022-07-01'], ['Anna Pogany', 'endMemberOf', 'Köpenicker Sc', '2022-07-01']]
[['Nicky Ioannou', 'startMemberOf', 'Horsham F. C.', '2022-07-01'], ['Georgiy Zabirov', 'startMemberOf', 'Ahal FK', '2022-07-01'], ['Sotaro Yasunaga', 'startMemberOf', 'Dalian Shide F. C.', '2022-07-01'], ['Frédéric Gaillard', 'endMemberOf', 'Itera– Katusha', '2022-07-01']]
[['Chinedu Ede', 'startMemberOf', 'Ottawa Fury FC', '2022-07-13'], ['Rubén Epitié', 'endMemberOf', 'FC Andorra', '2022-07-13'], ['Artem Biesiedin', 'startMemberOf', 'FC Stal Alchevsk', '2022-07-13'], ['Gordon Kinsaini', 'startMemberOf', 'R. F. C. Tournai', '2022-07-13']]
[['Abdul R Rishi', 'endMemberOf', 'MSP Batna', '2022-07-13'], ['Werner Schmoelz', 'endMemberOf', 'Sv Zweckel', '2022-07-13'], ['Michael Augustin', 'endMemberOf', 'FC Cincinnati ( 2016– 2018)', '2022-07-13'], ['Lek Kćira', 'endMemberOf', 'Songkhla United F. C.', '2022-07-13']]
[['Sergio Pérez Moya', 'endMemberOf', 'Atlante F. C.', '2022-07-13'], ['Elvira Maranesi', 'startMemberOf', 'Fulham F. C.', '2022-07-13'], ['Adrian Pulis', 'startMemberOf', 'Latvia national football team', '2022-07-13'], ['Brian Martin', 'endMemberOf', 'FC Andorra', '2022-07-13']]
[['John Henry ( footballer)', 'endMemberOf', 'Dumbarton F. C.', '2022-07-13'], ['Jamaal Womack', 'startMemberOf', 'Onisilos Sotira', '2022-07-13'], ['Abdennour Chérif El-Ouazzani', 'startMemberOf', 'Al Ahli SC ( Doha)', '2022-07-13'], ['René Lobo', 'startMemberOf', 'Alta IF', '2022-07-13']]
