[['Osniel Melgarejo', 'endMemberOf', 'Panathinaikos V. C.', '2026-01-01'], ['Coralie Lassource', 'endMemberOf', 'Apollo College Of Veterinary Medicine U002C Jaipur', '2026-01-01'], ['Raúl González ( handballer)', 'endMemberOf', 'BM Granollers', '2026-01-04'], ['Sabina Jacobsen', 'endMemberOf', 'Ikast Håndbold', '2026-01-31']]
[['Karen Sargsyan ( conductor)', 'startWorksFor', 'F. C. Südtirol', '2026-02-01'], ['Rafael Olarra', 'startMemberOf', 'PFC Akademik Sofia', '2026-02-01'], ['Vishal Banipal', 'endWorksFor', 'Levante UD', '2026-02-01'], ['Ben Bridges', 'startMemberOf', 'Bristol City W. F. C.', '2026-02-01']]
[['Dustin Maldonado', 'endMemberOf', 'Club Blooming', '2026-02-01'], ['Nikolaos Nikolaou', 'endWorksFor', 'Busan IPark', '2026-02-01'], ['Marcello La Rosa', 'endMemberOf', 'Vila Nova Futebol Clube', '2026-02-01'], ['Nikola Lazetić', 'endWorksFor', 'SK Dynamo České Budějovice', '2026-02-01']]
[['Victor Andrag', 'startMemberOf', 'Grêmio Foot-Ball Porto Alegrense', '2026-02-01'], ['Dúber Zapata', 'startMemberOf', 'Coronel Bolognesi', '2026-02-01'], ['Corentin Martins', 'endMemberOf', 'Clermont Foot', '2026-02-01'], ['Khaled Al Zaher', 'startMemberOf', 'Asteras Magoula F. C.', '2026-02-01']]
[['Oleksandr Nasonov', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2026-02-01'], ['Sergey Verkashansky', 'endMemberOf', 'FC Chernomorets Novorossiysk', '2026-02-02'], ['Andy Holt ( footballer, born 1978)', 'startMemberOf', 'Lincoln United F. C.', '2026-02-03'], ['Dele Aiyenugba', 'startMemberOf', 'Beşiktaş J. K.', '2026-02-03']]
[['Blake Camp', 'startMemberOf', 'Ottawa Fury FC', '2026-02-07'], ['Mërgim Vojvoda', 'startMemberOf', 'Oud-Heverlee Leuven', '2026-02-08'], ['Sota Nakazawa', 'endMemberOf', 'Kawasaki Frontale', '2026-02-09'], ['Vladlen Yurchenko', 'endMemberOf', 'FC Shakhtar Donetsk', '2026-02-10']]
[['Gregory Mertens', 'startMemberOf', 'Trat F. C.', '2026-02-11'], ['David Odonkor', 'startMemberOf', 'Ottawa Fury FC', '2026-02-12'], ['Dmitry Korzh', 'startMemberOf', 'Ahal FK', '2026-02-12'], ['Ayoub Azzi', 'startMemberOf', 'CA Bordj Bou Arréridj', '2026-02-12']]
[['Rob Vincent', 'endMemberOf', 'North Carolina Fusion U23', '2026-02-14'], ['Adrián Marín ( footballer, born 1997)', 'endMemberOf', 'Spain national under-17 football team generic instance', '2026-02-15'], ['Luke O\' Neill ( footballer)', 'endMemberOf', 'Mansfield Town F. C.', '2026-02-15'], ['Slaven Kovačević', 'startMemberOf', 'Asteras Magoula F. C.', '2026-02-16']]
[['Nevi Gebreselasie', 'endMemberOf', 'Adelaide Omonia Cobras FC', '2026-02-18'], ['Akeem Bennett', 'startMemberOf', 'Onisilos Sotira', '2026-02-19'], ['Džemal Berberović', 'endMemberOf', 'Ross County F. C.', '2026-02-22'], ['Jane Muir', 'startMemberOf', 'Gil Vicente F. C.', '2026-02-22']]
[['Éva Auksz', 'endMemberOf', 'MSV Duisburg', '2026-02-22'], ['Marion Curtis', 'endMemberOf', 'Dynamo Dresden', '2026-02-22'], ['Jamie Brooks', 'startMemberOf', 'Crawley Town F. C.', '2026-02-22'], ['François Saillant', 'startMemberOf', 'Étoile Carouge FC', '2026-02-23']]
[['Piotr Klepczarek', 'endWorksFor', 'Club Africain', '2026-02-23'], ['Gabriel Vidal', 'endMemberOf', 'Cuba national football team generic instance', '2026-02-24'], ['Matt Roberts', 'startWorksFor', 'R. F. C. Tournai', '2026-02-24'], ['Kenia El-Jaick', 'startMemberOf', 'K. A. A. Gent', '2026-02-24']]
[['Zhao Jun ( footballer, born 1988)', 'startMemberOf', 'ND Gorica', '2026-02-24'], ['Domenico Zampaglione', 'startMemberOf', 'Olbia Calcio 1905', '2026-02-25'], ['Todor Todorov ( footballer, born November 1982)', 'startMemberOf', 'PFC Akademik Sofia', '2026-02-25'], ['Paul Doyle ( Scottish footballer)', 'endMemberOf', 'East Fife F. C.', '2026-02-27']]
[['Lev Potapov', 'startMemberOf', 'FC Olimpia Volgograd', '2026-02-28'], ['Jonathan Reis', 'startMemberOf', 'Júbilo Iwata', '2026-02-28'], ['Nitipong Selanon', 'endMemberOf', 'Chonburi F. C.', '2026-02-28'], ['Sinan Gümüş', 'startMemberOf', 'Celtic F. C.', '2026-02-28']]
[['Mario Fillinger', 'startMemberOf', 'Eintracht Braunschweig II', '2026-02-28'], ['Aleksandr Puzevich', 'startMemberOf', 'Trat F. C.', '2026-02-28'], ['Oleksandr Aharin', 'endMemberOf', 'FC Ihroservice Simferopol', '2026-02-28'], ['Stéphane Lièvre', 'endMemberOf', 'Toulouse FC', '2026-02-28']]
[['Wilmar Jordán', 'startMemberOf', 'South Korea national football team generic instance', '2026-02-28'], ['Mamadou Bah', 'startMemberOf', 'Beşiktaş J. K.', '2026-03-01'], ['Trầ n Minh Quang', 'endMemberOf', 'Parramatta Power SC', '2026-03-01'], ['Boris Andrievsky', 'startMemberOf', 'FC Gorodeya', '2026-03-01']]
[['Abdoulaye Faye', 'startMemberOf', 'Morocco national football team generic instance', '2026-03-01'], ['Lloyd Macklin', 'endWorksFor', 'Türkiyemspor Berlin', '2026-03-01'], ['Oumar Traoré ( Senegalese footballer)', 'endMemberOf', 'AEK Larnaca FC', '2026-03-01'], ['Robin Olsen', 'endMemberOf', 'F. C. Copenhagen', '2026-03-01']]
[['Jon Reed', 'startMemberOf', 'Clube 15 de Novembro', '2026-03-01'], ['Daniel Schober', 'endWorksFor', 'Plymouth Argyle F. C.', '2026-03-01'], ['Ryan Dickson', 'startMemberOf', 'Fehérvár FC', '2026-03-01'], ['Alperen Uysal', 'endMemberOf', 'Turkey national under-20 football team generic instance', '2026-03-01']]
[['Vitali Seletskiy', 'startMemberOf', 'BK Häcken', '2026-03-01'], ['Vitali Safronov', 'endMemberOf', 'FC Salyut Belgorod', '2026-03-01'], ['Andrejs Butriks', 'endMemberOf', 'Anagennisi Epanomi F U002E C U002E ', '2026-03-01'], ['Alessandro Colasante', 'startMemberOf', 'Olbia Calcio 1905', '2026-03-01']]
[['Philipe Sampaio', 'endMemberOf', 'FC Andorra', '2026-03-01'], ['Aurelia Visa', 'endMemberOf', 'U. S. Pergolettese 1932', '2026-03-01'], ['Renato Torres', 'endWorksFor', 'F91 Dudelange', '2026-03-01'], ['Abdi Aktaş', 'startMemberOf', 'Nazilli Belediyespor', '2026-03-01']]
[['Bohdan Yesyp', 'startMemberOf', 'Ottawa Fury FC', '2026-03-01'], ['Aleksey Butarevich', 'startMemberOf', 'Trat F. C.', '2026-03-01'], ['Oleh Danchenko', 'endMemberOf', 'FC Shakhtar Donetsk', '2026-03-01'], ['Mark Bentley', 'startMemberOf', 'Great Wakering Rovers F. C.', '2026-03-01']]
[['Ihor Tyshchenko', 'endMemberOf', 'FC Mariupol', '2026-03-01'], ['Maria L Odyniec', 'endWorksFor', 'Portogruaro Calcio A. S. D.', '2026-03-01'], ['Vojislav Vranjković', 'startMemberOf', 'FK Sinđelić Beograd', '2026-03-01'], ['Chidi Osuchukwu', 'startMemberOf', 'Panionios F. C.', '2026-03-01']]
[['Vladimir Maljković', 'startMemberOf', 'Ottawa Fury FC', '2026-03-01'], ['Alexander Jakobsen', 'startMemberOf', 'FC Vestsjælland', '2026-03-01'], ['Hermoine J Venter', 'endMemberOf', 'Ottawa Fury FC', '2026-03-01'], ['Thibault Marchal', 'startMemberOf', 'Le Puy Foot 43 Auvergne', '2026-03-01']]
[['Marquinhos ( footballer, born June 1989)', 'endMemberOf', 'Vila Nova Futebol Clube', '2026-03-01'], ['Predrag Mijatović', 'startMemberOf', 'FC Andorra', '2026-03-01'], ['David Moser', 'startMemberOf', 'Switzerland national under-20 football team', '2026-03-01'], ['Mattias Wiklöf', 'endMemberOf', 'IK Brage', '2026-03-01']]
[['Stuart Musialik', 'startMemberOf', 'Kırıkkale Büyük Anadoluspor', '2026-03-01'], ['Valentin Heller', 'endMemberOf', 'Dover Athletic F. C.', '2026-03-01'], ['Stephen McKeown', 'startMemberOf', 'S. F. K. Pierikos ( football)', '2026-03-01'], ['Freddy León', 'startWorksFor', 'SD Ponferradina', '2026-03-01']]
[['Brice Aka', 'startMemberOf', 'Persita Tangerang', '2026-03-01'], ['Alex Putrenko', 'startMemberOf', 'Laval Comets', '2026-03-01'], ['Muscal Mvuezolo', 'startMemberOf', 'Asteras Magoula F. C.', '2026-03-01'], ['Kevin Pressman', 'startMemberOf', 'Ottawa Fury FC', '2026-03-01']]
[['Jennifer Owen', 'startWorksFor', 'Dynamo Dresden', '2026-03-01'], ['Michael Bridges', 'startMemberOf', 'FC Silon Táborsko', '2026-03-01'], ['Ryan Cox', 'endWorksFor', 'Atlético Clube Goianiense', '2026-03-01'], ['Tsuyoshi Kaneko', 'endMemberOf', 'F. C. Iranjavan Bushehr', '2026-03-01']]
[['Nicolás Celis', 'startMemberOf', 'Coronel Bolognesi', '2026-03-02'], ['Ilya Dodonov', 'endMemberOf', 'FC Nosta Novotroitsk', '2026-03-02'], ['Dino Baggio', 'startMemberOf', 'FC Andorra', '2026-03-05'], ['Oleksandr Horshkov', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2026-03-05']]
[['Cicinho', 'startMemberOf', 'Persepam Madura Utama', '2026-03-07'], ['David Kašnik', 'startMemberOf', 'Lincoln United F. C.', '2026-03-07'], ['Felice Piccolo', 'startMemberOf', 'FC Andorra', '2026-03-07'], ['Gabriel Florea', 'startMemberOf', 'FC Stal Alchevsk', '2026-03-08']]
[['Samel Šabanović', 'endMemberOf', 'Vaasan Palloseura', '2026-03-10'], ['Shane Smith ( soccer)', 'startMemberOf', 'FC Aarau', '2026-03-10'], ['Mircea Stan', 'startMemberOf', 'FC Saxan', '2026-03-10'], ['Jemeiko Jennings', 'startMemberOf', 'Ottawa Fury FC', '2026-03-10']]
[['Uladzimir Shaban', 'startMemberOf', 'Atlante F. C.', '2026-03-12'], ['Ahmed Shaaban', 'endMemberOf', 'El Entag El Harby SC', '2026-03-15'], ['Pierre Crockrell Ii', 'endMemberOf', 'Atlanta Silverbacks FC', '2026-03-16'], ['R U002E J U002E Wicks', 'endMemberOf', 'Ascoli Calcio 1898 F. C.', '2026-03-16']]
[['David McGill ( footballer)', 'startMemberOf', 'Dorados de Sinaloa', '2026-03-16'], ['Fahrettin Covut', 'endMemberOf', 'FC Smorgon', '2026-03-17'], ['Dachuan Huang', 'startMemberOf', 'Al-Merrikh SC', '2026-03-17'], ['Jo Nymo Matland', 'startMemberOf', 'Windsor City FC', '2026-03-17']]
[['Tawfiq Tayarah', 'endMemberOf', 'Sohar SC', '2026-03-17'], ['Derek O\' Brien ( footballer, born 1979)', 'startMemberOf', 'Ottawa Fury FC', '2026-03-17'], ['José Acciari', 'startMemberOf', 'Olbia Calcio 1905', '2026-03-17'], ['Ezzatollah Pourghaz', 'endMemberOf', 'F. C. Iranjavan Bushehr', '2026-03-17']]
[['Sabelle Jallow', 'startWorksFor', 'ABC Futebol Clube', '2026-03-18'], ['Diego Carioca', 'startMemberOf', 'FC Smorgon', '2026-03-18'], ['Nathalie Götz', 'startMemberOf', 'Sg Lütgendortmund', '2026-03-19'], ['Phanuel Kavita', 'startMemberOf', 'Tigres UANL', '2026-03-19']]
[['Behnam Beyranvand', 'startMemberOf', 'Gol Gohar Sirjan F. C.', '2026-03-20'], ['Denzil Ferreira', 'startMemberOf', 'FK Sinđelić Beograd', '2026-03-21'], ['Sofiane Hanni', 'endMemberOf', 'K. V. Mechelen', '2026-03-22'], ['Ibrahim Mater', 'startMemberOf', 'CR Vasco da Gama', '2026-03-23']]
[['Joey Ryan Gundok', 'endMemberOf', 'Sabah F. C. ( Malaysia)', '2026-03-23'], ['Walter Kogler', 'endMemberOf', 'FC Kärnten', '2026-03-23'], ['Aarón Guillén', 'endMemberOf', 'Tampa Bay Rowdies', '2026-03-23'], ['Sean Davis ( soccer)', 'startMemberOf', 'Sporting Kansas City II', '2026-03-24']]
[['Marcel Großkreutz', 'startMemberOf', 'SV Rödinghausen', '2026-03-25'], ['Peter Lundgren', 'startMemberOf', 'Middelfart Volleyballklub', '2026-03-25'], ['Mehmet Ali Kıran', 'endMemberOf', 'Karsspor', '2026-03-26'], ['Marko Kvasina', 'startMemberOf', 'RB Leipzig', '2026-03-27']]
[['István Szekér', 'startMemberOf', 'Fehérvár FC', '2026-03-28'], ['Nemanja Crnoglavac', 'startMemberOf', 'FK Sinđelić Beograd', '2026-03-30'], ['Kazuyoshi Suwazono', 'endMemberOf', 'Tokyo Musashino City Fc', '2026-03-30'], ['Park Tae-soo', 'endWorksFor', 'Debreceni VSC', '2026-03-31']]
[['Rui Borges ( footballer)', 'startWorksFor', 'FC Lida', '2026-03-31'], ['Marko dos Santos', 'startMemberOf', 'Asteras Magoula F. C.', '2026-03-31'], ['Ignacio Herrera', 'startMemberOf', 'Club Atlético Atlanta', '2026-03-31'], ['Tim Parker ( soccer)', 'startMemberOf', 'Vålerenga Fotball', '2026-03-31']]
[['Maciej Zięba', 'endMemberOf', 'Trat F. C.', '2026-03-31'], ['Jonathan Ringayen', 'startMemberOf', 'SV Wehen Wiesbaden', '2026-03-31'], ['Hudson Lima', 'startMemberOf', 'Dalian Shide F. C.', '2026-03-31'], ['Robyn Jones', 'startMemberOf', 'Poland women\' s national football team', '2026-03-31']]
[['Fabinho ( footballer, born 1986)', 'endMemberOf', 'América Futebol Clube ( RN)', '2026-03-31'], ['Saul Halpin', 'startMemberOf', 'Mansfield Town F. C.', '2026-03-31'], ['Ibon Díez', 'startMemberOf', 'Fehérvár FC', '2026-03-31'], ['Eric Tramiel', 'startMemberOf', 'Kickers Emden', '2026-03-31']]
[['Gilbert Meriel', 'startMemberOf', 'Le Puy Foot 43 Auvergne', '2026-03-31'], ['Artur Novotryasov', 'endMemberOf', 'SC Tavriya Simferopol', '2026-03-31'], ['Robert Rateau', 'endMemberOf', 'FC Avirons', '2026-03-31'], ['Angelo Hugues', 'endMemberOf', 'SC Bastia', '2026-03-31']]
[['Jay Needham', 'endMemberOf', 'Puerto Rico Islanders', '2026-03-31'], ['John Jairo Castillo', 'startMemberOf', 'Deportivo Roca', '2026-03-31'], ['Roberta Giuliano', 'startMemberOf', 'S. S. D. Res Roma', '2026-03-31'], ['Stephanie Tanti', 'startMemberOf', 'Vancouver Whitecaps FC ( women)', '2026-03-31']]
[['Lea Trela-Larsen', 'endMemberOf', 'Konyaspor', '2026-03-31'], ['Leonard van Utrecht', 'startMemberOf', 'UD Vecindario', '2026-03-31'], ['Mikhail Solovey', 'endMemberOf', 'FC Nizhny Novgorod ( 2007)', '2026-04-01'], ['Xisco Hernández', 'endMemberOf', 'RCD Mallorca B', '2026-04-01']]
[['Yianni Perkatis', 'endMemberOf', 'Australia men\' s national under-20 soccer team', '2026-04-01'], ['Russell Perkins', 'endWorksFor', 'Gyeongnam FC', '2026-04-01'], ['Brett Maluwelmeng', 'startMemberOf', 'Hanoi FC', '2026-04-01'], ['Ajayi Crowther University', 'endMemberOf', 'Ottawa Fury FC', '2026-04-01']]
[['Moussa Ouwo', 'startMemberOf', 'Sahel SC', '2026-04-01'], ['Robbie Tice', 'startMemberOf', 'Mansfield Town F. C.', '2026-04-01'], ['Sushil Kumar Singh', 'endMemberOf', 'Churchill Brothers FC Goa', '2026-04-01'], ['Ahmad Al Douni', 'startMemberOf', 'Mumbai City FC', '2026-04-01']]
[['Goran Brkić', 'startMemberOf', 'FK Sinđelić Beograd', '2026-04-01'], ['Russell Teibert', 'startMemberOf', 'Ottawa Fury FC', '2026-04-01'], ['Ansgar Brinkmann', 'startMemberOf', 'Ottawa Fury FC', '2026-04-01'], ['Breno ( footballer, born 1986)', 'endMemberOf', 'Team Milram', '2026-04-01']]
[['Laurentiu Mihai Palade', 'startMemberOf', 'Viborg FF', '2026-04-01'], ['Nicklas Røjkjær', 'startMemberOf', 'Nazilli Belediyespor', '2026-04-01'], ['Tchô', 'startMemberOf', 'Dalian Shide F. C.', '2026-04-01'], ['Dmitry Guz', 'endMemberOf', 'FC Tyumen', '2026-04-01']]
[['Ronald Rivero', 'startMemberOf', 'Trujillanos F. C.', '2026-04-01'], ['Stoyan Abrashev', 'startMemberOf', 'FC Andorra', '2026-04-01'], ['Tom Rogic', 'startMemberOf', 'Arsenal F. C.', '2026-04-01'], ['Paolo Fornaciari', 'endWorksFor', 'PFC Krylia Sovetov Samara', '2026-04-01']]
[['Samuel ( footballer, born January 1989)', 'endMemberOf', 'Associação Atlética Anapolina', '2026-04-02'], ['Ana Baro', 'endMemberOf', 'KF Vllaznia Shkodër', '2026-04-02'], ['Ahmed Reda Madouni', 'startMemberOf', 'Ottawa Fury FC', '2026-04-04'], ['Kirill Suslov', 'startMemberOf', 'FK Ventspils', '2026-04-04']]
[['Juan Gutiérrez ( footballer, born 1990)', 'startMemberOf', 'Unión Española', '2026-04-05'], ['Luka Bogdan', 'startMemberOf', 'FC Vestsjælland', '2026-04-05'], ['Paolo Bianco', 'startMemberOf', 'Olbia Calcio 1905', '2026-04-05'], ['Nelson Martínez', 'startMemberOf', 'Gimnasia y Esgrima de Jujuy', '2026-04-05']]
[['Julia Nemirovskaya', 'endMemberOf', 'Busan IPark', '2026-04-05'], ['Sébastien Roth', 'startMemberOf', 'Dalian Shide F. C.', '2026-04-06'], ['Juan Rafael Méndez', 'startMemberOf', 'Altamira F. C.', '2026-04-06'], ['Kevin K Chen', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2026-04-07']]
[['Bogdan Panait', 'startMemberOf', 'FC Andorra', '2026-04-08'], ['Aleksey Abramov', 'startWorksFor', 'A. S. Gubbio 1910', '2026-04-09'], ['Esther Pischel', 'endMemberOf', 'FK Ventspils', '2026-04-09'], ['Julia Peukes', 'startMemberOf', 'SC Cambuur', '2026-04-09']]
[['Mickaël Pizzo', 'startMemberOf', 'Morocco national football team generic instance', '2026-04-10'], ['Kittikun Jamsuwan', 'endMemberOf', 'BBCU F. C.', '2026-04-12'], ['Ambroise Oyongo', 'endMemberOf', 'New York Red Bulls', '2026-04-12'], ['Bojan Zajić', 'endMemberOf', 'Sarpsborg 08 FF', '2026-04-15']]
[['Ali Kilcik', 'endWorksFor', 'Grimsby Town F. C.', '2026-04-15'], ['Laurent Agouazi', 'startMemberOf', 'Asteras Magoula F. C.', '2026-04-15'], ['Andreas Christen', 'endMemberOf', 'FC Triesen', '2026-04-15'], ['Domagoj Pavičić', 'startMemberOf', 'Fehérvár FC', '2026-04-15']]
[['Vladislav Kulik', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2026-04-15'], ['Gerrit Pressel', 'endMemberOf', 'Holstein Kiel', '2026-04-15'], ['Jonathan Crachat Carreira Ferreira', 'endMemberOf', 'Sutton Town A. F. C.', '2026-04-15'], ['Christoph Vogler', 'startWorksFor', 'Getafe CF', '2026-04-15']]
[['Milan Bogunović', 'startWorksFor', 'Northampton Town F. C.', '2026-04-15'], ['Jonathan Viera', 'startMemberOf', 'Çaykur Rizespor', '2026-04-15'], ['Francesco Ferrini', 'endMemberOf', 'Finland women\' s national under-20 football team', '2026-04-15'], ['Maya Rockeymoore Cummings', 'endMemberOf', 'A. S. Sambenedettese', '2026-04-15']]
[['Jay Reynolds', 'endMemberOf', 'K. V. Oostende', '2026-04-15'], ['Raffael Korte', 'startMemberOf', 'VfR Aalen', '2026-04-15'], ['Bouabid Bouden', 'startMemberOf', 'Morocco national football team generic instance', '2026-04-15'], ['Luís Pedro ( footballer, born 1990)', 'startMemberOf', 'Stoke City F. C.', '2026-04-15']]
[['Nobuyasu Ikeda', 'startMemberOf', 'Júbilo Iwata', '2026-04-16'], ['Karim Rossi', 'startMemberOf', 'Çaykur Rizespor', '2026-04-16'], ['Ibrahima Koné ( footballer, born 1999)', 'endMemberOf', 'Adana Demirspor', '2026-04-16'], ['Isac Lidberg', 'startMemberOf', 'Sweden national under-19 football team', '2026-04-17']]
[['Zsuzsa Koncz', 'endWorksFor', 'Narón BP', '2026-04-17'], ['Omar Sampedro', 'startMemberOf', 'Fehérvár FC', '2026-04-18'], ['Enzo Roco', 'startMemberOf', 'Dorados de Sinaloa', '2026-04-22'], ['Gabriel Pereyra', 'startMemberOf', 'Racing de Córdoba', '2026-04-23']]
[['Jake Hessenthaler', 'startMemberOf', 'Lincoln United F. C.', '2026-04-24'], ['Wayne Gill', 'startMemberOf', 'Lincoln United F. C.', '2026-04-26'], ['Süleyman Koç', 'endMemberOf', 'SV Babelsberg 03', '2026-04-26'], ['Endri Bakiu', 'startMemberOf', 'Racing de Córdoba', '2026-04-26']]
[['Christian Lantignotti', 'endMemberOf', 'Forlì F. C.', '2026-04-26'], ['Grafite', 'startMemberOf', 'Fehérvár FC', '2026-04-27'], ['Stavros Labriakos', 'startMemberOf', 'Uruguay Montevideo', '2026-04-27'], ['Christos Arianoutsos', 'startMemberOf', 'Panionios F. C.', '2026-04-28']]
[['Narat Munin-noppamart', 'startMemberOf', 'TOT S. C.', '2026-04-28'], ['Fellipe Bertoldo', 'startMemberOf', 'Unión Española', '2026-04-28'], ['Argjend Beqiri', 'startMemberOf', 'SC Zofingen', '2026-04-29'], ['Aleksey Negmatov', 'startMemberOf', 'Shuvalan FK', '2026-04-29']]
[['Adam Varadi', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2026-04-30'], ['Rajesh V U002E Chopdekar', 'endMemberOf', 'FC Rosengård 1917', '2026-04-30'], ['Konstantinos Vlachonasios', 'startMemberOf', 'FC Arsenal Dzerzhinsk', '2026-04-30'], ['Michael Matricciani', 'endMemberOf', 'North Eastern MetroStars SC', '2026-04-30']]
[['Hovhannes Hambardzumyan', 'startMemberOf', 'FK Ventspils', '2026-05-01'], ['Jordan Lister', 'startMemberOf', 'Arbroath F. C.', '2026-05-01'], ['Regilio Vrede', 'startMemberOf', 'FC Andorra', '2026-05-01'], ['Snehasish Chakraborty', 'startMemberOf', 'FC Adeli Batumi', '2026-05-01']]
[['Juvenal Edjogo-Owono', 'endMemberOf', 'South Korea national football team generic instance', '2026-05-01'], ['Ferydoon Zandi', 'startMemberOf', 'Tufts Medical Center', '2026-05-01'], ['Enrico Cortese', 'endMemberOf', 'A. S. D. Flaminia Civita Castellana', '2026-05-01'], ['Viktor Götesson', 'startMemberOf', 'Club Brugge KV', '2026-05-01']]
[['Arthur Atzianov', 'startMemberOf', 'Hapoel Ironi Safed F. C.', '2026-05-01'], ['Darren Anderton', 'startMemberOf', 'Ottawa Fury FC', '2026-05-01'], ['Ivan Herceg ( footballer)', 'startMemberOf', 'Fehérvár FC', '2026-05-01'], ['Abdul Bangura', 'startMemberOf', 'Ottawa Fury FC', '2026-05-01']]
[['Georgios Alexopoulos', 'startMemberOf', 'FC Andorra', '2026-05-01'], ['Serkan Özdemir', 'startMemberOf', 'PFC Akademik Sofia', '2026-05-01'], ['Kene Eze', 'startMemberOf', 'FK Rudar Prijedor', '2026-05-01'], ['Marko Jakšić ( footballer, born 1983)', 'startMemberOf', 'Asteras Magoula F. C.', '2026-05-01']]
[['Akira Onoda', 'startMemberOf', 'NK Zagreb', '2026-05-01'], ['Dmitriy Dmitriyev', 'startMemberOf', 'FC Smorgon', '2026-05-01'], ['Nattapon Woratayanan', 'startMemberOf', 'Trat F. C.', '2026-05-01'], ['Nicolae Josan', 'endMemberOf', 'FC Iskra-Stal', '2026-05-01']]
[['Laura Hack', 'startWorksFor', 'FC Dinamo Minsk', '2026-05-01'], ['Filip Almström-Tähti', 'endMemberOf', 'Örgryte Is Fotboll', '2026-05-01'], ['Zhi Yaqi', 'startMemberOf', 'C. D. Real Sociedad', '2026-05-01'], ['Kieran Lee', 'startMemberOf', 'Ottawa Fury FC', '2026-05-01']]
[['Mykyta Polyulyakh', 'startMemberOf', 'FC Stal Alchevsk', '2026-05-01'], ['Aidas Preikšaitis', 'startMemberOf', 'Concordia Piotrków Trybunalski', '2026-05-01'], ['Marek Krátký', 'endMemberOf', 'Czech Republic national under-21 football team', '2026-05-01'], ['Kodi Maduka', 'endMemberOf', 'FC Sher Bishkek', '2026-05-01']]
[['Ryan Edwards ( American soccer)', 'endMemberOf', 'FC Andorra', '2026-05-01'], ['Bassam Alkotaini', 'endWorksFor', 'Perak F. C.', '2026-05-01'], ['Stavrion Lako', 'endMemberOf', 'KF Skënderbeu Korçë', '2026-05-01'], ['Yazid Kaïssi', 'startMemberOf', 'FC Andorra', '2026-05-01']]
[['Damjan Ošlaj', 'startMemberOf', 'Lincoln United F. C.', '2026-05-01'], ['Neeraj Gupta', 'endMemberOf', 'Hinckley United F. C.', '2026-05-01'], ['Aleksander Kwiek', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2026-05-01'], ['Elvir Čolić', 'endMemberOf', 'NK Čelik Zenica', '2026-05-01']]
[['Yawhen Marozaw', 'startMemberOf', 'Trat F. C.', '2026-05-01'], ['Quentin Bonnet', 'endMemberOf', 'Vendée Poiré-sur-Vie Football', '2026-05-01'], ['Darius Kampa', 'startMemberOf', 'Fehérvár FC', '2026-05-01'], ['Anton Apatin', 'startMemberOf', 'FC Karelia Petrozavodsk', '2026-05-01']]
[['Jun Tao', 'endMemberOf', 'Jiangsu F. C.', '2026-05-01'], ['Mohamed Aboutrika', 'startWorksFor', 'Villarreal CF', '2026-05-01'], ['Dominique Pandor', 'startMemberOf', 'Beşiktaş J. K.', '2026-05-01'], ['Bobby Bowry', 'startMemberOf', 'Great Wakering Rovers F. C.', '2026-05-01']]
[['Amir Hadžiahmetović', 'startMemberOf', 'Antalyaspor', '2026-05-01'], ['Cédric Fauré', 'startMemberOf', 'Asteras Magoula F. C.', '2026-05-01'], ['Tim Sills', 'startMemberOf', 'Great Wakering Rovers F. C.', '2026-05-01'], ['Giorgi Mamardashvili', 'startMemberOf', 'FC Dinamo Batumi', '2026-05-01']]
[['Shazlan Alias', 'startMemberOf', 'Harimau Muda A', '2026-05-01'], ['Feng Chen', 'startMemberOf', 'FC Tekstilshchik Ivanovo', '2026-05-01'], ['Tobi Sho-Silva', 'startMemberOf', 'Trat F. C.', '2026-05-01'], ['Luis Miguel Escalada', 'endMemberOf', 'Real Salt Lake', '2026-05-01']]
[['Mitch Stockentree', 'startMemberOf', 'Fehérvár FC', '2026-05-03'], ['Joel Gysin', 'startMemberOf', 'Linköping Ibk', '2026-05-04'], ['Sharon Chepchumba Kiprono', 'endMemberOf', 'Kenya Pipeline ( volleyball)', '2026-05-04'], ['Márton Lorentz', 'endMemberOf', 'Puskás Akadémia FC', '2026-05-04']]
[['Aleksei Vanyushin', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2026-05-05'], ['Sardar Azmoun', 'startMemberOf', 'Gol Gohar Sirjan F. C.', '2026-05-05'], ['Alois Grussmann', 'endMemberOf', 'FK Třinec', '2026-05-05'], ['Devaughn Elliott', 'startMemberOf', 'New York City FC', '2026-05-06']]
[['Baptiste Lafleuriel', 'startMemberOf', 'Le Puy Foot 43 Auvergne', '2026-05-08'], ['Vital Nadziewski', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2026-05-08'], ['Pasi Laaksonen', 'startMemberOf', 'FC Vestsjælland', '2026-05-08'], ['Jin Ho Bae', 'endMemberOf', 'Sarpsborg 08 FF', '2026-05-09']]
