[['Clint Hill ( Secret Service)', 'endMemberOf', 'Arkansas– Pine Bluff Golden Lions men\' s basketball', '2026-01-01']]
[['Alisa Palaveniene', 'endWorksFor', 'Kaunas University of Technology', '2026-03-23']]
[['Heinz Mörschel', 'endMemberOf', 'SC Preußen Münster', '2026-03-23']]
[['Jamie Suthers', 'endMemberOf', 'Akron Zips men\' s basketball', '2026-03-23']]
[['Keyshaad Dixon', 'startMemberOf', 'FC Dynamo Saint Petersburg', '2026-03-23']]
[['Rayad Emrit', 'endMemberOf', 'Guyana Amazon Warriors', '2026-03-23']]
[['Scott Fitzgibbons', 'endMemberOf', 'Charlotte 49ers men\' s basketball', '2026-03-23']]
[['Jin Cheng', 'endMemberOf', 'Northwestern State Demons basketball', '2026-03-23']]
[['Gerard Rudy', 'endMemberOf', 'Michigan Wolverines men\' s basketball', '2026-03-23']]
[['Charlie Dickson', 'endMemberOf', 'Queen of the South F. C.', '2026-03-24']]
[['Mehdi Mohammadpour', 'startMemberOf', 'Chacarita Juniors', '2026-03-24']]
[['Grace Wong', 'endWorksFor', 'Center for International Forestry Research', '2026-03-24']]
[['Dennis Hollart', 'endMemberOf', 'Go Ahead Eagles', '2026-03-25']]
[['Johnny Betts', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-03-25']]
[['Zé Alcino', 'endMemberOf', 'Grêmio Esportivo Brasil', '2026-03-25']]
[['Clarissa Spataro', 'endWorksFor', 'European Institute of Oncology', '2026-03-25']]
[['Agnieszka Szarkowska', 'endWorksFor', 'University College London', '2026-03-25']]
[['Cristina Y Gonzalez', 'startMemberOf', 'Medical College of Wisconsin', '2026-03-25']]
[['Noriaki Kumagai', 'endMemberOf', 'XL ( band)', '2026-03-26']]
[['Egil Olsen', 'endMemberOf', 'Sarpsborg FK', '2026-03-26']]
[['Chengcai Chu', 'endWorksFor', 'Henan Normal University', '2026-03-27']]
[['Raed Fares', 'startMemberOf', 'Manhattan Jaspers men\' s basketball', '2026-03-27']]
[['Lionel Harvey', 'startMemberOf', 'CFR Cluj', '2026-03-27']]
[['Ole Holger Krøyer', 'endMemberOf', 'Aix-Marseille University', '2026-03-27']]
[['Tomoaki Nishino', 'endMemberOf', 'Bolton Wanderers F. C.', '2026-03-27']]
[['Anka Güldenpfennig', 'startMemberOf', 'Taranto F. C. 1927', '2026-03-27']]
[['Danijel Krivić', 'endMemberOf', 'NK Zadar', '2026-03-27']]
[['Bradley Mosley', 'endMemberOf', 'South Florida Bulls men\' s basketball', '2026-03-27']]
[['Benoit Fatou', 'endWorksFor', 'Inserm', '2026-03-27']]
[['Andreas Weimann', 'endMemberOf', 'Wolverhampton Wanderers F. C.', '2026-03-28']]
[['Guilherme Afonso', 'endMemberOf', 'Fc Azzurri 90 Lausanne', '2026-03-29']]
[['Ralf Hermanutz', 'endMemberOf', 'SSV Reutlingen 05', '2026-03-29']]
[['Christian Díaz', 'endMemberOf', 'Norwegian University of Science and Technology', '2026-03-30']]
[['Marlon George', 'endMemberOf', 'Western Kentucky Hilltoppers basketball', '2026-03-30']]
[['Krisztian Balog', 'endWorksFor', 'Levante UD', '2026-03-30']]
[['Milan Đurišić', 'endMemberOf', 'FK Lovćen', '2026-03-31']]
[['Parinya Punpongsanon', 'startMemberOf', 'Esteghlal F. C.', '2026-03-31']]
[['Florian Kirchbuchner', 'endMemberOf', 'San Francisco Giants', '2026-03-31']]
[['Brian Tully', 'startMemberOf', 'Dartmouth Big Green men\' s basketball', '2026-03-31']]
[['Pulickel Ajayan', 'endMemberOf', 'New Zealand national rugby union team', '2026-03-31']]
[['Rick Wittenbraker', 'endMemberOf', 'TCU Horned Frogs men\' s basketball', '2026-03-31']]
[['Michael C U002E Braunstein', 'endWorksFor', 'University of Nevada, Reno School of Medicine', '2026-03-31']]
[['Craig Rose', 'endMemberOf', 'Jiangnan University', '2026-03-31']]
[['Clément Maury', 'endWorksFor', 'Virginia Tech Hokies men\' s basketball', '2026-03-31']]
[['Rajinder Kumar ( footballer)', 'endMemberOf', 'United SC', '2026-03-31']]
[['Benjamin Rayner', 'startMemberOf', 'Hartlepool United F. C.', '2026-03-31']]
[['Rudolf Kassner', 'startMemberOf', 'Showa University Fujigaoka Hospital', '2026-03-31']]
[['Luis Clemente', 'startMemberOf', 'Scotland national football B team', '2026-03-31']]
[['Pete Carroll', 'startMemberOf', 'Rockefeller University', '2026-03-31']]
[['Royce Jeffries', 'endWorksFor', 'Miche– Guerciotti', '2026-03-31']]
[['Bill Cate', 'startMemberOf', 'Furman Paladins men\' s basketball', '2026-03-31']]
[['Dave Williams', 'startMemberOf', 'University of Saskatchewan', '2026-03-31']]
[['Vera Papisova', 'endWorksFor', 'Burton Albion F. C.', '2026-03-31']]
[['Wenguo Cai', 'endWorksFor', 'Fujian Agriculture and Forestry University', '2026-03-31']]
[['Rick Minkwitz', 'endMemberOf', 'New Hampshire Wildcats men\' s basketball', '2026-03-31']]
[['Oswaldo Salgado', 'endMemberOf', 'Real Cartagena', '2026-03-31']]
[['Bob Sykes ( baseball)', 'endMemberOf', 'St. Louis Cardinals', '2026-03-31']]
[['Prabhjot Saini', 'startMemberOf', 'Doncaster Rovers F. C.', '2026-03-31']]
[['Ming Zhang', 'endWorksFor', 'Xi\' an Jiaotong University', '2026-03-31']]
[['Louise A U002E Lewis', 'endWorksFor', 'University of New Mexico', '2026-03-31']]
[['Gary Vandermolen', 'endMemberOf', 'Beitar Jerusalem F. C.', '2026-03-31']]
[['Juraj Adamik', 'endWorksFor', 'UPMC Hillman Cancer Center', '2026-03-31']]
[['Christy Elliot', 'endMemberOf', 'Scotland national rugby union team', '2026-03-31']]
[['Mehmet Ilicak', 'endWorksFor', 'Uni Health', '2026-03-31']]
[['Krzysztof Pawlak', 'endWorksFor', 'Akron Zips men\' s basketball', '2026-03-31']]
[['Seungjoon Oh', 'startMemberOf', 'US Dax', '2026-03-31']]
[['Francesco Margiotta', 'endMemberOf', 'Kharkiv National University of Radioelectronics', '2026-03-31']]
[['Andy Leaf', 'startMemberOf', 'Real Zaragoza', '2026-03-31']]
[['Oleksii Tyshchenko', 'endWorksFor', 'German Research Foundation', '2026-03-31']]
[['Oscar Filho', 'startMemberOf', 'Venezia F. C.', '2026-03-31']]
[['Frederick Goldstein', 'endMemberOf', 'Northamptonshire County Cricket Club', '2026-03-31']]
[['Morteza Dejam', 'startMemberOf', 'SC Dnipro-1', '2026-03-31']]
[['Xiaoqin Fu', 'endWorksFor', 'Georgetown University', '2026-03-31']]
[['Fabian Senf', 'startMemberOf', 'CA Osasuna', '2026-03-31']]
[['Stacey S Schmiedecke', 'startMemberOf', 'Kentucky Wildcats men\' s basketball', '2026-03-31']]
[['Tom Kirchner', 'startMemberOf', 'Kent Cricket Board', '2026-03-31']]
[['Sergei Slepov', 'endMemberOf', 'FC Naftan Novopolotsk', '2026-03-31']]
[['Carl Williams', 'endMemberOf', 'Missouri Tigers men\' s basketball', '2026-03-31']]
[['Michel Padovani', 'startMemberOf', 'FC Istres', '2026-03-31']]
[['John Snape', 'endWorksFor', 'John Innes Centre', '2026-03-31']]
[['Takuya Honda', 'endWorksFor', 'Witton Albion F. C.', '2026-03-31']]
[['Francis Stone', 'endMemberOf', 'Kansas State Wildcats men\' s basketball', '2026-03-31']]
[['M Omar Khaium', 'startMemberOf', 'New Mexico Lobos men\' s basketball', '2026-03-31']]
[['Tim Matthys', 'endMemberOf', 'Graduate Center, CUNY', '2026-03-31']]
[['Mao Tosi', 'endMemberOf', 'Idaho Vandals men\' s basketball', '2026-03-31']]
[['Julia Peukes', 'startMemberOf', 'İstanbulspor', '2026-04-01']]
[['Jamar Smiley', 'endMemberOf', 'Illinois State Redbirds men\' s basketball', '2026-04-01']]
[['Louis W Y Liu', 'endWorksFor', 'Faculty Of Environment', '2026-04-01']]
[['Syamsul Saad', 'endMemberOf', 'Malaysia national football team', '2026-04-01']]
[['Benjamin Bellot', 'endMemberOf', 'FC Sachsen Leipzig', '2026-04-01']]
[['Dick Brott', 'startMemberOf', 'University of Aberdeen', '2026-04-01']]
[['Zach Marbury', 'endWorksFor', 'UCSI University', '2026-04-01']]
[['Davit Kokhia', 'endMemberOf', 'Halifax Town A. F. C.', '2026-04-01']]
[['Jaime F Blanck', 'endMemberOf', 'HB Køge', '2026-04-01']]
[['C U002E J U002E Cooper', 'endMemberOf', 'U. S. Gavorrano', '2026-04-01']]
[['Scott Donaldson', 'startWorksFor', 'California Golden Bears men\' s basketball', '2026-04-01']]
[['Churovichi', 'endLocation', 'Klimovsky District', '2026-04-01']]
[['Yohei Sakai', 'startMemberOf', 'RBC Roosendaal', '2026-04-01']]
[['Juan Eleder Acedo Elorriaga', 'endMemberOf', 'Barakaldo CF', '2026-04-01']]
[['Maria Molas', 'startMemberOf', 'German Research Foundation', '2026-04-01']]
[['Philip Shambrook', 'startMemberOf', 'FK Zora', '2026-04-01']]
[['GE U28CG', 'endManufacturer', 'General Electric', '2026-04-01']]
[['Don Buchman', 'endMemberOf', 'Academia Sinica', '2026-04-01']]
[['Angel Arias', 'endMemberOf', 'Tokyo Verdy', '2026-04-01']]
[['Jayfred Godoy', 'startMemberOf', 'France national football team generic instance', '2026-04-01']]
[['Deon Jones', 'endMemberOf', 'Monmouth Hawks men\' s basketball', '2026-04-01']]
[['Fabio Giordano', 'startMemberOf', 'C. S. Marítimo', '2026-04-01']]
[['Tony Poydras', 'endMemberOf', 'Washington Huskies men\' s basketball', '2026-04-01']]
[['Nili Mirsky', 'endMemberOf', 'San Jose Earthquakes ( 1974– 1988)', '2026-04-01']]
[['Hiroshi Yoshikawa', 'startMemberOf', 'Royal Society', '2026-04-01']]
[['Yevgeni Kuzevanov', 'endMemberOf', 'FC Tyumen', '2026-04-01']]
[['Klaus Linnenbruegger', 'endMemberOf', 'VfB Fichte Bielefeld', '2026-04-01']]
[['Dmitry Maslov', 'endMemberOf', 'Global Young Academy', '2026-04-01']]
[['Brandon Peterson', 'endMemberOf', 'Kennesaw State Owls men\' s basketball', '2026-04-01']]
[['Reuben Poindexter', 'startHomeLocation', 'Club Atlético Nueva Chicago', '2026-04-01']]
[['Karanja Mack', 'endMemberOf', 'Antigua Barracuda FC', '2026-04-01']]
[['Bill Mchale', 'endMemberOf', 'Toledo Rockets men\' s basketball', '2026-04-01']]
[['Andri Marteinsson', 'endMemberOf', 'Knattspyrnufélag Reykjavíkur', '2026-04-01']]
[['Jaylen Reid', 'endMemberOf', 'South Carolina State Bulldogs basketball', '2026-04-01']]
[['Souleymane Mamam', 'startMemberOf', 'A. S. Roma', '2026-04-01']]
[['Armando Manzo', 'endMemberOf', 'Club Necaxa', '2026-04-01']]
[['M Shafiur Rahman', 'endWorksFor', 'International Food Policy Research Institute', '2026-04-01']]
[['Camilo Bonilla', 'endMemberOf', 'Deportivo Marquense', '2026-04-01']]
[['Eloy Salgado', 'startMemberOf', 'German Research Foundation', '2026-04-01']]
[['Lazar Jovišić', 'endMemberOf', 'PSFC Chernomorets Burgas', '2026-04-01']]
[['Andrew Pusar', 'startMemberOf', 'K. F. C. Dessel Sport', '2026-04-01']]
[['Chaka Daley', 'endMemberOf', 'Dragsfjärd', '2026-04-01']]
[['Jonathan Simpson', 'startWorksFor', 'Arizona Wildcats men\' s basketball', '2026-04-01']]
[['Mohammed M U002E Rahman', 'endWorksFor', 'Najran University', '2026-04-01']]
[['Wayne Curtis', 'endMemberOf', 'Centenary Gentlemen basketball', '2026-04-01']]
[['Natasha Reynolds', 'endWorksFor', 'University of Bordeaux', '2026-04-01']]
[['Michelle Brann', 'endWorksFor', 'Pacific Northwest National Laboratory', '2026-04-01']]
[['Ionuț Mihălăchioaie', 'endMemberOf', 'FC Politehnica Iași ( 2010)', '2026-04-02']]
[['Bruce L Zuraw', 'endWorksFor', 'Scripps Research', '2026-04-02']]
[['Marco Brighi', 'endMemberOf', 'A. S. D. Calcio Ivrea', '2026-04-03']]
[['Gerardo Morales ( footballer)', 'endMemberOf', 'Villanova Wildcats men\' s basketball', '2026-04-04']]
[['Howard Brown', 'endMemberOf', 'Club Atlético Huracán', '2026-04-04']]
[['Julie M Thomson', 'startMemberOf', 'Sutherland Sharks FC', '2026-04-05']]
[['Ross Smith ( Scottish footballer)', 'endMemberOf', 'Peterhead F. C.', '2026-04-05']]
[['Alex ( footballer, born 20 May 1990)', 'endMemberOf', 'S. S. C. Napoli', '2026-04-05']]
[['Veera Baladandayuthapani', 'startMemberOf', 'Spain national under-23 football team', '2026-04-05']]
[['Marvin Johnson', 'endMemberOf', 'Dartmouth Big Green men\' s basketball', '2026-04-05']]
[['CJ Stander', 'endMemberOf', 'British & Irish Lions', '2026-04-05']]
[['Bozhidar Vasev', 'endMemberOf', 'FC Rakovski', '2026-04-06']]
[['Vendol Moore', 'startMemberOf', 'GKS Górnik Łęczna', '2026-04-06']]
[['Patrick Soria', 'endMemberOf', 'FC Istres', '2026-04-06']]
[['Haitham El-Fazani', 'endMemberOf', 'Telecom Egypt SC', '2026-04-07']]
[['Henryk Skarżyński', 'endMemberOf', 'University of Bristol', '2026-04-07']]
[['Anna K M Blackwell', 'endWorksFor', 'Mighty Wanderers FC', '2026-04-07']]
[['Boadu Maxwell Acosty', 'endMemberOf', 'Modena F. C. 2018', '2026-04-07']]
[['César Falletti', 'endMemberOf', 'C. A. Cerro', '2026-04-07']]
[['Joe Nardi', 'endMemberOf', 'Hartford Hawks men\' s basketball', '2026-04-08']]
[['Kirsty Loudon', 'endWorksFor', 'University of Stirling', '2026-04-08']]
[['Esmaeil Navaei Alvar', 'endWorksFor', 'University of Windsor', '2026-04-08']]
[['Xi Chen', 'endWorksFor', 'Massachusetts General Hospital', '2026-04-08']]
[['Olivier Koole', 'endWorksFor', 'London School of Hygiene and Tropical Medicine', '2026-04-08']]
[['Carlos Escudero', 'endWorksFor', 'Lawrence Berkeley National Laboratory', '2026-04-08']]
[['Igor Žofčák', 'endMemberOf', 'FK Jablonec', '2026-04-09']]
[['Trevor D U002E Burt', 'startMemberOf', 'A. S. Roma', '2026-04-09']]
[['Thomas Weber ( footballer)', 'endMemberOf', 'Austria national under-21 football team', '2026-04-09']]
[['Diana Umeton', 'endWorksFor', 'Newcastle University', '2026-04-09']]
[['Jon Torres', 'startMemberOf', 'Saint Mary\' s Gaels men\' s basketball', '2026-04-09']]
[['Deming Kong', 'startMemberOf', 'German Research Foundation', '2026-04-10']]
[['Oleksandr Sokorenko', 'endMemberOf', 'SC Tavriya Simferopol', '2026-04-10']]
[['Ruoyan Tobe Gai', 'endWorksFor', 'Australia men\' s national under-17 soccer team', '2026-04-12']]
[['Cristian Ciocoiu', 'endMemberOf', 'FCSB', '2026-04-12']]
[['Dewayne E U002E Gilbert', 'endMemberOf', 'Maine Black Bears men\' s basketball', '2026-04-12']]
[['Saeid Bayat', 'endMemberOf', 'Gostaresh Foulad F. C.', '2026-04-12']]
[['Nigel Jemson', 'endMemberOf', 'Oxford United F. C.', '2026-04-12']]
[['Malcolm Page ( footballer)', 'endMemberOf', 'Oxford United F. C.', '2026-04-13']]
[['Amanda Bueno De Araújo', 'endWorksFor', 'State University of Campinas', '2026-04-14']]
[['Tony Mickens', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-04-14']]
[['Eddie Young', 'endMemberOf', 'University of Nottingham', '2026-04-14']]
[['Chen Yufan', 'endWorksFor', 'Figueirense FC', '2026-04-14']]
[['Casey R Simons', 'endMemberOf', 'Cleveland Clinic', '2026-04-14']]
[['Félix Álvarez-Arenas', 'endWorksFor', 'Le Havre Ac', '2026-04-14']]
[['Ruben Popa', 'startMemberOf', 'Spezia Calcio', '2026-04-14']]
[['Janandre Williams', 'endMemberOf', 'Lipscomb Bisons men\' s basketball', '2026-04-15']]
[['Yasuaki Tanaka', 'endWorksFor', 'University of California, San Francisco', '2026-04-15']]
[['Hijikawa, Ehime', 'startMemberOf', 'Florida State Seminoles men\' s basketball', '2026-04-15']]
[['John Yates', 'endMemberOf', 'UMass Minutemen basketball', '2026-04-15']]
[['Nick Mandravelis', 'endMemberOf', 'New Hampshire Wildcats men\' s basketball', '2026-04-15']]
[['Roy Landers', 'endMemberOf', 'Achilles \' 29', '2026-04-15']]
[['Harold Whitefoot', 'endMemberOf', 'Wyoming Cowboys basketball', '2026-04-15']]
[['Monika Žunkovič', 'endMemberOf', 'ŽNK Krka', '2026-04-15']]
[['Jr-Hau He', 'endMemberOf', 'Global Young Academy', '2026-04-15']]
[['Nicolò Buratti', 'endMemberOf', 'Cycling Team Friuli ASD', '2026-04-15']]
[['Mike Hostetter', 'endMemberOf', 'South Florida Bulls men\' s basketball', '2026-04-15']]
[['Tva', 'startMemberOf', 'Swindon Town F. C.', '2026-04-15']]
[['Hovhannes Goharyan', 'startMemberOf', 'German Research Foundation', '2026-04-15']]
[['Kirk Wernars', 'endMemberOf', 'Sussex County Cricket Club', '2026-04-15']]
[['Johnny Jager', 'endMemberOf', 'Maccabi Umm al-Fahm F. C.', '2026-04-15']]
[['Leoš Kalvoda', 'endMemberOf', 'Burnley F. C.', '2026-04-15']]
[['Gopinath Damodaran', 'startMemberOf', 'FC Gueugnon', '2026-04-15']]
[['Eloyde Jones', 'startMemberOf', 'Palermo F. C.', '2026-04-15']]
[['Nina Claassen', 'endMemberOf', 'Bayer 04 Leverkusen ( women)', '2026-04-15']]
[['Bernardo Moreira Soares Oliveira', 'endMemberOf', 'Potsdam Institute for Climate Impact Research', '2026-04-15']]
[['Lukas Fiedler', 'endWorksFor', 'German Research Foundation', '2026-04-15']]
[['Sylvia Y C L Kwok', 'startMemberOf', 'FC Torpedo Mogilev', '2026-04-15']]
[['Noah Borgen Morell', 'endMemberOf', 'Team Zealand Cycling Junior', '2026-04-15']]
[['Luis Alfredo Martínez', 'startMemberOf', 'Everton de Viña del Mar', '2026-04-15']]
[['Eric Delafose', 'endMemberOf', 'McNeese Cowboys basketball', '2026-04-15']]
[['Joel Bullock', 'endMemberOf', 'UIC Flames men\' s basketball', '2026-04-15']]
[['Alonzo Harris', 'endMemberOf', 'German Research Foundation', '2026-04-15']]
[['Plamen Galabov', 'endMemberOf', 'Bulgaria national under-19 football team', '2026-04-15']]
[['Jai Rautela', 'endWorksFor', 'La Trobe University', '2026-04-15']]
[['Erik Grendel', 'endMemberOf', 'ŠK Slovan Bratislava', '2026-04-15']]
[['Danijel Popović ( footballer)', 'startMemberOf', 'Oregon Health U0026 Science University School Of Medicine', '2026-04-15']]
[['Byron Camacho', 'startAward', 'Doctor of Philosophy generic instance', '2026-04-15']]
[['Rafael Granero-Belinchón', 'endWorksFor', 'Camille Jordan Institute', '2026-04-15']]
[['J O Crawford', 'endWorksFor', 'Institute of Occupational Medicine', '2026-04-15']]
[['Mark Stallard', 'endMemberOf', 'Chesterfield F. C.', '2026-04-15']]
[['Joe Barry', 'endMemberOf', 'Ohio Bobcats men\' s basketball', '2026-04-15']]
[['Horst Schairer', 'startMemberOf', 'A. C. Milan', '2026-04-15']]
[['Jonathan Ringayen', 'startMemberOf', 'Laboratoire De Chimie De Coordination', '2026-04-15']]
[['Philipp Buschor', 'endMemberOf', 'Post Swiss Team', '2026-04-15']]
[['Jordan Hill ( basketball)', 'endMemberOf', 'Arizona Wildcats men\' s basketball', '2026-04-15']]
[['Juan Beníquez', 'endMemberOf', 'Toronto Blue Jays', '2026-04-15']]
[['Fred Sutcliffe', 'startMemberOf', 'Fortaleza Esporte Clube', '2026-04-15']]
[['Kincardine', 'endLocation', 'Sutherland', '2026-04-15']]
[['Sam Johnson ( footballer, born 1992)', 'endMemberOf', 'Stafford Rangers F. C.', '2026-04-15']]
[['Jamal Lowe', 'endMemberOf', 'Tateyama, Toyama', '2026-04-15']]
[['Janaina Mendes Ferreira', 'endWorksFor', 'São Paulo State Government', '2026-04-15']]
[['Leonard Borchert', 'endWorksFor', 'Max Planck Institute for Meteorology', '2026-04-15']]
[['Ulrich Buchenau', 'endMemberOf', 'Baylor Bears men\' s basketball', '2026-04-15']]
[['Taro Furubayashi', 'endWorksFor', 'Centers for Disease Control and Prevention', '2026-04-15']]
[['Friedrich Jähne', 'endWorksFor', 'Spain national under-21 football team', '2026-04-15']]
[['Qian Zhao', 'endWorksFor', 'Hong Kong Baptist University', '2026-04-16']]
[['Rick Bacon', 'startMemberOf', 'Bohemians 1905', '2026-04-16']]
[['Marta Ferreira-Gomes', 'endWorksFor', 'University of Jena', '2026-04-16']]
[['John Ploetz', 'endMemberOf', 'Nebraska Cornhuskers men\' s basketball', '2026-04-16']]
[['Wrocław University of Science and Technology', 'endLeader', 'Cezary Madryas', '2026-04-16']]
[['Vladimir Peshkin', 'endMemberOf', 'FC Olimp-Dolgoprudny', '2026-04-16']]
[['Paul Miller', 'endMemberOf', 'Sportfreunde Eintracht Freiburg', '2026-04-16']]
[['Tania Calvo', 'endMemberOf', 'Eustrak-Euskadi', '2026-04-17']]
[['Kingsley Edwards', 'startMemberOf', 'Argentina national football team generic instance', '2026-04-17']]
[['Jesse Bond', 'endMemberOf', 'Saint Mary\' s Gaels men\' s basketball', '2026-04-17']]
[['Joe Parker', 'startMemberOf', 'Hayes F. C.', '2026-04-17']]
[['Fengyuan Zheng', 'endWorksFor', 'Herman Ostrow School of Dentistry of USC', '2026-04-17']]
[['Nazanin Foroutan', 'endMemberOf', 'Yale Bulldogs men\' s basketball', '2026-04-17']]
[[' Glazer', 'endMemberOf', 'Dyskobolia Grodzisk Wielkopolski', '2026-04-18']]
[['Greg Burns', 'endMemberOf', 'Maine Black Bears men\' s basketball', '2026-04-18']]
[['Azeem Saleem', 'endWorksFor', 'Invicro U0028 United Kingdom U0029 ', '2026-04-18']]
[['John Terhemba Tsoho', 'endMemberOf', 'New York Liberty', '2026-04-18']]
[['Kym Hampton', 'endMemberOf', 'National Chung Hsing University', '2026-04-18']]
[['Ryosuke Fujinuma', 'endWorksFor', 'University of Queensland', '2026-04-19']]
[['Curry Lynch', 'endMemberOf', 'Nevada Wolf Pack men\' s basketball', '2026-04-21']]
[['Jesse R Raab', 'startMemberOf', 'Ireland national rugby union team', '2026-04-21']]
[['Martin Kübler', 'endMemberOf', 'Karlsruher SC', '2026-04-21']]
[['Christine J Neilson', 'endWorksFor', 'St. Michael\' s Hospital ( Toronto)', '2026-04-21']]
[['Hugo Cianci', 'endMemberOf', 'US Boulogne', '2026-04-21']]
[['Greg Bell', 'endMemberOf', 'Missouri State Bears basketball', '2026-04-22']]
[['Larry Womack', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-04-22']]
[['Joaquín Cortizo', 'startMemberOf', 'German Research Foundation', '2026-04-22']]
[['Rainer Troppa', 'startMemberOf', 'Rhode Island Rams men\' s basketball', '2026-04-23']]
[['Edward Highton', 'endMemberOf', 'Lancashire County Cricket Club', '2026-04-23']]
[['Doug Albright', 'endMemberOf', 'Duke Blue Devils men\' s basketball', '2026-04-23']]
[['Camp Du Haut Du Château', 'endLocation', 'Écouché-Les-Vallées', '2026-04-23']]
[['Dave Cook', 'endMemberOf', 'Appalachian State Mountaineers men\' s basketball', '2026-04-24']]
[['Andre Bovain', 'endMemberOf', 'Clemson Tigers men\' s basketball', '2026-04-25']]
[['Lennie Baker', 'endMemberOf', 'Sha Na Na', '2026-04-26']]
[['Evelyn C U002E Hankins', 'startMemberOf', 'German Research Foundation', '2026-04-26']]
[['Polina Malik', 'endMemberOf', 'Maccabi Haifa', '2026-04-26']]
[['Claudius Weber', 'endMemberOf', 'FSV Braunfels', '2026-04-26']]
[['Sukhwinder Singh ( footballer, born 1983)', 'endMemberOf', 'East Bengal Club', '2026-04-26']]
[['César Milstein', 'endWorksFor', 'German Research Foundation', '2026-04-26']]
[['Jessica Buthmann', 'endWorksFor', 'Queens College, City University of New York', '2026-04-27']]
[['Carlota Fernández-Prendes', 'endWorksFor', 'Uppsala University Hospital', '2026-04-27']]
[['Anthony Brown ( basketball)', 'endMemberOf', 'South Bay Lakers', '2026-04-27']]
[['Juvenal ( footballer, born 1923)', 'startMemberOf', 'Yeovil Town F. C.', '2026-04-27']]
[['Luz María González-Robledo', 'endMemberOf', 'Southern Miss Golden Eagles basketball', '2026-04-27']]
[['Johan Elmander', 'endMemberOf', 'Sweden national under-21 football team', '2026-04-27']]
[['Michael Halford', 'startMemberOf', 'LPR ( cycling team)', '2026-04-28']]
[['Jordan Taylor ( basketball)', 'startMemberOf', 'Daejeon Hana Citizen', '2026-04-28']]
[['Tim Crossin', 'endMemberOf', 'Towson Tigers men\' s basketball', '2026-04-28']]
[['Malik M Abdullah', 'endMemberOf', 'Radio y Televisión de Andalucía', '2026-04-28']]
[['Michael Coghlan', 'endMemberOf', 'Middle Tennessee Blue Raiders men\' s basketball', '2026-04-28']]
[['Larry Rainey', 'endMemberOf', 'Seaham Red Star F. C.', '2026-04-28']]
[['Gastón A U002E Pizzio', 'endWorksFor', 'Technical University of Valencia', '2026-04-28']]
[['Sowmya Sivasankaran', 'endWorksFor', 'IIT Madras', '2026-04-28']]
[['Danny Gosset', 'endMemberOf', 'Rhyl F. C.', '2026-04-28']]
[['Hikaru Mita', 'endMemberOf', 'FC Locomotive Tbilisi', '2026-04-28']]
[['Nodar Akhalkatsi', 'endMemberOf', 'Japan national under-23 football team', '2026-04-28']]
[['Csaba Csizmadia', 'endMemberOf', 'German Research Foundation', '2026-04-29']]
[['Gary Yoder', 'startMemberOf', 'SV Mattersburg', '2026-04-29']]
[['Naby Twimumu', 'endMemberOf', 'FC Swift Hesperange', '2026-04-29']]
[['Nhlanhla Khuzwayo', 'startWorksFor', 'Slovakia national football team generic instance', '2026-04-30']]
[['Michael Hemmingsen', 'endMemberOf', 'Hyderabad cricket team', '2026-04-30']]
[['MJ Williams', 'startMemberOf', 'FC Mariupol', '2026-04-30']]
[['Dwight Miller', 'startMemberOf', 'Pro Sesto 1913', '2026-04-30']]
[['Kristian Khenkel', 'endMemberOf', 'HC Dinamo Minsk', '2026-04-30']]
[['John Mearsheimer', 'endWorksFor', 'Council on Foreign Relations', '2026-04-30']]
[['Oskar Koller', 'endMemberOf', 'FC Druzhba Maykop', '2026-04-30']]
[['Bernt Andersson', 'endMemberOf', 'Djurgårdens IF Fotboll', '2026-04-30']]
[['B Richard', 'endWorksFor', 'San Martín de San Juan', '2026-04-30']]
[['James Kelly ( Australian footballer)', 'startMemberOf', 'Barnsley F. C.', '2026-04-30']]
[['Jarrod Patterson', 'endMemberOf', 'SD Eibar', '2026-05-01']]
[['Jiri Olejnicek', 'endWorksFor', 'University of Nebraska at Kearney', '2026-05-01']]
[['James E U002E Fenner', 'startMemberOf', 'NK Hrvatski Dragovoljac', '2026-05-01']]
[['Arun Kumar Shettigar', 'endWorksFor', 'Manipal Academy of Higher Education', '2026-05-01']]
[['Abu Ibrahim al-Hashimi al-Qurashi', 'endMemberOf', 'University of Duisburg-Essen', '2026-05-01']]
[['Stephan Getzmann', 'endWorksFor', 'Gülhane Training and Research Hospital', '2026-05-01']]
[['Andrei Sergeyevich Nikolayev', 'endWorksFor', 'Greenock Morton F. C.', '2026-05-01']]
[['Brian Laws', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-05-01']]
[['Jeff Ferguson ( basketball)', 'endMemberOf', 'Missouri Tigers men\' s basketball', '2026-05-01']]
[['Christoph W U002E Sensen', 'endWorksFor', 'National Research Council Canada', '2026-05-01']]
[['Niklas Hult', 'startMemberOf', 'FC Cartagena', '2026-05-01']]
[['Marcel Franke', 'endMemberOf', 'Hallescher FC', '2026-05-01']]
[['Jack Penhall', 'endMemberOf', 'Rutgers Scarlet Knights men\' s basketball', '2026-05-01']]
[['Mikko Salomäki', 'endWorksFor', 'University of Turku', '2026-05-01']]
