[['Timur Melekestsev', 'endMemberOf', 'FC Dynamo Makhachkala', '2022-01-01']]
[['Gabriel Jesus', 'startMemberOf', 'Arsenal F. C.', '2022-01-01']]
[['Timur Melekestsev', 'endMemberOf', '1. FC Slovácko', '2022-01-01']]
[['Oscar Tshiebwe', 'startAward', 'John R. Wooden Award', '2022-01-01']]
[['Rodrigo Negri', 'startMemberOf', 'União da Ilha do Governador', '2022-01-01']]
[['Takuji Yonemoto', 'startMemberOf', 'Shonan Bellmare', '2022-01-01']]
[['Aleksandr Mikhalenko', 'endMemberOf', 'Belarus national under-21 football team', '2022-01-01']]
[['Pol Bassas', 'endMemberOf', 'CB Villarrobledo', '2022-01-01']]
[['Maksim Myakish', 'endMemberOf', 'Belarus national under-21 football team', '2022-01-01']]
[['Antoine Duchesne', 'endMemberOf', 'Groupama– FDJ', '2022-01-01']]
[['Dmitry Prishchepa', 'endMemberOf', 'Belarus national under-21 football team', '2022-01-01']]
[['Jorge Martínez-Losa', 'endMemberOf', 'CD Calahorra', '2022-01-01']]
[['Matias Malmberg', 'startMemberOf', 'Team ColoQuick', '2022-01-01']]
[['Jalen Nesbitt', 'endMemberOf', 'CB Almansa', '2022-01-01']]
[['Tom Bohli', 'endMemberOf', 'Cofidis ( cycling team)', '2022-01-01']]
[['Rennes 2 University', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Albert Oliver', 'endMemberOf', 'Obradoiro CAB', '2022-01-01']]
[['Austrian Academy of Sciences', 'startMemberOf', 'InterAcademy Partnership', '2022-01-01']]
[['Álex Vallejo', 'startMemberOf', 'Doxa Katokopias FC', '2022-01-01']]
[['Bekim Balaj', 'startMemberOf', 'Boluspor', '2022-01-01']]
[['Oscar Tshiebwe', 'startAward', 'NABC Player of the Year', '2022-01-01']]
[['Dylan Ennis', 'endMemberOf', 'CB Gran Canaria', '2022-01-01']]
[['Aitor Ortega', 'endMemberOf', 'Club Portugalete', '2022-01-01']]
[['Karim Benzema', 'startAward', 'Ballon d\' Or generic instance', '2022-01-01']]
[['Astride N\' Gouan', 'endMemberOf', 'Metz Handball', '2022-01-01']]
[['Reon Potts', 'startMemberOf', 'Gainsborough Trinity F. C.', '2022-01-01']]
[['Ander Vidorreta', 'endMemberOf', 'Real Avilés CF', '2022-01-01']]
[['Colton Iverson', 'endMemberOf', 'Akita Northern Happinets', '2022-01-01']]
[['Gerel Simmons', 'startMemberOf', 'Apollon Patras B. C.', '2022-01-01']]
[['Mikel Aristi', 'endMemberOf', 'Euskaltel– Euskadi', '2022-01-01']]
[['Martina Šamadan', 'endMemberOf', 'Haok Mladost', '2022-01-01']]
[['Tomáš Satoranský', 'startMemberOf', 'San Antonio Spurs', '2022-01-01']]
[['Sergio Barcina', 'startMemberOf', 'Club Portugalete', '2022-01-01']]
[['Frederik Erringsø', 'endMemberOf', 'Ag2R Citroën U23 Team', '2022-01-01']]
[['Jon Rojo Sagarna', 'endMemberOf', 'Zamora CF', '2022-01-01']]
[['Devin Schmidt', 'endMemberOf', 'Cáceres Ciudad del Baloncesto', '2022-01-01']]
[['Natália Araujo', 'endMemberOf', 'Rio de Janeiro Vôlei Clube', '2022-01-01']]
[['Julien Morice', 'endMemberOf', 'B& B Hotels– KTM', '2022-01-01']]
[['Sergio Moreno ( footballer, born 1999)', 'startMemberOf', 'SD Amorebieta', '2022-01-01']]
[['Andoni Tascon', 'endMemberOf', 'Athletic Bilbao B', '2022-01-01']]
[['Lucas Digne', 'endMemberOf', 'Everton F. C.', '2022-01-01']]
[['Gaëtan Blaichet', 'endMemberOf', 'Football Bourg-en-Bresse Péronnas 01', '2022-01-01']]
[['Amirhossein Hosseinzadeh', 'endMemberOf', 'Esteghlal F. C.', '2022-01-01']]
[['Ignacio Rosa', 'endMemberOf', 'CB Peñas Huesca', '2022-01-01']]
[['Felix Großschartner', 'endMemberOf', 'Bora– Hansgrohe', '2022-01-01']]
[['Ben Vander Plas', 'endMemberOf', 'Ohio Bobcats men\' s basketball', '2022-01-01']]
[['Erick Ferigra', 'endMemberOf', 'UD Las Palmas', '2022-01-01']]
[['Beñat Turrientes', 'endMemberOf', 'Real Sociedad B', '2022-01-01']]
[['Guillaume Van Keirsbulck', 'startMemberOf', 'Alpecin– Deceuninck', '2022-01-01']]
[['Rui Costa ( cyclist)', 'endMemberOf', 'UAE Team Emirates', '2022-01-01']]
[['Kevin Inkelaar', 'startMemberOf', 'Leopard TOGT Pro Cycling', '2022-01-01']]
[['Radboud University Nijmegen', 'startMemberOf', 'Guild of European Research-Intensive Universities', '2022-01-01']]
[['Scott Thwaites', 'endMemberOf', 'Alpecin– Deceuninck', '2022-01-01']]
[['Maria Figuerola Brull', 'endMemberOf', 'Cerdanyola CH', '2022-01-01']]
[['Conor Coady', 'startMemberOf', 'Everton F. C.', '2022-01-01']]
[['Hernán Galíndez', 'endMemberOf', 'C. D. Universidad Católica del Ecuador', '2022-01-01']]
[['University of Fribourg', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Stephen Curry', 'startAward', 'NBA Finals Most Valuable Player Award', '2022-01-01']]
[['Joseph Adah', 'endMemberOf', 'FC Olimp-Dolgoprudny', '2022-01-01']]
[['Oscar Tshiebwe', 'startAward', 'Sporting News Men\' s College Basketball Player of the Year', '2022-01-01']]
[['Eñaut Mendia', 'endMemberOf', 'CD Vitoria', '2022-01-01']]
[['Javier Marín Ayerbe', 'endMemberOf', 'CB Clavijo', '2022-01-01']]
[['Txemi Urtasun', 'startMemberOf', 'Bàsquet Manresa', '2022-01-01']]
[['Maksim Zhumabekov', 'endMemberOf', 'FC Khimki-M', '2022-01-01']]
[['Usman Garuba', 'endMemberOf', 'Rio Grande Valley Vipers', '2022-01-01']]
[['University of Texas at Arlington', 'startMemberOf', 'Texas Library Coalition For United Action', '2022-01-01']]
[['Urko Iruretagoiena', 'endMemberOf', 'CD Vitoria', '2022-01-01']]
[['Munir Mohamedi', 'endMemberOf', 'Hatayspor', '2022-01-01']]
[['Brandon Agounon', 'endMemberOf', 'Football Bourg-en-Bresse Péronnas 01', '2022-01-01']]
[['University of Lorraine', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['University of Texas at El Paso', 'startMemberOf', 'Texas Library Coalition For United Action', '2022-01-01']]
[['Adrien Silva', 'endMemberOf', 'U. C. Sampdoria', '2022-01-01']]
[['Lucas Ocampos', 'startMemberOf', 'AFC Ajax', '2022-01-01']]
[['Scott Burgess ( footballer)', 'startMemberOf', 'York City F. C.', '2022-01-01']]
[['Casemiro', 'endMemberOf', 'Real Madrid CF', '2022-01-01']]
[['Abdelhamid Sabiri', 'startMemberOf', 'U. C. Sampdoria', '2022-01-01']]
[['Anestis Nastos', 'endMemberOf', 'FC Rapid București', '2022-01-01']]
[['Jaime Zumalakarregi', 'endMemberOf', 'Sestao River Club', '2022-01-01']]
[['Jorge Martínez-Losa', 'endMemberOf', 'Real Sociedad B', '2022-01-01']]
[['Brankica Mihajlović', 'endMemberOf', 'Unione Sportiva Pro Victoria Pallavolo Monza', '2022-01-01']]
[['Maxim Kouogun', 'startMemberOf', 'York City F. C.', '2022-01-01']]
[['José Luis González Albaladejo', 'endMemberOf', 'Palencia Baloncesto', '2022-01-01']]
[['Šime Vrsaljko', 'endMemberOf', 'Croatia national football team', '2022-01-01']]
[['University of Texas Medical Branch', 'startMemberOf', 'Texas Library Coalition For United Action', '2022-01-01']]
[['University of Manitoba', 'startMemberOf', 'Digital Research Alliance Of Canada', '2022-01-01']]
[['National Scientific and Technical Research Council', 'startMemberOf', 'International Science Council', '2022-01-01']]
[['Simon Fraser University', 'startMemberOf', 'Digital Research Alliance Of Canada', '2022-01-01']]
[['Szymon Sajnok', 'endMemberOf', 'Cofidis ( cycling team)', '2022-01-01']]
[['Mansoura University', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Néstor Salinas', 'endMemberOf', 'Sestao River Club', '2022-01-01']]
[['University of Alberta', 'startMemberOf', 'Digital Research Alliance Of Canada', '2022-01-01']]
[['Romain Montiel', 'endMemberOf', 'Football Bourg-en-Bresse Péronnas 01', '2022-01-01']]
[['Edu Gatell', 'endMemberOf', 'Fundación CB Granada', '2022-01-01']]
[['Leandro Salino', 'startMemberOf', 'P. A. O. K.', '2022-01-01']]
[['Lilian Calmejane', 'endMemberOf', 'AG2R Citroën Team', '2022-01-01']]
[['Gorka Guruzeta', 'endMemberOf', 'SD Amorebieta', '2022-01-01']]
[['Adriana Leon', 'endMemberOf', 'West Ham United F. C. Women', '2022-01-01']]
[['University of Aveiro', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Sjoerd Bax', 'startMemberOf', 'Alpecin– Deceuninck', '2022-01-01']]
[['University of Texas at San Antonio', 'startMemberOf', 'Texas Library Coalition For United Action', '2022-01-01']]
[['Tim Merlier', 'endMemberOf', 'Alpecin– Deceuninck', '2022-01-01']]
[['Kwame Opoku', 'endMemberOf', 'USM Alger', '2022-01-01']]
[['Radovan Radaković', 'endNationality', 'Serbia', '2022-01-01']]
[['Alessandro De Marchi ( cyclist)', 'endMemberOf', 'Israel– Premier Tech', '2022-01-01']]
[['NOVA University Lisbon', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Vladimír Brodziansky', 'endMemberOf', 'Bahçeşehir Koleji S. K.', '2022-01-01']]
[['Ashleigh Moolman', 'endMemberOf', 'SD Worx', '2022-01-01']]
[['Alain Ribeiro', 'endMemberOf', 'CD Tudelano', '2022-01-01']]
[['Marcos Alonso ( footballer, born 1990)', 'endMemberOf', 'Chelsea F. C.', '2022-01-01']]
[['Dylan van Baarle', 'endMemberOf', 'Ineos Grenadiers', '2022-01-01']]
[['University of Tübingen', 'startMemberOf', 'Guild of European Research-Intensive Universities', '2022-01-01']]
[['Mikel Murgoitio', 'startMemberOf', 'Club Portugalete', '2022-01-01']]
[['Duje Dukan', 'endMemberOf', 'Cáceres Ciudad del Baloncesto', '2022-01-01']]
[['Giorgio Chiellini', 'endMemberOf', 'Italy national football team', '2022-01-01']]
[['Noah Dahlman', 'endMemberOf', 'Landstede Hammers', '2022-01-01']]
[['AJ Greaves', 'startMemberOf', 'York City F. C.', '2022-01-01']]
[['Nikodemus Holler', 'endMemberOf', 'Bike Aid', '2022-01-01']]
[['Roselord Borgella', 'endMemberOf', 'GPSO 92 Issy', '2022-01-01']]
[['Urko Iruretagoiena', 'endMemberOf', 'Arenas Club de Getxo', '2022-01-01']]
[['Cyril Lemoine', 'endMemberOf', 'B& B Hotels– KTM', '2022-01-01']]
[['Feng Chun-kai', 'endMemberOf', 'Team Bahrain Victorious', '2022-01-01']]
[['Denise Imoudu', 'endMemberOf', 'Schweriner SC', '2022-01-01']]
[['Maziar Kouhyar', 'endMemberOf', 'Hereford F. C.', '2022-01-01']]
[['Hungarian Academy of Sciences', 'startMemberOf', 'Science Europe', '2022-01-01']]
[['Ben Vander Plas', 'startMemberOf', 'Virginia Cavaliers men\' s basketball', '2022-01-01']]
[['Kenneth Van Rooy', 'endMemberOf', 'Team Flanders– Baloise', '2022-01-01']]
[['Michaela Mlejnková', 'endMemberOf', 'Volero Le Cannet', '2022-01-01']]
[['University of Strasbourg', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Imanol Sarriegi', 'endMemberOf', 'CD Calahorra', '2022-01-01']]
[['Txemi Urtasun', 'startMemberOf', 'Bàsquet Girona', '2022-01-01']]
[['Beñat Garro', 'endMemberOf', 'SD Amorebieta', '2022-01-01']]
[['Philipp Hartwich', 'endMemberOf', 'BG Göttingen', '2022-01-01']]
[['Richarlison', 'endMemberOf', 'Everton F. C.', '2022-01-01']]
[['Anthony Soubervie', 'endMemberOf', 'Football Bourg-en-Bresse Péronnas 01', '2022-01-01']]
[['Rodrigo Negri', 'endMemberOf', 'Estação Primeira de Mangueira', '2022-01-01']]
[['University Health Network', 'startMemberOf', 'Digital Research Alliance Of Canada', '2022-01-01']]
[['Shusuke Yamamoto', 'endMemberOf', 'Ehime Orange Vikings', '2022-01-01']]
[['Julie Foggea', 'endMemberOf', 'CS Rapid București ( handball)', '2022-01-01']]
[['Cyndi Shein', 'endWorksFor', 'University of Nevada, Las Vegas', '2022-01-01']]
[['Danial Esmaeilifar', 'endMemberOf', 'Sepahan S. C.', '2022-01-01']]
[['Rosamaria Montibeller', 'endMemberOf', 'AGIL Volley', '2022-01-01']]
[['Fábio Ricardo', 'startMemberOf', 'Mocidade Independente de Padre Miguel', '2022-01-01']]
[['Barbara Guarischi', 'endMemberOf', 'Movistar Team ( women\' s team)', '2022-01-01']]
[['Luka Jović', 'endMemberOf', 'Real Madrid CF', '2022-01-01']]
[['Aleksandr Dzhigero', 'startMemberOf', 'FC Minsk', '2022-01-01']]
[['Hwang In-beom', 'endMemberOf', 'FC Rubin Kazan', '2022-01-01']]
[['Isabelle Yacoubou', 'endMemberOf', 'Tango Bourges Basket', '2022-01-01']]
[['Rebecka Lazic', 'endMemberOf', 'Neptunes De Nantes', '2022-01-01']]
[['Lander Iurrebaso', 'endMemberOf', 'CD Calahorra', '2022-01-01']]
[['Giovana Queiroz', 'endMemberOf', 'Levante UD Femenino', '2022-01-01']]
[['Jens Reynders', 'endMemberOf', 'Team Flanders– Baloise', '2022-01-01']]
[['Erik Ruiz', 'endMemberOf', 'Real Unión', '2022-01-01']]
[['University of Bologna', 'startMemberOf', 'Guild of European Research-Intensive Universities', '2022-01-01']]
[['Ryan Edmondson', 'startMemberOf', 'Port Vale F. C.', '2022-01-01']]
[['Severo Luzardo', 'startMemberOf', 'União da Ilha do Governador', '2022-01-01']]
[['Britt Bongaerts', 'endMemberOf', 'Wealth Planet Perugia Volley', '2022-01-01']]
[['Mikel Fernández Sanz', 'endMemberOf', 'CD El Ejido', '2022-01-01']]
[['Anthony Pelmard', 'endMemberOf', 'Blagnac Rugby', '2022-01-01']]
[['University of Coimbra', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Jip van den Bos', 'endMemberOf', 'Team Jumbo– Visma ( women\' s team)', '2022-01-01']]
[['Abde Ezzalzouli', 'startMemberOf', 'CA Osasuna', '2022-01-01']]
[['Steve Traoré', 'endMemberOf', 'Sainte-Geneviève Sports', '2022-01-01']]
[['Jon Iru', 'endMemberOf', 'Gernika Club', '2022-01-01']]
[['Soufiane Bouftini', 'endMemberOf', 'Al Ahli SC ( Doha)', '2022-01-01']]
[['Pablo Hervías', 'endMemberOf', 'Real Valladolid', '2022-01-01']]
[['Jordy Caicedo', 'endMemberOf', 'PFC CSKA Sofia', '2022-01-01']]
[['Vlado Janković', 'endMemberOf', 'P. A. O. K. BC', '2022-01-01']]
[['Britt Herbots', 'endMemberOf', 'AGIL Volley', '2022-01-01']]
[['Daniel Turek', 'endMemberOf', 'Team Felbermayr– Simplon Wels', '2022-01-01']]
[['Odei Onaindia', 'endMemberOf', 'CD Mirandés', '2022-01-01']]
[['Delhi University', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Quicala Bari', 'endMemberOf', 'Club San Ignacio', '2022-01-01']]
[['Manu García ( footballer, born 1986)', 'endMemberOf', 'Aris Limassol FC', '2022-01-01']]
[['John Guidetti', 'endMemberOf', 'Deportivo Alavés', '2022-01-01']]
[['University of Rouen Normandy', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Sebastian Tounekti', 'endMemberOf', 'FC Groningen', '2022-01-01']]
[['Gorka Santamaría', 'endMemberOf', 'CD Badajoz', '2022-01-01']]
[['Dani Güiza', 'endMemberOf', 'Atlético Sanluqueño CF', '2022-01-01']]
[['Martin Rasner', 'endMemberOf', 'Floridsdorfer AC', '2022-01-01']]
[['Gavin Mannion', 'endMemberOf', 'Human Powered Health ( men\' s team)', '2022-01-01']]
[['Andrzej Pluta', 'endMemberOf', 'Astoria Bydgoszcz', '2022-01-01']]
[['Tarsicio Aguado', 'endMemberOf', 'CD Calahorra', '2022-01-01']]
[['Euloge Placca Fessou', 'endMemberOf', 'K Beerschot VA', '2022-01-01']]
[['National Museum of Natural History, France', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Daniel Wass', 'endMemberOf', 'Valencia CF', '2022-01-01']]
[['Kévin Rodrigues', 'endMemberOf', 'Rayo Vallecano', '2022-01-01']]
[['Oriol Soldevila', 'endMemberOf', 'Birmingham City F. C. Reserves and Academy', '2022-01-01']]
[['Albert Lafuente', 'endMemberOf', 'Força Lleida CE', '2022-01-01']]
[['Iñigo López Gálvez', 'startMemberOf', 'Sestao River Club', '2022-01-01']]
[['Alexander Gualda', 'endMemberOf', 'CD Tudelano', '2022-01-01']]
[['Kieran Trippier', 'startMemberOf', 'Newcastle United F. C.', '2022-01-01']]
[['Franck Bonnamour', 'endMemberOf', 'B& B Hotels– KTM', '2022-01-01']]
[['Maziar Kouhyar', 'startMemberOf', 'York City F. C.', '2022-01-01']]
[['Sean Newton', 'startMemberOf', 'Buxton F. C.', '2022-01-01']]
[['Jagiellonian University', 'startMemberOf', 'Guild of European Research-Intensive Universities', '2022-01-01']]
[['Oscar Tshiebwe', 'startAward', 'Naismith College Player of the Year', '2022-01-01']]
[['Kim Tillie', 'endMemberOf', 'Kolossos Rodou B. C.', '2022-01-01']]
[['Hwang Ui-jo', 'endMemberOf', 'FC Girondins de Bordeaux', '2022-01-01']]
[['Mihkel Räim', 'startMemberOf', 'Burgos BH', '2022-01-01']]
[['Abdoul Bandaogo', 'endMemberOf', 'Real Balompédica Linense', '2022-01-01']]
[['Shakhzod Ubaydullaev', 'startMemberOf', 'FC Neftchi Fergana', '2022-01-01']]
[['Connor Swift', 'endMemberOf', 'Arkéa– Samsic', '2022-01-01']]
[['Maja Aleksić', 'endMemberOf', 'Volero Le Cannet', '2022-01-01']]
[['Institut national des langues et civilisations orientales', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Scott Burgess ( footballer)', 'endMemberOf', 'Port Vale F. C.', '2022-01-01']]
[['University of Caen Normandy', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Eliot Lietaer', 'endMemberOf', 'B& B Hotels– KTM', '2022-01-01']]
[['Nicole Steigenga', 'startMemberOf', 'Team Coop– Hitec Products', '2022-01-01']]
[['Andriy Markovych', 'startMemberOf', 'FC Karpaty Lviv', '2022-01-01']]
[['Raphaël Gerbeaud', 'endMemberOf', 'Stade Plabennécois', '2022-01-01']]
[['University of Glasgow', 'startMemberOf', 'Guild of European Research-Intensive Universities', '2022-01-01']]
[['Hungarian Academy of Sciences', 'startMemberOf', 'International Science Council', '2022-01-01']]
[['Phil Jagielka', 'endMemberOf', 'Derby County F. C.', '2022-01-01']]
[['Laurenz Rex', 'endMemberOf', 'Bingoal WB', '2022-01-01']]
[['Yaroslav Yarotsky', 'startMemberOf', 'FC Vitebsk', '2022-01-01']]
[['Micha Hancock', 'endMemberOf', 'AGIL Volley', '2022-01-01']]
[['Max Meyer ( footballer)', 'startMemberOf', 'FC Midtjylland', '2022-01-01']]
[['Donovan Mitchell', 'endMemberOf', 'Utah Jazz', '2022-01-01']]
[['Anthony Martial', 'startMemberOf', 'Sevilla FC', '2022-01-01']]
[['Drew Morey', 'endMemberOf', 'Bennelong SwissWellness Cycling Team p u002F b Cervelo', '2022-01-01']]
[['University of Picardy Jules Verne', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Jeonbuk National University', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Søren Vosgerau', 'startMemberOf', 'Riwal Cycling Team', '2022-01-01']]
[['Gorka Agirre Moreno', 'startMemberOf', 'Sestao River Club', '2022-01-01']]
[['Josep Pérez Tomàs', 'endMemberOf', 'CB Almansa', '2022-01-01']]
[['Aliou Dembélé', 'endMemberOf', 'Stade Briochin', '2022-01-01']]
[['Dzianis Kazloŭski', 'startMemberOf', 'FC Shakhtyor Soligorsk', '2022-01-01']]
[['Darwin Núñez', 'endMemberOf', 'S. L. Benfica', '2022-01-01']]
[['Paris-East Créteil University', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Texas Tech University Health Sciences Center', 'startMemberOf', 'Texas Library Coalition For United Action', '2022-01-01']]
[['Ramon Sinkeldam', 'endMemberOf', 'Groupama– FDJ', '2022-01-01']]
[['Ahmed Hassan ( footballer, born 1993)', 'endMemberOf', 'Konyaspor', '2022-01-01']]
[['Royal Society', 'startMemberOf', 'International Science Council', '2022-01-01']]
[['Maciej Sadlok', 'endMemberOf', 'Wisła Kraków', '2022-01-01']]
[['Chloe Hosking', 'endMemberOf', 'Trek– Segafredo ( women\' s team)', '2022-01-01']]
[['Université de Namur', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['School for Advanced Studies in the Social Sciences', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Keita Baldé', 'endMemberOf', 'Cagliari Calcio', '2022-01-01']]
[['Cyril Gautier', 'endMemberOf', 'B& B Hotels– KTM', '2022-01-01']]
[['Iñaki Recio', 'startMemberOf', 'CD Calahorra', '2022-01-01']]
[['Galder Cerrajería', 'endMemberOf', 'Cultural y Deportiva Leonesa', '2022-01-01']]
[['Uppsala University', 'startMemberOf', 'Guild of European Research-Intensive Universities', '2022-01-01']]
[['J U002E D U002E Weatherspoon', 'startMemberOf', 'Académica de Coimbra ( football)', '2022-01-01']]
[['Vladimír Brodziansky', 'endMemberOf', 'Club Joventut Badalona', '2022-01-01']]
[['Artsyom Vaskow', 'startMemberOf', 'FC Arsenal Dzerzhinsk', '2022-01-01']]
[['Max Kruse', 'startMemberOf', 'VfL Wolfsburg', '2022-01-01']]
[['Jon Irazabal', 'endMemberOf', 'SD Amorebieta', '2022-01-01']]
[['Quino Colom', 'endMemberOf', 'AEK B. C.', '2022-01-01']]
[['Juan Ignacio Jasen', 'endMemberOf', 'Cb Murcia B', '2022-01-01']]
[['Gréta Szakmáry', 'endMemberOf', 'Aydın Büyükşehir Belediyespor', '2022-01-01']]
[['Carlos Muzzio', 'endMemberOf', 'Stade Montois', '2022-01-01']]
[['Martijn Budding', 'startMemberOf', 'Riwal Cycling Team', '2022-01-01']]
[['Barnabás Peák', 'startMemberOf', 'Intermarché– Circus– Wanty', '2022-01-01']]
[['José Manuel Díaz ( cyclist)', 'startMemberOf', 'Gazprom– RusVelo', '2022-01-01']]
[['Gaizka Larrazabal', 'endMemberOf', 'SD Amorebieta', '2022-01-01']]
[['University of Groningen', 'startMemberOf', 'Guild of European Research-Intensive Universities', '2022-01-01']]
[['Leandro Bolmaro', 'endMemberOf', 'Minnesota Timberwolves', '2022-01-01']]
[['Vitaliy Buts', 'endMemberOf', 'Sakarya BB Pro Team', '2022-01-01']]
[['Thomas Heurtel', 'endMemberOf', 'Real Madrid Baloncesto', '2022-01-01']]
[['Nani ( footballer)', 'startMemberOf', 'Venezia F. C.', '2022-01-01']]
[['Antonio Puppio', 'startMemberOf', 'Israel Premier Tech Academy', '2022-01-01']]
[['Istituto Nazionale di Fisica Nucleare', 'startMemberOf', 'Science Europe', '2022-01-01']]
[['Erling Haaland', 'endMemberOf', 'Borussia Dortmund', '2022-01-01']]
[['Jacopo Guarnieri', 'endMemberOf', 'Groupama– FDJ', '2022-01-01']]
[['Jon Villanueva Gómez', 'endMemberOf', 'Zamora CF', '2022-01-01']]
[['University of Los Andes ( Colombia)', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Mikel San José', 'endMemberOf', 'SD Amorebieta', '2022-01-01']]
[['Alessia Gennari', 'endMemberOf', 'Unione Sportiva Pro Victoria Pallavolo Monza', '2022-01-01']]
[['University of Guelph', 'startMemberOf', 'Digital Research Alliance Of Canada', '2022-01-01']]
[['Patrick Ebert', 'startMemberOf', 'Kavala F. C.', '2022-01-01']]
[['Kasper Viberg Søgaard', 'startMemberOf', 'Riwal Cycling Team', '2022-01-01']]
[['Aitor Fernández ( footballer, born 1991)', 'endMemberOf', 'Levante UD', '2022-01-01']]
[['Eddie Dunbar', 'endMemberOf', 'Ineos Grenadiers', '2022-01-01']]
[['Josué Dorrio', 'endMemberOf', 'Real Balompédica Linense', '2022-01-01']]
[['Dani Díez', 'endMemberOf', 'CB San Pablo Burgos', '2022-01-01']]
[['University of Warsaw', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Andrey Potapenko', 'endMemberOf', 'Belarus national under-21 football team', '2022-01-01']]
[['Steff Cras', 'endMemberOf', 'Lotto– Dstny', '2022-01-01']]
[['Gerel Simmons', 'endMemberOf', 'Fundación Lucentum Baloncesto', '2022-01-01']]
[['Texas A& M University', 'startMemberOf', 'Texas Library Coalition For United Action', '2022-01-01']]
[['Aleksa Matić ( footballer, born 2002)', 'endMemberOf', 'Red Star Belgrade', '2022-01-01']]
[['Ilka Van de Vyver', 'endMemberOf', 'Allianz MTV Stuttgart', '2022-01-01']]
[['Ægir Steinarsson', 'endMemberOf', 'Gipuzkoa Basket', '2022-01-01']]
[['University of Houston', 'startMemberOf', 'Texas Library Coalition For United Action', '2022-01-01']]
[['University of Tours', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Saud Abdulhamid', 'endMemberOf', 'Al-Ittihad Club ( Jeddah)', '2022-01-01']]
[['Robyn Johannes', 'endMemberOf', 'Stellenbosch F. C.', '2022-01-01']]
[['Michael Valgren', 'endMemberOf', 'EF Education– EasyPost', '2022-01-01']]
[['César Fonte', 'endMemberOf', 'Kelly– Simoldes– UDO', '2022-01-01']]
[['University of Tehran', 'startMemberOf', 'International Science Council', '2022-01-01']]
[['Saulius Kulvietis', 'endMemberOf', 'Telekom Baskets Bonn', '2022-01-01']]
[['Lennert Teugels', 'endMemberOf', 'Tarteletto– Isorex', '2022-01-01']]
[['Jokin Gabilondo', 'endMemberOf', 'Real Sociedad C', '2022-01-01']]
[['Clevin Hannah', 'endMemberOf', 'BC Andorra', '2022-01-01']]
[['Mauro Quintaes', 'endMemberOf', 'Império De Casa Verde', '2022-01-01']]
[['Leandro Bolmaro', 'endMemberOf', 'Iowa Wolves', '2022-01-01']]
[['Anouska Koster', 'endMemberOf', 'Team Jumbo– Visma ( women\' s team)', '2022-01-01']]
[['Isaac Aketxe', 'endMemberOf', 'Hércules CF', '2022-01-01']]
[['Mikel Álvaro', 'startMemberOf', 'Club Portugalete', '2022-01-01']]
[['Steve Traoré', 'startMemberOf', 'PFC Beroe Stara Zagora', '2022-01-01']]
[['Mikel Juaristi', 'endMemberOf', 'Barakaldo CF', '2022-01-01']]
[['Isabelle Haak', 'endMemberOf', 'VakıfBank S. K.', '2022-01-01']]
[['Dakota Mathias', 'endMemberOf', 'Memphis Grizzlies', '2022-01-01']]
[['University of Windsor', 'startMemberOf', 'Digital Research Alliance Of Canada', '2022-01-01']]
[['University of Turin', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Sebastian Langeveld', 'endMemberOf', 'EF Education– EasyPost', '2022-01-01']]
[['Corentin Ermenault', 'endMemberOf', 'Avc Aix-En-Provence', '2022-01-01']]
[['University of Tartu', 'startMemberOf', 'Guild of European Research-Intensive Universities', '2022-01-01']]
[['Nino Do Milênio', 'startMemberOf', 'Acadêmicos Do Sossego', '2022-01-01']]
[['Autonomous University of Madrid', 'startMemberOf', 'Agence universitaire de la Francophonie', '2022-01-01']]
[['Bohdan Shust', 'endMemberOf', 'FC Inhulets Petrove', '2022-01-01']]
[['Xabi Etxebarria', 'endMemberOf', 'SD Leioa', '2022-01-01']]
[['Obie Trotter', 'startMemberOf', 'Fundación Lucentum Baloncesto', '2022-01-01']]
