[['Peter Brook', 'award', 'Princess Of Asturias Award For The Arts generic instance', '2026-01-01']]
[['Romain Chomel De Jarnieu', 'award', 'Knight Of The Legion Of Honour generic instance', '2026-12-02']]
[['Jakub Morze', 'endWorksFor', 'Harvard T. H. Chan School of Public Health', '2026-09-30']]
[['Nye Veier', 'endLeader', 'Ingrid Dahl Hovland', '2026-10-14']]
[['Tyler Gorrie-Stone', 'endWorksFor', 'University of Essex', '2026-12-01']]
[['Welcome to the Family ( 2025 TV series)', 'startActor', 'Paula Malia', '2026-01-14']]
[['Welcome to the Family ( 2025 TV series)', 'endActor', 'Paula Malia', '2026-04-15']]
[['Fatemeh Shaebani Behbahani', 'endWorksFor', 'Mashhad University of Medical Sciences', '2026-05-19']]
[['8 Out of 10 Cats', 'endActor', 'Aisling Bea', '2026-03-01']]
[['Clément Frison-Roche', 'award', 'Mort pour la France', '2026-11-29']]
[['Dmytro Bashlay', 'startMemberOf', 'FC Arsenal Kyiv', '2026-02-01']]
[['Kusuo Oshima', 'startCandidateIn', '2026 Japanese House of Councillors election', '2026-07-21']]
[['Md Morshedul Haque', 'startWorksFor', 'Gwangju Institute of Science and Technology', '2026-09-06']]
[['Patrícia Quelhas', 'endWorksFor', 'King\' s College Hospital', '2026-05-31']]
[['Nanjing', 'endLeader', 'Lan Shaomin', '2026-10-25']]
[['Jean-Paul Belmondo', 'award', 'Grand Officer Of The Legion Of Honour generic instance', '2026-07-13']]
[['Tremors', 'startContentLocation', 'National City ( DC Comics)', '2026-11-01']]
[['Andrew Hodges', 'endWorksFor', 'Leibniz Institute For East And Southeast European Studies', '2026-07-23']]
[['James Fouché', 'startMemberOf', 'Team Jayco– AlUla ( men\' s team)', '2026-08-01']]
[['Coneda Ug', 'endLeader', 'Moritz Schepp', '2026-10-31']]
[['West Betuwe', 'endLeader', 'Harry Keereweer', '2026-11-21']]
[['Andrew Tamis', 'startWorksFor', 'Brookhaven National Laboratory', '2026-06-08']]
[['Monica Cations', 'endWorksFor', 'Flinders University', '2026-08-03']]
[['Prashant Tarale', 'endWorksFor', 'Nagpur Veterinary College', '2026-04-30']]
[['McKenzie Milton', 'startAcademicDegree', 'Bachelor of Science generic instance', '2026-12-13']]
[['Joëlle Smits', 'startMemberOf', 'PSV ( women)', '2026-08-01']]
[['Com Si Fos Ahir', 'endActor', 'Enric Auquer', '2026-12-03']]
[['Antoine M G Barreaux', 'endWorksFor', 'University Park', '2026-03-30']]
[['Benjamin D U002E Stocker', 'endWorksFor', 'Stanford University', '2026-07-31']]
[['Kris Jenner', 'startNotableWork', 'Flip It Like Disick', '2026-08-04']]
[['Kris Jenner', 'endNotableWork', 'Flip It Like Disick', '2026-09-29']]
[['FTX', 'startLeader', 'Sam Bankman-Fried', '2026-05-01']]
