[['Boyd van der Vuurst de Vries', 'endMemberOf', 'AB Castelló', '2026-01-01'], ['Kimberly Drewniok', 'endMemberOf', 'ASPTT Mulhouse', '2026-01-01'], ['Dragan Zeković', 'endMemberOf', 'Lions de Genève', '2026-01-01'], ['Michelle Bartsch-Hackley', 'endMemberOf', 'VakıfBank S. K.', '2026-01-01']]
[['Joël Tchami', 'endMemberOf', 'SPA F. C.', '2026-01-01'], ['Connor Metcalfe', 'endMemberOf', 'Melbourne City FC', '2026-01-01'], ['Paula Nicart', 'endMemberOf', 'Sevilla FC', '2026-01-01'], ['Unai Veiga', 'startMemberOf', 'Algeciras CF', '2026-01-01']]
[['Pierre Rothacher', 'endMemberOf', 'Nîmes Olympique B', '2026-01-01'], ['Adriano Moke', 'startMemberOf', 'Darlington F. C.', '2026-01-01'], ['Beñat Leiza', 'endMemberOf', 'SD Amorebieta', '2026-01-01'], ['Rubén González ( footballer, born 1994)', 'endMemberOf', 'UD Ibiza', '2026-01-01']]
[['Vinícius Souza', 'endMemberOf', 'K. V. Mechelen', '2026-01-01'], ['Luis Díaz ( Colombian footballer)', 'endMemberOf', 'FC Porto', '2026-01-01'], ['Ricardinho ( futsal player, born 1985)', 'endMemberOf', 'Accs Asnieres Villeneuve 92', '2026-01-01'], ['Nir Bitton', 'endMemberOf', 'Celtic F. C.', '2026-01-01']]
[['Peter Jameson', 'endMemberOf', 'York City F. C.', '2026-01-01'], ['Yuriy Goltsev', 'endMemberOf', 'Okęcie Warsaw', '2026-01-01'], ['Oleksandr Vasylyev', 'startMemberOf', 'FC Lviv', '2026-01-01'], ['Denis Mitrofanov', 'endMemberOf', 'FC Kairat Moscow', '2026-01-01']]
[['Maksim Kunski', 'startMemberOf', 'FC Energetik-BGU Minsk', '2026-01-01'], ['Batcheba Louis', 'endMemberOf', 'GPSO 92 Issy', '2026-01-01'], ['Joris van Overeem', 'endPlaysIn', 'Eredivisie generic instance', '2026-01-01'], ['Alex Morgan', 'endMemberOf', 'Orlando Pride', '2026-01-01']]
[['Július Szöke', 'startMemberOf', 'Hapoel Ironi Kiryat Shmona F. C.', '2026-01-01'], ['Kurt Willoughby', 'endMemberOf', 'York City F. C.', '2026-01-01'], ['Mikita Baranok', 'startMemberOf', 'FC Vitebsk', '2026-01-01'], ['Yamoussa Camara ( footballer)', 'startMemberOf', 'FC BATE Borisov', '2026-01-01']]
[['Ekhiotz Orobiogoikoetxea', 'startMemberOf', 'SD Logroñés', '2026-01-01'], ['Matt Gilks', 'endMemberOf', 'Bolton Wanderers F. C.', '2026-01-01'], ['Aritz De Miguel', 'endMemberOf', 'CD Mirandés B', '2026-01-01'], ['Abdoul Bandaogo', 'startMemberOf', 'C. D. Trofense', '2026-01-01']]
[['Mikel Pradera Belar', 'endMemberOf', 'Real Unión', '2026-01-01'], ['Andrés Balanta', 'startMemberOf', 'Atlético Tucumán', '2026-01-01'], ['Bingourou Kamara', 'startMemberOf', 'R. Charleroi S. C.', '2026-01-01'], ['Shojae Khalilzadeh', 'endMemberOf', 'Al-Rayyan SC', '2026-01-01']]
[['Javier Murua Alzueta', 'endMemberOf', 'Salamanca CF UDS', '2026-01-01'], ['Fernando Llorente', 'endMemberOf', 'SD Eibar', '2026-01-01'], ['Joel King', 'endMemberOf', 'Sydney FC', '2026-01-01'], ['Sergei Slepov', 'endMemberOf', 'FC Rotor Volgograd', '2026-01-01']]
[['Oleg Nikiforenko', 'endMemberOf', 'Belarus national under-21 football team', '2026-01-01'], ['Vanesa Gimbert', 'endMemberOf', 'Athletic Club ( women)', '2026-01-01'], ['Asier Pérez Moreno', 'startMemberOf', 'UD Mutilvera', '2026-01-01'], ['Jeff Hendrick', 'startMemberOf', 'Queens Park Rangers F. C.', '2026-01-01']]
[['Julen Agirre', 'endMemberOf', 'CD Vitoria', '2026-01-01'], ['Aram Kocharyan', 'startMemberOf', 'Noravank SC', '2026-01-01'], ['Malik Pinto', 'endMemberOf', 'Princeton Tigers men\' s soccer', '2026-01-01'], ['Ibai Sanz', 'endMemberOf', 'CD Basconia', '2026-01-01']]
[['Markel Lozano', 'endMemberOf', 'SD Amorebieta', '2026-01-01'], ['Théo Braillon', 'endMemberOf', 'Football Bourg-en-Bresse Péronnas 01', '2026-01-01'], ['Oier Sanjurjo', 'endMemberOf', 'CA Osasuna', '2026-01-01'], ['Kalidou Koulibaly', 'startMemberOf', 'Chelsea F. C.', '2026-01-01']]
[['Hong Hyun-seok', 'endMemberOf', 'LASK', '2026-01-01'], ['Aleksandr Guz', 'startMemberOf', 'Belarus national under-19 football team', '2026-01-01'], ['Dele Alli', 'startMemberOf', 'Everton F. C.', '2026-01-01'], ['Eden Kartsev', 'startMemberOf', 'FC Dynamo Moscow', '2026-01-01']]
[['Yao Assamoi Kouassi', 'startMemberOf', 'FC Slutsk', '2026-01-01'], ['Yevgeny Beryozkin', 'startMemberOf', 'FC Torpedo-BelAZ Zhodino', '2026-01-01'], ['Leandro Morante', 'endMemberOf', 'LB Châteauroux', '2026-01-01'], ['Joseba Muguruza', 'endMemberOf', 'CE Sabadell FC', '2026-01-01']]
[['Yaser Hamed', 'startMemberOf', 'Al Masry SC', '2026-01-01'], ['Raúl Fernández ( footballer, born 1988)', 'endMemberOf', 'UD Las Palmas', '2026-01-01'], ['Bruno Sebastián Caballero', 'endMemberOf', 'Racing Murcia FC', '2026-01-01'], ['Lee Tuck', 'endMemberOf', 'Sri Pahang F U002E C U002E ', '2026-01-01']]
[['Prince Kwabena Adu', 'endMemberOf', 'Bechem United F. C.', '2026-01-01'], ['Darwin Núñez', 'startMemberOf', 'Liverpool F. C.', '2026-01-01'], ['Mikel Saizar', 'endMemberOf', 'SD Amorebieta', '2026-01-01'], ['Matthew Smith ( footballer, born 1999)', 'endMemberOf', 'Hull City A. F. C.', '2026-01-01']]
[['Vlad Mitrea', 'startMemberOf', 'CS Mioveni', '2026-01-01'], ['Álex Vallejo', 'endMemberOf', 'Huddersfield Town A. F. C.', '2026-01-01'], ['Carlos Moros Gracia', 'endMemberOf', 'Mjällby AIF', '2026-01-01'], ['Ali Majrashi', 'endMemberOf', 'Al Shabab FC ( Riyadh)', '2026-01-01']]
[['Andries Noppert', 'endMemberOf', 'Go Ahead Eagles', '2026-01-01'], ['Vicu Bulmaga', 'endMemberOf', 'FK Teplice', '2026-01-01'], ['Fyodor Smolov', 'endMemberOf', 'FC Lokomotiv Moscow', '2026-01-01'], ['Alex Carbonell Martikorena', 'endMemberOf', 'Real Sociedad C', '2026-01-01']]
[['Pellegrino Matarazzo', 'endWorksFor', 'VfB Stuttgart', '2026-01-01'], ['Boris Klaiman', 'endMemberOf', 'Israel national football team generic instance', '2026-01-01'], ['Zouhair Feddal', 'endMemberOf', 'Sporting CP', '2026-01-01'], ['Iñaki Recio', 'endMemberOf', 'Real Sociedad B', '2026-01-01']]
[['Abdul Mumin', 'endMemberOf', 'Vitória S. C.', '2026-01-01'], ['Roberto López ( footballer, born 2000)', 'endMemberOf', 'Real Sociedad B', '2026-01-01'], ['Jon Karrikaburu', 'endMemberOf', 'Real Sociedad B', '2026-01-01'], ['María Molina Molero', 'endMemberOf', 'FC Barcelona Femení', '2026-01-01']]
[['José Hurtado ( footballer)', 'endMemberOf', 'C. S. D. Independiente del Valle', '2026-01-01'], ['Hamza Hannouri', 'endMemberOf', 'Moghreb Tétouan', '2026-01-01'], ['Isco', 'endMemberOf', 'Real Madrid CF', '2026-01-01'], ['Ilaix Moriba', 'startMemberOf', 'Valencia CF', '2026-01-01']]
[['Lukuman Aliu', 'endMemberOf', 'Ifeanyi Ubah F. C.', '2026-01-01'], ['Mark-Anthony Kaye', 'endMemberOf', 'Colorado Rapids', '2026-01-01'], ['Anatz Elizondo', 'endMemberOf', 'Real Unión', '2026-01-01'], ['Remy Longdon', 'startMemberOf', 'York City F. C.', '2026-01-01']]
[['Diego Buonanotte', 'endMemberOf', 'Club Deportivo Universidad Católica', '2026-01-01'], ['Mootez Zaddem', 'endMemberOf', 'Valmiera FC', '2026-01-01'], ['Ilyes Najim', 'endMemberOf', 'Sm Caen B', '2026-01-01'], ['Julen Bernaola', 'endMemberOf', 'Rayo Cantabria', '2026-01-01']]
[['Álvaro Odriozola', 'endMemberOf', 'ACF Fiorentina', '2026-01-01'], ['Raúl Chasco', 'endMemberOf', 'CD Basconia', '2026-01-01'], ['Iñigo Vicente', 'endMemberOf', 'CD Mirandés', '2026-01-01'], ['Jun Amano', 'startMemberOf', 'Ulsan Hyundai FC', '2026-01-01']]
[['Mikhail Shibun', 'startMemberOf', 'FC Minsk', '2026-01-01'], ['Moussa Sissako', 'endMemberOf', 'Standard Liège', '2026-01-01'], ['Ilya Skrobotov', 'endMemberOf', 'FC Zenit-2 Saint Petersburg', '2026-01-01'], ['Shinji Kagawa', 'startMemberOf', 'Sint-Truidense V. V.', '2026-01-01']]
[['Iker Hernández', 'endMemberOf', 'UD Melilla', '2026-01-01'], ['Calum Chambers', 'startMemberOf', 'Aston Villa F. C.', '2026-01-01'], ['Ion Nicolaescu', 'startMemberOf', 'Maccabi Petah Tikva F. C.', '2026-01-01'], ['Chadi Riad', 'endMemberOf', 'CE Sabadell FC', '2026-01-01']]
[['Diego Royo', 'endMemberOf', 'CD Tudelano', '2026-01-01'], ['Aritz De Miguel', 'startMemberOf', 'Club Portugalete', '2026-01-01'], ['Nasser Larguet', 'endWorksFor', 'Olympique de Marseille', '2026-01-01'], ['Adam Jahn', 'endMemberOf', 'Orange County SC', '2026-01-01']]
[['Danila Žuĺpa', 'startMemberOf', 'Belarus national under-19 football team', '2026-01-01'], ['Dmitriy Bukshtan', 'endMemberOf', 'FC Dynamo Saint Petersburg', '2026-01-01'], ['Ioan Hora', 'startMemberOf', 'FC Hermannstadt', '2026-01-01'], ['Mohamed Boulacsoute', 'endMemberOf', 'SCC Mohammédia', '2026-01-01']]
[['Aleksey Teslyuk', 'startMemberOf', 'FC Lokomotiv Gomel', '2026-01-01'], ['Denis Zakaria', 'endMemberOf', 'Borussia Mönchengladbach', '2026-01-01'], ['Timur Melekestsev', 'startMemberOf', 'FC Alania Vladikavkaz ( 2019)', '2026-01-01'], ['Cristian Ganea', 'endMemberOf', 'Aris Thessaloniki F. C.', '2026-01-01']]
[['Aleksandr Sakovich', 'startMemberOf', 'FC Vitebsk', '2026-01-01'], ['Jonás Ramalho', 'endMemberOf', 'CA Osasuna', '2026-01-01'], ['Kako Sanz', 'startMemberOf', 'Linares Deportivo', '2026-01-01'], ['Mario Barco', 'endMemberOf', 'CD Castellón', '2026-01-01']]
[['Guillaume Khous', 'endMemberOf', 'FC Villefranche Beaujolais', '2026-01-01'], ['Nick Pope ( footballer)', 'endMemberOf', 'Burnley F. C.', '2026-01-01'], ['Max Kruse', 'endMemberOf', '1. FC Union Berlin', '2026-01-01'], ['Ilya Belous', 'endMemberOf', 'FC Shinnik Yaroslavl', '2026-01-01']]
[['Gabriel Jesus', 'startMemberOf', 'Arsenal F. C.', '2026-01-01'], ['Timur Melekestsev', 'endMemberOf', '1. FC Slovácko', '2026-01-01'], ['Hong Yun-sang', 'endMemberOf', 'SKN St. Pölten', '2026-01-01'], ['Takuji Yonemoto', 'startMemberOf', 'Shonan Bellmare', '2026-01-01']]
[['Álex Vallejo', 'startMemberOf', 'Doxa Katokopias FC', '2026-01-01'], ['Bekim Balaj', 'startMemberOf', 'Boluspor', '2026-01-01'], ['Anastasiya Kunitskaya', 'startMemberOf', 'Kireçburnu Spor', '2026-01-01'], ['Jeslynn Kuijpers', 'endMemberOf', 'PSV ( women)', '2026-01-01']]
[['Robert Sălceanu', 'startMemberOf', 'FC Buzău', '2026-01-01'], ['Stefan Mueller ( soccer, born 1995)', 'endMemberOf', 'Tormenta FC', '2026-01-01'], ['Sergio Barcina', 'startMemberOf', 'Club Portugalete', '2026-01-01'], ['Jon Rojo Sagarna', 'endMemberOf', 'Zamora CF', '2026-01-01']]
[['Beñat Garro', 'endMemberOf', 'SD Amorebieta', '2026-01-01'], ['Mbayang Sow', 'endMemberOf', 'Union Sportive Des Parcelles Assainies', '2026-01-01'], ['Richarlison', 'endMemberOf', 'Everton F. C.', '2026-01-01'], ['Anthony Soubervie', 'endMemberOf', 'Football Bourg-en-Bresse Péronnas 01', '2026-01-01']]
[['Erik Ruiz', 'endMemberOf', 'Real Unión', '2026-01-01'], ['Ryan Edmondson', 'startMemberOf', 'Port Vale F. C.', '2026-01-01'], ['Ryhor Marćjanaŭ', 'startMemberOf', 'FC BATE Borisov', '2026-01-01'], ['Kim Jin-gyu ( footballer, born 1997)', 'endMemberOf', 'Busan IPark', '2026-01-01']]
[['Noa Dundas', 'endMemberOf', 'Excelsior Rotterdam', '2026-01-01'], ['Daniel Wass', 'endMemberOf', 'Valencia CF', '2026-01-01'], ['Kévin Rodrigues', 'endMemberOf', 'Rayo Vallecano', '2026-01-01'], ['Oriol Soldevila', 'endMemberOf', 'Birmingham City F. C. Reserves and Academy', '2026-01-01']]
[['Max Meyer ( footballer)', 'startMemberOf', 'FC Midtjylland', '2026-01-01'], ['Anthony Martial', 'startMemberOf', 'Sevilla FC', '2026-01-01'], ['Gorka Agirre Moreno', 'startMemberOf', 'Sestao River Club', '2026-01-01'], ['Aliou Dembélé', 'endMemberOf', 'Stade Briochin', '2026-01-01']]
[['Steve Traoré', 'startMemberOf', 'PFC Beroe Stara Zagora', '2026-01-01'], ['Mikel Juaristi', 'endMemberOf', 'Barakaldo CF', '2026-01-01'], ['Khélis Mahdar', 'startMemberOf', 'Ain Sud', '2026-01-01'], ['Cimafiej Jurasaŭ', 'startMemberOf', 'FC Dinamo Minsk', '2026-01-01']]
[['Iker San Vicente', 'startMemberOf', 'SD Leioa', '2026-01-01'], ['Ander Vitoria', 'endMemberOf', 'Cultural y Deportiva Leonesa', '2026-01-01'], ['Camila Fernández', 'startMemberOf', 'Arsenal Fútbol Club Women', '2026-01-01'], ['Iker Hernández', 'startMemberOf', 'Santiago Wanderers', '2026-01-01']]
[['Filip Kostić', 'endMemberOf', 'Eintracht Frankfurt', '2026-01-01'], ['Alexander Iriondo', 'endMemberOf', 'Club Portugalete', '2026-01-01'], ['Iñigo Orozco', 'endMemberOf', 'SD Amorebieta', '2026-01-01'], ['Martín Cáceres', 'endMemberOf', 'Cagliari Calcio', '2026-01-01']]
[['Valery Bocherov', 'endMemberOf', 'Belarus national under-21 football team', '2026-01-01'], ['Mauro Méndez', 'endMemberOf', 'Montevideo Wanderers F. C.', '2026-01-01'], ['Xabier Etxeita', 'endMemberOf', 'SD Eibar', '2026-01-01'], ['Jayden Oosterwolde', 'endPlaysIn', 'Eredivisie generic instance', '2026-01-01']]
[['Aimar Oroz', 'endMemberOf', 'CA Osasuna B', '2026-01-01'], ['Mikel Santamaría', 'endMemberOf', 'Racing Rioja CF', '2026-01-01'], ['Matthijs de Ligt', 'endMemberOf', 'Juventus F. C.', '2026-01-01'], ['Eneko Zabaleta', 'endMemberOf', 'CD Calahorra', '2026-01-01']]
[['Eneko Undabarrena', 'endMemberOf', 'Burgos CF', '2026-01-01'], ['Sidney Obissa', 'endMemberOf', 'R. Olympic Charleroi Châtelet Farciennes', '2026-01-01'], ['Javier Eduardo López', 'endMemberOf', 'San Jose Earthquakes', '2026-01-01'], ['Jon Magunazelaia', 'endMemberOf', 'Real Sociedad C', '2026-01-01']]
[['Jon Mikel Magunagoitia', 'endMemberOf', 'Zamora CF', '2026-01-01'], ['Jelle Van Neck', 'endMemberOf', 'Belgium national under-18 football team', '2026-01-01'], ['Beñat Garro', 'endMemberOf', 'Arenas Club de Getxo', '2026-01-01'], ['Jibril Langer', 'endMemberOf', 'Football Bourg-en-Bresse Péronnas 01', '2026-01-01']]
[['Jorge Herrando', 'endMemberOf', 'UD Logroñés', '2026-01-01'], ['Ardit Krymi', 'endMemberOf', 'KF Vllaznia Shkodër', '2026-01-01'], ['Elijah Just', 'endMemberOf', 'FC Helsingør', '2026-01-01'], ['Anna Jøsendal', 'endMemberOf', 'Norges U23-Kvinnelandslag I Fotball', '2026-01-01']]
[['Iñigo Ibargoien', 'endMemberOf', 'Arenas Club de Getxo', '2026-01-01'], ['Ekhi Bravo', 'endMemberOf', 'Real Unión B', '2026-01-01'], ['Dmitry Antilevsky', 'startMemberOf', 'FC Dinamo Tbilisi', '2026-01-01'], ['Sebastian Tounekti', 'endMemberOf', 'FK Bodø u002F Glimt', '2026-01-01']]
[['Asier Parra Cuezva', 'endMemberOf', 'UD Melilla', '2026-01-01'], ['Aurélien Tchouaméni', 'startMemberOf', 'Real Madrid CF', '2026-01-01'], ['Anastasiya Shlapakova', 'endMemberOf', 'Dinamo-Bgu', '2026-01-01'], ['Gorka Pérez', 'endMemberOf', 'CD Badajoz', '2026-01-01']]
[['Denis Yaskovich', 'startMemberOf', 'FC Minsk', '2026-01-01'], ['Lars Friis', 'endWorksFor', 'Viborg FF', '2026-01-01'], ['Antxon Jaso', 'startMemberOf', 'Real Unión', '2026-01-01'], ['Zeno Ibsen Rossi', 'startMemberOf', 'Dundee F. C.', '2026-01-01']]
[['Jon Xabier Vidal', 'startMemberOf', 'Real Avilés CF', '2026-01-01'], ['Sergio Barcina', 'endMemberOf', 'CD Berceo', '2026-01-01'], ['Iker Unzueta', 'endMemberOf', 'SD Amorebieta', '2026-01-01'], ['Deborah Ngalula', 'startMemberOf', 'Mfa Žalgiris', '2026-01-01']]
[['Tyreece John-Jules', 'endMemberOf', 'Blackpool F. C.', '2026-01-18'], ['Sead Kolašinac', 'startMemberOf', 'Olympique de Marseille', '2026-01-19'], ['Pablo Marí', 'startMemberOf', 'Udinese Calcio', '2026-01-20'], ['Dominika Čonč', 'endMemberOf', 'Valencia CF Femenino', '2026-01-22']]
[['Tibo Persyn', 'endMemberOf', 'Club Brugge KV', '2026-01-26'], ['Luis Garrido', 'startMemberOf', 'Honduras national football team generic instance', '2026-01-26'], ['Rony Martínez', 'startMemberOf', 'C. D. Real Sociedad', '2026-01-26'], ['Edder Delgado', 'startMemberOf', 'C. D. Real Sociedad', '2026-01-26']]
[['Shinzo Koroki', 'startMemberOf', 'Hokkaido Consadole Sapporo', '2026-02-01'], ['Daniel Benzar', 'endMemberOf', 'SSU Politehnica Timișoara', '2026-02-01'], ['Aleksandr Shestyuk', 'startMemberOf', 'FK RFS', '2026-02-01'], ['Andriy Vyskrebentsev', 'startMemberOf', 'FC Slutsk', '2026-02-01']]
[['Yann Emmanuel Affi', 'startMemberOf', 'FC Gomel', '2026-02-01'], ['Iĺja Sień', 'startMemberOf', 'FC Volna Pinsk', '2026-02-01'], ['Gabriel Răducan', 'endMemberOf', 'AFC Dacia Unirea Brăila', '2026-02-01'], ['Leonid Khankevich', 'startMemberOf', 'Włocłavia Włocławek', '2026-02-01']]
[['Amirbek Juraboev', 'startMemberOf', 'United City F. C.', '2026-03-01'], ['Adrián López', 'startMemberOf', 'Málaga CF', '2026-03-01'], ['Kiryl Sidarenka', 'endMemberOf', 'FC Kyzylzhar', '2026-03-01'], ['Artem Bruy', 'startMemberOf', 'FC Orsha', '2026-03-01']]
[['Oleksandr Nasonov', 'endMemberOf', 'FC LNZ Cherkasy', '2026-03-01'], ['Vladimir Pyatigorets', 'startMemberOf', 'FC Dnepr Mogilev', '2026-03-01'], ['Kento Hashimoto', 'startMemberOf', 'Vissel Kobe', '2026-03-01'], ['Vladimir Karp', 'startMemberOf', 'Bks Bochnia', '2026-03-01']]
[['Bilal El Khannous', 'endMemberOf', 'Morocco national under-20 football team', '2026-03-01'], ['Oleksandr Batyshchev', 'startMemberOf', 'FC Ordabasy', '2026-03-01'], ['Bourama Fomba', 'startMemberOf', 'FC Minsk', '2026-03-01'], ['Florentin Matei', 'startMemberOf', 'FC UTA Arad', '2026-03-01']]
[['Yuriy Habovda', 'startMemberOf', 'FK Dukla Prague', '2026-03-01'], ['Amirbek Juraboev', 'endMemberOf', 'FC Istiklol', '2026-03-01'], ['Kiryl Sidarenka', 'startMemberOf', 'FC Kaisar', '2026-03-01'], ['Roman Yuzepchuk', 'startMemberOf', 'FC Shakhtyor Soligorsk', '2026-03-01']]
[['Zvonimir Mikulić', 'startMemberOf', 'FC Brașov ( 2023)', '2026-03-01'], ['Makar Litskevich', 'startMemberOf', 'FC Shakhtyor Petrikov', '2026-03-01'], ['Gbenga Muhammed Opamoye', 'startMemberOf', 'FC Slavia Mozyr', '2026-03-01'], ['Layonel Adams', 'startMemberOf', 'FC Van', '2026-03-01']]
[['Abbosbek Jumakulov', 'startMemberOf', 'FC Energetik-BGU Minsk', '2026-03-01'], ['Kirill Shokurov', 'startMemberOf', 'Fc Vialies-2020', '2026-03-01'], ['Lucian Filip', 'endMemberOf', 'LPS HD Clinceni', '2026-03-01'], ['Uladzislaŭ Karpienia', 'startMemberOf', 'FC Volna Pinsk', '2026-03-01']]
[['Renato Paiva', 'endWorksFor', 'C. S. D. Independiente del Valle', '2026-05-01'], ['Vladislav Rusanov ( footballer)', 'endMemberOf', 'FC Energetik-BGU Minsk', '2026-05-01'], ['Dzmitryj Maciaš', 'endMemberOf', 'FC Rukh Brest', '2026-05-01'], ['Jaŭhien Huliecki', 'endMemberOf', 'FC Rukh Brest', '2026-05-01']]
[['Uladzislaŭ Šubovič', 'endMemberOf', 'FC Rukh Brest', '2026-05-01'], ['Artem Miroyevskiy', 'endMemberOf', 'FC Rukh Brest', '2026-05-01'], ['Ruslan Gurbanov', 'endMemberOf', 'FC Slavia Mozyr', '2026-05-01'], ['Stefan Mueller ( soccer, born 1995)', 'startMemberOf', 'Rio Grande Valley FC Toros', '2026-05-03']]
[['Renato Paiva', 'startWorksFor', 'Club León', '2026-05-27'], ['Karalina Ramanchuk', 'endMemberOf', 'Žfk Vicebsk', '2026-05-28'], ['Ray Gaddis', 'startMemberOf', 'FC Cincinnati', '2026-05-29'], ['Adrián López', 'endMemberOf', 'Málaga CF', '2026-06-01']]
[['Václav Pilař', 'endMemberOf', 'FK Jablonec', '2026-06-01'], ['Igor Khaymanov', 'endMemberOf', 'FC Arsenal Dzerzhinsk', '2026-06-01'], ['Aleksey Orlovich', 'endMemberOf', 'FC Ostrovets', '2026-06-01'], ['Artem Dzyuba', 'endMemberOf', 'FC Zenit Saint Petersburg', '2026-06-01']]
[['Aliaksiej Skvarčeŭski', 'endMemberOf', 'FC Belshina Bobruisk', '2026-06-01'], ['William ( footballer, born 1996)', 'endMemberOf', 'FC Dinamo Minsk', '2026-06-01'], ['Senin Sebai', 'endMemberOf', 'FC Akhmat Grozny', '2026-06-01'], ['Marko Šćepović', 'endMemberOf', 'AC Omonia', '2026-06-01']]
[['Yury Gazinsky', 'endMemberOf', 'FC Krasnodar', '2026-06-01'], ['Gabriel Tamaș', 'endMemberOf', 'FC Voluntari', '2026-06-01'], ['Darko Bodul', 'endMemberOf', 'FK Sarajevo', '2026-06-01'], ['Duje Čop', 'endMemberOf', 'NK Celje', '2026-06-01']]
[['Umaru Bangura', 'endMemberOf', 'Neuchâtel Xamax FCS', '2026-06-01'], ['Yuta Nakayama', 'endMemberOf', 'PEC Zwolle', '2026-06-01'], ['Roman Krivulkin', 'endMemberOf', 'FC Leningradets Leningrad Oblast', '2026-06-01'], ['Maksim Lutskiy', 'startMemberOf', 'FC Naftan Novopolotsk', '2026-06-01']]
[['Yaroslav Martynyuk', 'endMemberOf', 'FC Rukh Lviv', '2026-06-01'], ['Divock Origi', 'endMemberOf', 'Liverpool F. C.', '2026-06-01'], ['Sergio Romero', 'endMemberOf', 'Venezia F. C.', '2026-06-01'], ['Pedro Perlaza', 'endMemberOf', 'C. S. D. Independiente del Valle', '2026-06-01']]
[['Sergey Kontsevoy', 'startMemberOf', 'FC Arsenal Dzerzhinsk', '2026-06-01'], ['Radu-Ștefan Zamfir', 'endMemberOf', 'FC Buzău', '2026-06-01'], ['Amber Verspaget', 'endMemberOf', 'ADO Den Haag ( women)', '2026-06-01'], ['Mërgim Mavraj', 'endMemberOf', 'Türkgücü München', '2026-06-01']]
[['Juan Mata', 'endMemberOf', 'Manchester United F. C.', '2026-06-01'], ['Bekim Balaj', 'endMemberOf', 'Boluspor', '2026-06-01'], ['Robert Sălceanu', 'endMemberOf', 'FC Buzău', '2026-06-01'], ['Nivaldo ( footballer, born July 1988)', 'endMemberOf', 'Anadia F. C.', '2026-06-01']]
[['Alessandro Florenzi', 'endMemberOf', 'A. S. Roma', '2026-06-01'], ['Mirko Ivanovski', 'startMemberOf', 'FC Petrolul Ploiești', '2026-06-01'], ['Dario Kolobarić', 'endMemberOf', 'FC Shakhtyor Soligorsk', '2026-06-01'], ['Aleksandar Filipović ( footballer)', 'endMemberOf', 'FC BATE Borisov', '2026-06-01']]
[['Jan Shcherbakovski', 'endMemberOf', 'Hallescher FC', '2026-06-01'], ['Julius Ofori', 'endMemberOf', 'FC Energetik-BGU Minsk', '2026-06-01'], ['Ryhor Marćjanaŭ', 'endMemberOf', 'FC Torpedo-BelAZ Zhodino', '2026-06-01'], ['Mauricio Isla', 'endMemberOf', 'CR Flamengo', '2026-06-01']]
[['Gwyneth Hendriks', 'endMemberOf', 'ADO Den Haag ( women)', '2026-06-01'], ['Ko Itakura', 'endMemberOf', 'FC Schalke 04', '2026-06-01'], ['Nivaldo ( footballer, born June 1988)', 'endMemberOf', 'SC Chaika Petropavlivska Borshchahivka', '2026-06-01'], ['Ahmed Suhail', 'endMemberOf', 'Al-Arabi SC ( Qatar)', '2026-06-01']]
[['Kehinde Fatai', 'endMemberOf', 'FC Argeș Pitești', '2026-06-01'], ['Héctor Herrera', 'endMemberOf', 'Atlético Madrid', '2026-06-01'], ['Andre de Jong', 'endMemberOf', 'AmaZulu F. C.', '2026-06-01'], ['Andrea Belotti', 'endMemberOf', 'Torino F. C.', '2026-06-01']]
[['Ergys Kaçe', 'endMemberOf', 'Veria F. C.', '2026-06-01'], ['Louise Bos', 'endMemberOf', 'VV Alkmaar', '2026-06-01'], ['Joel Fameyeh', 'endMemberOf', 'FC Orenburg', '2026-06-01'], ['Domagoj Vida', 'endMemberOf', 'Beşiktaş J. K.', '2026-06-01']]
[['Shane Long', 'endMemberOf', 'Southampton F. C.', '2026-06-01'], ['Ivan Michniuk', 'startMemberOf', 'Fc Crf', '2026-06-01'], ['Mirko Ivanovski', 'endMemberOf', 'FC Dinamo București', '2026-06-01'], ['Kevin Strootman', 'endMemberOf', 'Cagliari Calcio', '2026-06-01']]
[['Matthias Ginter', 'endMemberOf', 'Borussia Mönchengladbach', '2026-06-01'], ['Oleksiy Khoblenko', 'endMemberOf', 'FCI Levadia Tallinn', '2026-06-01'], ['Sergei Makarov ( footballer)', 'endMemberOf', 'FC Rotor Volgograd', '2026-06-01'], ['Oleksiy Shchebetun', 'endMemberOf', 'FC Obolon Kyiv', '2026-06-01']]
[['Michael Amir Murillo', 'startMemberOf', 'Panama national football team generic instance', '2026-06-13'], ['Pavel Pavlyuchenko', 'startMemberOf', 'Belarus national football team', '2026-06-13'], ['Alexandru Dandea', 'endMemberOf', 'FC Rapid București', '2026-06-13'], ['Merih Demiral', 'endMemberOf', 'Juventus F. C.', '2026-06-17']]
[['Anthony Contreras', 'endMemberOf', 'A. D. Guanacasteca', '2026-06-30'], ['Bingourou Kamara', 'endMemberOf', 'R. Charleroi S. C.', '2026-06-30'], ['Reiss Nelson', 'endMemberOf', 'Feyenoord', '2026-06-30'], ['Braian Cufré', 'endMemberOf', 'Málaga CF', '2026-06-30']]
