[['V.J. Holmes', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-01-01']]
[['Jamar Martin', 'award', 'Master of Fine Arts', '2026-02-27']]
[['Wei Zhang', 'startAcademicDegree', 'Master of Music', '2026-02-27']]
[['Chris Dubose', 'award', 'Doctor of Musical Arts', '2026-02-27']]
[['Mohammadreza Arjmandi', 'startAcademicDegree', 'Master of Fine Arts', '2026-02-27']]
[['Rodney Miller', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-02-27']]
[['William Patrick Burr', 'startAcademicDegree', 'Master of Music', '2026-02-27']]
[['Hana Polášek-Sedláčková', 'startAcademicDegree', 'Master of Music', '2026-02-27']]
[['David Dekker', 'endWorksFor', 'Community Université Grenoble Alpes', '2026-02-28']]
[['Financial Intelligence Unit', 'award', 'Master\'s degree', '2026-02-28']]
[['C.J. Williamson', 'endWorksFor', 'Kyungpook National University', '2026-02-28']]
[['Ruth Yeoh', 'startMemberOf', 'University of Minho', '2026-02-28']]
[['Kyle Alexander', 'award', 'Master of Fine Arts', '2026-02-28']]
[['Jessica Pidoux', 'startAcademicDegree', 'Master of Music', '2026-02-28']]
[['Bryce Williams', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-02-28']]
[['Bing Huang', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-02-28']]
[['Zendaya', 'endNotableWork', 'Smallfoot (film)', '2026-02-28']]
[['Messiah Thompson', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-02-28']]
[['Brandon Wade', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-02-28']]
[['Laura Ràfols', 'endWorksFor', 'Monash University, Caulfield campus', '2026-02-28']]
[['Rustam Minnikhanov', 'startWorksFor', 'Federal Ministry of Education and Research (Germany)', '2026-02-28']]
[['David Dekker', 'endWorksFor', 'Community Université Grenoble Alpes', '2026-02-28']]
[['Camron Greer', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-02-28']]
[['Richard I Wilson', 'startAcademicDegree', 'Master of Music', '2026-02-28']]
[['Andrew Saxe', 'endWorksFor', 'Harvard University', '2026-03-01']]
[['Luther Muhammad', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-01']]
[['Anthony Henderson', 'startAcademicDegree', 'Master of Music', '2026-03-01']]
[['Zaid Amso', 'startAcademicDegree', 'Master of Fine Arts', '2026-03-01']]
[['École polytechnique universitaire de Lille', 'startLeader', 'Said Gutseriev', '2026-03-01']]
[['Emir Ahmedic', 'startWorksFor', 'Tafila Technical University', '2026-03-01']]
[['Rustam Minnikhanov', 'endWorksFor', 'Federal Ministry of Education and Research (Germany)', '2026-03-01']]
[['Claire E Fishman', 'startWorksFor', 'Federal Ministry of Education and Research (Germany)', '2026-03-01']]
[['Kelland O\'Brien', 'startWorksFor', 'Seattle', '2026-03-01']]
[['Daniela P Pacheco', 'award', 'Master of Fine Arts', '2026-03-01']]
[['Noah Blackwell', 'endWorksFor', 'ETH Zurich', '2026-03-01']]
[['Daniel Udoh', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-01']]
[['Unai Simón', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-01']]
[['Xuân H U1Ea1 Thu Đông R U1Ed3 I L U1Ea1 I Xuân', 'startContentLocation', 'Copenhagen University Hospital', '2026-03-01']]
[['Media City Bergen', 'endLeader', 'Yair Lapid', '2026-03-01']]
[['Jennifer Creaser', 'startAcademicDegree', 'Master of Music', '2026-03-01']]
[['Tyrese Williford', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-02']]
[['Laquan Wiltshire', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-02']]
[['Micah Bradford', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-02']]
[['Isaiah Martin', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-02']]
[['C.J. Seaforth', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-02']]
[['Iain Wilson', 'award', 'Master of Music', '2026-03-02']]
[['Devendra Jhajharia', 'startMemberOf', 'Department of Home Affairs (Australia)', '2026-03-02']]
[['Vanessa Otero', 'endWorksFor', 'NOVA School of Science and Technology', '2026-03-02']]
[['A.J. Patty', 'startWorksFor', 'Seattle', '2026-03-02']]
[['Ken Krolicki', 'startMemberOf', 'National University of Singapore', '2026-03-02']]
[['Derrick V. Gough', 'startAcademicDegree', 'Master of Music', '2026-03-02']]
[['Shen Jilan', 'startAcademicDegree', 'Master of Music', '2026-03-02']]
[['Alexis Gamboa', 'startAcademicDegree', 'Master of Music', '2026-03-02']]
[['Myles Cephas', 'startAcademicDegree', 'Master\'s degree', '2026-03-02']]
[['Samba Kane', 'startAcademicDegree', 'Master of Education', '2026-03-02']]
[['Stetson Moore', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-02']]
[['Jalen Knight', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-03']]
[['James M Wood', 'startAcademicDegree', 'Master of Fine Arts', '2026-03-03']]
[['Akiem Daschner', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-03']]
[['Lina Sarro', 'startWorksFor', 'Federal Ministry of Education and Research (Germany)', '2026-03-03']]
[['Chris Doherty', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-03']]
[['Tate Morse', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-03']]
[['Jordan Little', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-03']]
[['Tyrik Armstrong', 'startMemberOf', 'Collis Real', '2026-03-03']]
[['Tate Morse', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-03']]
[['Casey Oliverson', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-03']]
[['Jenny Xiao', 'startAcademicDegree', 'Master of Fine Arts', '2026-03-03']]
[['Sarah Rogers', 'startAcademicDegree', 'Master of Music', '2026-03-03']]
[['David Levitch', 'endWorksFor', 'University of Tokyo', '2026-03-03']]
[['Devin Wade-Henderson', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-03']]
[['Thomas D. W. Corbett', 'startAcademicDegree', 'Master of Fine Arts', '2026-03-03']]
[['Cam Martin', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-03']]
[['Ron Lubin', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-04']]
[['Jaclyn Fiscus-Cannaday', 'startAcademicDegree', 'Master of Fine Arts', '2026-03-04']]
[['C.J. Williamson', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-04']]
[['Aleksandr Makas', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-04']]
[['Noah Thomas', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-04']]
[['Joana Rigueira', 'startMemberOf', 'Kyungpook National University', '2026-03-04']]
[['Maksim Artemchuk', 'startWorksFor', 'Endemol Shine Group', '2026-03-04']]
[['Samanta Fabris', 'startMemberOf', 'Innogy Česká Republika', '2026-03-04']]
[['Ismael Massoud', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-04']]
[['Antwon Lillard', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-04']]
[['Tre O\'Neal', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-04']]
[['Devin Hutchinson', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-04']]
[['Nathan Josephs', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-04']]
[['Al-Amir Dawes', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-04']]
[['LaDontae Henton', 'endWorksFor', 'National University of Singapore', '2026-03-04']]
[['Yang Li', 'startAcademicDegree', 'Master of Fine Arts', '2026-03-04']]
[['Austin Rogers', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-05']]
[['Nikos Chougkaz', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-05']]
[['Stockholm County', 'startMemberOf', 'Seattle', '2026-03-05']]
[['Devyn Wilson', 'startWorksFor', 'Pojišťovna Patricie', '2026-03-05']]
[['God of War (2018 video game)', 'startContentLocation', 'Seattle', '2026-03-05']]
[['Alex Foree', 'startWorksFor', 'Endemol Shine Group', '2026-03-05']]
[['Payton Pervier', 'startWorksFor', 'Generali Česká Pojišťovna', '2026-03-05']]
[['Kyle Mcdermed', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-05']]
[['Jaylen Davis', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-05']]
[['Wall Street Week', 'startContentLocation', 'Baylor College of Medicine', '2026-03-05']]
[['Maxim Akimov', 'startAcademicDegree', 'Doctor Of Economics', '2026-03-05']]
[['Katherine Fennelly', 'startWorksFor', 'HESAM University Group', '2026-03-05']]
[['Brocke Stepteau', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-05']]
[['Stuart Mckie', 'startAcademicDegree', 'Master of Fine Arts', '2026-03-05']]
[['Carlos Johnson', 'endWorksFor', 'National University of Singapore', '2026-03-05']]
[['Anna L Gosling', 'startAcademicDegree', 'Master of Music', '2026-03-05']]
[['Émilie Simon', 'startAcademicDegree', 'Master of Music', '2026-03-06']]
[['Nærøysund', 'endLeader', 'Chairul Tanjung', '2026-03-06']]
[['BBM (software)', 'startContentLocation', 'Endemol Shine Group', '2026-03-06']]
[['Tyler Streeter', 'startMemberOf', 'Endemol Shine Group', '2026-03-06']]
[['Collin Cooper', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-06']]
[['Md Sainur Samad', 'startAcademicDegree', 'Master of Education', '2026-03-06']]
[['Malik Clements', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-06']]
[['Huaneng Power International', 'startMemberOf', 'Energochemica', '2026-03-06']]
[['Orellana Province', 'endLeader', 'Dominic Perrottet', '2026-03-06']]
[['Johnson Charles', 'startAcademicDegree', 'Master\'s degree', '2026-03-06']]
[['Matt Garry', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-06']]
[['Roman Plekhov', 'startMemberOf', 'Pojišťovna Patricie', '2026-03-06']]
[['Rita M Franco-Santos', 'endWorksFor', 'Alfred Wegener Institute for Polar and Marine Research', '2026-03-06']]
[['Katherine Fennelly', 'endWorksFor', 'HESAM University Group', '2026-03-06']]
[['Armani Harris', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-06']]
[['Danilo Correddu', 'startAcademicDegree', 'Master of Education', '2026-03-06']]
[['Joshua Nurse', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-07']]
[['Peter M Chapple', 'endWorksFor', 'Pojišťovna Patricie', '2026-03-07']]
[['Mohamed Sherif', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-07']]
[['Cites', 'startContentLocation', 'Brigham and Women\'s Hospital', '2026-03-07']]
[['Spero Manson', 'startWorksFor', 'Ppf', '2026-03-07']]
[['Roman Kreuziger', 'startWorksFor', 'Endemol Shine Group', '2026-03-07']]
[['Aaron Stevens', 'startAcademicDegree', 'Master of Fine Arts', '2026-03-07']]
[['Hyejeong Seong', 'endWorksFor', 'KAIST', '2026-03-07']]
[['Pierre Verschueren', 'startAcademicDegree', 'Doctor of Philosophy', '2026-03-07']]
[['Rosie Brownlow-Calkin', 'endWorksFor', 'Stephen F. Austin State University', '2026-03-07']]
[['Yizhe Zhan', 'endWorksFor', 'National University of Singapore', '2026-03-07']]
[['Jean-Paul Boëtius', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-07']]
[['Miguel Julião', 'startAcademicDegree', 'Master of Music', '2026-03-07']]
[['L.J. Owens', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-07']]
[['Ciudad Real', 'startLeader', 'Lena Luthor', '2026-03-07']]
[['Maksim Artemchuk', 'endWorksFor', 'Endemol Shine Group', '2026-03-07']]
[['Spero Manson', 'endWorksFor', 'Ppf', '2026-03-08']]
[['Jaden Stanley-Williams', 'startMemberOf', 'Endemol Shine Group', '2026-03-08']]
[['Bryson Lockley', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-08']]
[['Ciudad Real', 'endLeader', 'Lena Luthor', '2026-03-08']]
[['Andrew Barrett', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-08']]
[['Spero Manson', 'endWorksFor', 'Ppf', '2026-03-08']]
[['Solomon Iluyomade', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-08']]
[['Andreas Englund', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-08']]
[['Trey Reeves', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-08']]
[['James Gordon Iv', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-08']]
[['Claire E Fishman', 'endWorksFor', 'Federal Ministry of Education and Research (Germany)', '2026-03-08']]
[['Stuart Mckie', 'startAcademicDegree', 'Master of Music', '2026-03-08']]
[['Devyn Wilson', 'endWorksFor', 'Pojišťovna Patricie', '2026-03-08']]
[['Darryl Polk Jr', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-08']]
[['Omaru Maruatona', 'endWorksFor', 'La Trobe University', '2026-03-08']]
[['Joshua D Wright', 'startAcademicDegree', 'Master of Music', '2026-03-08']]
[['Tommy Layne', 'award', 'Master of Music', '2026-03-09']]
[['Li Peng', 'award', 'Master of Fine Arts', '2026-03-09']]
[['Nick Ayers', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-09']]
[['Mychal Mulder', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-09']]
[['Com Si Fos Ahir', 'startContentLocation', 'Endemol Shine Group', '2026-03-09']]
[['Scoochie Smith', 'endPlaysIn', 'National Hockey League', '2026-03-09']]
[['Rickey McGill', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-09']]
[['Talek Williams', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-09']]
[['Jordan Arroyo', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-09']]
[['Kobe Paras', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-09']]
[['Blazej Misiak', 'startAcademicDegree', 'Doctor of Philosophy', '2026-03-09']]
[['Trace Young', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-09']]
[['Lina Sarro', 'endWorksFor', 'Federal Ministry of Education and Research (Germany)', '2026-03-09']]
[['Keith Hayes Ii', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-09']]
[['Derrick Flowers', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-09']]
[['Brandon Mcghee', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-09']]
[['Helen Baxter', 'endWorksFor', 'University of Hull', '2026-03-10']]
[['Ana B Marín-Arroyo', 'endWorksFor', 'University of Cambridge', '2026-03-10']]
[['Payton Pervier', 'endWorksFor', 'Generali Česká Pojišťovna', '2026-03-10']]
[['Telstra', 'endLeader', 'Radovan Vítek', '2026-03-10']]
[['Viktor Axelsen', 'award', 'Master of Fine Arts', '2026-03-10']]
[['Dj Mitchell', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-10']]
[['Caleb Wood', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-10']]
[['Sean Jenkins', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-10']]
[['Agricultural Bank of China', 'endLeader', 'Jensen Huang', '2026-03-10']]
[['Pintu Patra', 'startMemberOf', 'Tafila Technical University', '2026-03-10']]
[['John Buggs Iii', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-10']]
[['Tolu Smith', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-10']]
[['Phillip D Rivera', 'endWorksFor', 'Massachusetts General Hospital', '2026-03-10']]
[['Jordan Johnson', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-10']]
[['Kelland O\'Brien', 'endWorksFor', 'Seattle', '2026-03-10']]
[['Jared Ertel', 'endWorksFor', 'Kyungpook National University', '2026-03-10']]
[['Dane Norman', 'award', 'Doctor of Philosophy', '2026-03-11']]
[['Alexandre Delettre', 'endWorksFor', 'Pojišťovna Patricie', '2026-03-11']]
[['Monistrol de Calders', 'endLeader', 'Ramon Vancells I Casacuberta', '2026-03-11']]
[['C.J. Hyder', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-11']]
[['Castor (rocket stage)', 'startContentLocation', 'Vall d\'Hebron University Hospital', '2026-03-11']]
[['Sabah', 'endLeader', 'Marc Asbeck', '2026-03-11']]
[['Ian Carter', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-11']]
[['Clifton Powell', 'startWorksFor', 'University of Bristol', '2026-03-11']]
[['Christian Barrett', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-11']]
[['Kris Davis', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-11']]
[['Carol L Bedoya', 'startAcademicDegree', 'Master of Fine Arts', '2026-03-11']]
[['Dallas Polk-Hilliard', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-11']]
[['Erjin Zheng', 'endAcademicDegree', 'Master of Science', '2026-03-11']]
[['Jonathan Davis', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-11']]
[['Castor (rocket stage)', 'startContentLocation', 'Lady Davis Carmel Medical Center', '2026-03-11']]
[['Alice Toso', 'startAcademicDegree', 'Master of Music', '2026-03-11']]
[['Emilie Fleten', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-12']]
[['Isaiah Burnett', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-12']]
[['Erlend Jacobsen', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-12']]
[['Jelani Mofford', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-12']]
[['Ike Obiagu', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-12']]
[['Ashton Smith', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-12']]
[['Foot Locker', 'endLeader', 'Radovan Vítek', '2026-03-12']]
[['Paweł Drozd', 'startNotableWork', 'Świat Z Lotu Drozda', '2026-03-12']]
[['Marquis Salmon', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-12']]
[['Jannson Williams', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-12']]
[['Brendan Daniel Sheridan', 'startAcademicDegree', 'Master of Music', '2026-03-12']]
[['Jaren English', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-12']]
[['Jean-Paul Boëtius', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-12']]
[['Abdullah Ekinci', 'endWorksFor', 'European University of Lefke', '2026-03-12']]
[['Alex Foree', 'endWorksFor', 'Endemol Shine Group', '2026-03-12']]
[['Mira L.T. Sytsma', 'startAcademicDegree', 'Master of Music', '2026-03-12']]
[['Hiroshi Yoshikawa', 'startAcademicDegree', 'Master of Music', '2026-03-13']]
[['Thomas D. W. Corbett', 'startAcademicDegree', 'Master of Music', '2026-03-13']]
[['Cantavio Dutreil', 'award', 'Master of Fine Arts', '2026-03-13']]
[['Garrett Shaw', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-13']]
[['Terrence Lewis', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-13']]
[['Erin Gee', 'startAcademicDegree', 'Master of Music', '2026-03-13']]
[['Jennifer L Knopp Nee Dickson', 'startAcademicDegree', 'Master of Music', '2026-03-13']]
[['Emir Ahmedic', 'endWorksFor', 'Tafila Technical University', '2026-03-13']]
[['Akol Arop', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-13']]
[['Matt Palumbo', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-13']]
[['Igor Kovalenko', 'endNationality', 'Ukraine', '2026-03-13']]
[['Stanislaw Mazur', 'startAcademicDegree', 'Doctor of Philosophy', '2026-03-13']]
[['Jordan Mains', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-13']]
[['Tyrell Henderson', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-13']]
[['Ohio Pride', 'startContentLocation', 'Disney Television Studios', '2026-03-13']]
[['A.J. Patty', 'endWorksFor', 'Seattle', '2026-03-13']]
[['Denis Voronenkov', 'startCandidateIn', 'Ncaa Division I Men\'S Basketball', '2026-03-14']]
[['Sheldon Eberhardt', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-14']]
[['Ferdous Hossain', 'startAcademicDegree', 'Master of Music', '2026-03-14']]
[['Ashley Williams (footballer)', 'startWorksFor', 'University of Lille Nord de France', '2026-03-14']]
[['Erlend Jacobsen', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-14']]
[['VK (company)', 'startLeader', 'Radovan Vítek', '2026-03-14']]
[['Mehki Mccray', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-14']]
[['Roman Buess', 'award', 'Master of Fine Arts', '2026-03-14']]
[['Matthew D Hammond', 'endAcademicDegree', 'Doctor of Philosophy', '2026-03-14']]
[['Chloé Pelle', 'startAcademicDegree', 'Master of Fine Arts', '2026-03-14']]
[['Damari Parris', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-14']]
[['Jordon King', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-14']]
[['Mo Lewis', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-14']]
[['James Swan', 'startAcademicDegree', 'Master of Science', '2026-03-14']]
[['Beñat Intxausti', 'startAcademicDegree', 'Master of Fine Arts', '2026-03-14']]
[['Christopher Joyce', 'startAcademicDegree', 'Master of Fine Arts', '2026-03-14']]
[['W13', 'startLeader', 'Lena Luthor', '2026-03-15']]
[['Xiaoxi Dong', 'startMemberOf', 'University of Lille Nord de France', '2026-03-15']]
[['Joe Bryant Jr', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-15']]
[['Jajuan Starks', 'startMemberOf', 'Endemol Shine Group', '2026-03-15']]
[['Alex Farrell', 'award', 'Master of Music', '2026-03-15']]
[['Pierre Verschueren', 'startMemberOf', 'Federal Ministry of Education and Research (Germany)', '2026-03-15']]
[['Daniel Udoh', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-15']]
[['Max Hazzard', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-15']]
[['Josep Franch (basketball)', 'startWorksFor', 'University of Illinois System', '2026-03-15']]
[['Whitney Whitford', 'startAcademicDegree', 'Master of Fine Arts', '2026-03-15']]
[['Angela Barnes', 'startNotableWork', 'Newsjack', '2026-03-15']]
[['Gemaal Davis', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-15']]
[['Élisabeth Borne', 'startWorksFor', 'Department of Home Affairs (Australia)', '2026-03-15']]
[['Michael J. Noonan', 'endWorksFor', 'Smithsonian Conservation Biology Institute', '2026-03-15']]
[['Stefan Ristovski', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-15']]
[['VK (company)', 'endLeader', 'Radovan Vítek', '2026-03-15']]
[['Cedric Council Jr.', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-16']]
[['Sauherad', 'startLeader', 'Yair Lapid', '2026-03-16']]
[['Anna Mclaskey', 'startAcademicDegree', 'Master of Music', '2026-03-16']]
[['Kevarrius Hayes', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-16']]
[['Kengo Fujii', 'award', 'Master of Fine Arts', '2026-03-16']]
[['Gaochuang Cai', 'endWorksFor', 'Queen\'s University Belfast', '2026-03-16']]
[['Celâl Şengör', 'startWorksFor', 'National Research Centre on Equines', '2026-03-16']]
[['Mathilde Lepoitevin', 'award', 'Master of Music', '2026-03-16']]
[['Sophie Nicole', 'startAcademicDegree', 'Scientific Professorship Degree', '2026-03-16']]
[['Josep Franch (basketball)', 'endWorksFor', 'University of Illinois System', '2026-03-16']]
[['Matheus Silveira', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-16']]
[['Jean Taylor', 'startAcademicDegree', 'Doctor of Philosophy', '2026-03-16']]
[['Bonnie L. Mcclure', 'startAcademicDegree', 'Master of Music', '2026-03-16']]
[['Petra Dičak', 'startAcademicDegree', 'Master of Science', '2026-03-16']]
[['Nadia Lutfi', 'award', 'Bachelor\'s degree', '2026-03-16']]
[['T C Li', 'endWorksFor', 'Dartmouth College', '2026-03-16']]
[['Antonio García-De-Alcaraz', 'endWorksFor', 'Universidad Isabel I', '2026-03-17']]
[['Celâl Şengör', 'endWorksFor', 'National Research Centre on Equines', '2026-03-17']]
[['Rio Grande do Sul', 'startLeader', 'Robert S. Langer', '2026-03-17']]
[['Wei Zhang', 'endAcademicDegree', 'Master of Music', '2026-03-17']]
[['Nikola Colovic', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-17']]
[['Raymon Pratt', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-17']]
[['Splatoon (video game)', 'startContentLocation', 'National Cancer Center', '2026-03-17']]
[['Flying Dog Brewery', 'endLeader', 'Daniel Ek', '2026-03-17']]
[['Jalan Mccloud', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-17']]
[['Devendra Jhajharia', 'startMemberOf', 'Chungbuk National University', '2026-03-17']]
[['Stanislav Atrashkevich', 'startWorksFor', 'McMaster University', '2026-03-17']]
[['Jamar Martin', 'award', 'Doctor of Philosophy', '2026-03-17']]
[['Clayton Jones', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-17']]
[['Sofi Jonsson', 'endWorksFor', 'Connecticut State University System', '2026-03-17']]
[['Amelia Wirts', 'startAcademicDegree', 'Master of Business Administration', '2026-03-17']]
[['Sheldon Eberhardt', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-17']]
[['Tyler Wagner', 'endAcademicDegree', 'Master of Fine Arts', '2026-03-18']]
[['Matthew D Hammond', 'startMemberOf', 'McMaster University', '2026-03-18']]
[['Roman Kreuziger', 'endWorksFor', 'Endemol Shine Group', '2026-03-18']]
[['Roman Kreuziger', 'endWorksFor', 'Endemol Shine Group', '2026-03-18']]
[['Binjian Ma', 'startAcademicDegree', 'Master of Business Administration', '2026-03-18']]
[['Welay Berhe', 'startPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-18']]
[['Willinton Y. Hernández', 'endWorksFor', 'Solvay (China)', '2026-03-18']]
[['Nordea', 'startLeader', 'Jensen Huang', '2026-03-18']]
[['Chris A. Hamilton', 'endWorksFor', 'University of Florida', '2026-03-18']]
[['Bridget Burmester', 'startAcademicDegree', 'Master of Business Administration', '2026-03-18']]
[['Sochanny Hak', 'startAcademicDegree', 'Master of Music', '2026-03-18']]
[['Chris Snyder', 'startPlaysIn', 'National Hockey League', '2026-03-18']]
[['Chao Xu', 'endWorksFor', 'Stockholm University', '2026-03-18']]
[['Jamani Spencer', 'endPlaysIn', 'Ncaa Division I Men\'S Basketball', '2026-03-18']]
