[['Miķelis Fišers', 'endSpouse', 'Inga Tropa', '2022-01-01'], ['Tuulikki Närhinsalo', 'endSpouse', 'Timo Närhinsalo', '2022-09-18'], ['Zdeněk Kučera', 'endSpouse', 'Zuzana Burianová', '2022-10-25'], ['Irena Greifová', 'endSpouse', 'Josef Laufer', '2022-12-22']]
[['Oleg Nikiforenko', 'endMemberOf', 'Belarus national under-21 football team', '2022-01-01'], ['Vanesa Gimbert', 'endMemberOf', 'Athletic Club ( women)', '2022-01-01'], ['Asier Pérez Moreno', 'startMemberOf', 'UD Mutilvera', '2022-01-01'], ['Jeff Hendrick', 'startMemberOf', 'Queens Park Rangers F. C.', '2022-01-01']]
[['Niks Sliede', 'endMemberOf', 'FK RFS', '2022-01-01'], ['Dmitry Pletnyov ( footballer)', 'startMemberOf', 'FC Atyrau', '2022-01-01'], ['Raheem Sterling', 'startMemberOf', 'Chelsea F. C.', '2022-01-01'], ['Asier Arana Sánchez', 'endMemberOf', 'Gernika Club', '2022-01-01']]
[['Jon Ander Gonzalez Dopico', 'startMemberOf', 'CE Sabadell FC', '2022-01-01'], ['Kailen Sheridan', 'startAward', 'National Women U0027 S Soccer League Goalkeeper Of The Year generic instance', '2022-01-01'], ['Imanol García de Albéniz', 'startMemberOf', 'SD Eibar', '2022-01-01'], ['Oleksandr Noyok', 'startMemberOf', 'Apollon Limassol FC', '2022-01-01']]
[['Gonzi', 'endMemberOf', 'Gimnàstic de Tarragona', '2022-01-01'], ['Yegor Bogomolsky', 'endMemberOf', 'Belarus national under-21 football team', '2022-01-01'], ['Seyed Hossein Mousavi', 'startMemberOf', 'Chips Kamel F U002E C U002E ', '2022-01-01'], ['Ian Uranga', 'endMemberOf', 'Arenas Club de Getxo', '2022-01-01']]
[['Hugo Rincón', 'endMemberOf', 'CD Basconia', '2022-01-01'], ['Marco Sangalli', 'endMemberOf', 'Real Oviedo', '2022-01-01'], ['Joseph Adah', 'startMemberOf', 'NK Celje', '2022-01-01'], ['Jeffrey Quarshie', 'endMemberOf', 'Football Bourg-en-Bresse Péronnas 01', '2022-01-01']]
[['Fábio Carvalho ( footballer, born 2002)', 'endMemberOf', 'Fulham F. C.', '2022-01-01'], ['Paweł Wojciechowski ( footballer, born 1990)', 'endMemberOf', 'GKS Górnik Łęczna', '2022-01-01'], ['Luke Jones', 'endMemberOf', 'York City F. C.', '2022-01-01'], ['Ander Astralaga', 'endMemberOf', 'Spain national under-18 football team generic instance', '2022-01-01']]
[['Amirhossein Mahmoodi', 'endMemberOf', 'Payam Khorasan F. C.', '2022-01-01'], ['Mikel Kortazar', 'endMemberOf', 'Athletic Bilbao B', '2022-01-01'], ['Abdulfatohi Khudoidodzoda', 'endMemberOf', 'Dynamo Dushanbe', '2022-01-01'], ['Chelsea Surpris', 'endMemberOf', 'FF Yzeure Allier Auvergne', '2022-01-01']]
[['Julen Agirre', 'endMemberOf', 'CD Vitoria', '2022-01-01'], ['Aram Kocharyan', 'startMemberOf', 'Noravank SC', '2022-01-01'], ['Malik Pinto', 'endMemberOf', 'Princeton Tigers men\' s soccer', '2022-01-01'], ['Ibai Sanz', 'endMemberOf', 'CD Basconia', '2022-01-01']]
[['Adel Belaroussi', 'startMemberOf', 'Ain Sud', '2022-01-01'], ['Agustina Sánchez', 'endMemberOf', 'Club Nacional de Football ( women)', '2022-01-01'], ['Daniil Miroshnikov', 'endMemberOf', 'Belarus national under-21 football team', '2022-01-01'], ['Yulia Slesarchik', 'endMemberOf', 'ZFK Zenit Saint Petersburg', '2022-01-01']]
[['Bojan Jamina', 'endNationality', 'Bosnia and Herzegovina', '2022-01-01'], ['Natalia Lastochkina', 'endMemberOf', 'Bobruichanka Bobruisk', '2022-01-01'], ['Lewis Cunningham', 'endMemberOf', 'York City F. C.', '2022-01-01'], ['Mitch Hancox', 'endMemberOf', 'York City F. C.', '2022-01-01']]
[['Markel Lozano', 'endMemberOf', 'SD Amorebieta', '2022-01-01'], ['Théo Braillon', 'endMemberOf', 'Football Bourg-en-Bresse Péronnas 01', '2022-01-01'], ['Oier Sanjurjo', 'endMemberOf', 'CA Osasuna', '2022-01-01'], ['Kalidou Koulibaly', 'startMemberOf', 'Chelsea F. C.', '2022-01-01']]
[['Hong Hyun-seok', 'endMemberOf', 'LASK', '2022-01-01'], ['Aleksandr Guz', 'startMemberOf', 'Belarus national under-19 football team', '2022-01-01'], ['Dele Alli', 'startMemberOf', 'Everton F. C.', '2022-01-01'], ['Eden Kartsev', 'startMemberOf', 'FC Dynamo Moscow', '2022-01-01']]
[['Yao Assamoi Kouassi', 'startMemberOf', 'FC Slutsk', '2022-01-01'], ['Yevgeny Beryozkin', 'startMemberOf', 'FC Torpedo-BelAZ Zhodino', '2022-01-01'], ['Leandro Morante', 'endMemberOf', 'LB Châteauroux', '2022-01-01'], ['Joseba Muguruza', 'endMemberOf', 'CE Sabadell FC', '2022-01-01']]
[['Sergi Domínguez', 'endMemberOf', 'Spain national under-17 football team generic instance', '2022-01-01'], ['Álex Sancris', 'endMemberOf', 'CD Leganés B', '2022-01-01'], ['Rune Paeshuyse', 'endMemberOf', 'K. V. Mechelen', '2022-01-01'], ['Roberto Canella', 'startMemberOf', 'CD Calahorra', '2022-01-01']]
[['Yaser Hamed', 'startMemberOf', 'Al Masry SC', '2022-01-01'], ['Raúl Fernández ( footballer, born 1988)', 'endMemberOf', 'UD Las Palmas', '2022-01-01'], ['Bruno Sebastián Caballero', 'endMemberOf', 'Racing Murcia FC', '2022-01-01'], ['Lee Tuck', 'endMemberOf', 'Sri Pahang F U002E C U002E ', '2022-01-01']]
[['Đorđe Ivanović', 'startMemberOf', 'NK Maribor', '2022-01-01'], ['Gaizka Campos', 'endMemberOf', 'Celta de Vigo B', '2022-01-01'], ['Antonio Salado', 'endMemberOf', 'SD Compostela', '2022-01-01'], ['Artem Makavchik', 'endMemberOf', 'Belarus national under-21 football team', '2022-01-01']]
[['Mossa ( footballer)', 'endMemberOf', 'Real Oviedo', '2022-01-01'], ['Milenko Kovačević', 'endNationality', 'Serbia', '2022-01-01'], ['Olivia Oprea', 'endMemberOf', 'Villarreal CF ( women)', '2022-01-01'], ['Wilfried Kanga', 'endMemberOf', 'BSC Young Boys', '2022-01-01']]
[['Prince Kwabena Adu', 'endMemberOf', 'Bechem United F. C.', '2022-01-01'], ['Darwin Núñez', 'startMemberOf', 'Liverpool F. C.', '2022-01-01'], ['Mikel Saizar', 'endMemberOf', 'SD Amorebieta', '2022-01-01'], ['Matthew Smith ( footballer, born 1999)', 'endMemberOf', 'Hull City A. F. C.', '2022-01-01']]
[['Urtzi Iriondo', 'startMemberOf', 'Xerez Deportivo Fútbol Club', '2022-01-01'], ['André Onana', 'endMemberOf', 'AFC Ajax', '2022-01-01'], ['Ben Davies ( footballer, born 1995)', 'endMemberOf', 'Sheffield United F. C.', '2022-01-01'], ['Cédric Bakambu', 'endMemberOf', 'Beijing Guoan F. C.', '2022-01-01']]
[['Iñaki Elejalde', 'endMemberOf', 'UD Las Palmas Atlético', '2022-01-01'], ['Manuel Corrales', 'endMemberOf', 'Cusco FC', '2022-01-01'], ['Scott Burgess ( footballer)', 'startMemberOf', 'Kidderminster Harriers F. C.', '2022-01-01'], ['Javier Eduardo López', 'endMemberOf', 'C. D. Guadalajara', '2022-01-01']]
[['Vlad Mitrea', 'startMemberOf', 'CS Mioveni', '2022-01-01'], ['Álex Vallejo', 'endMemberOf', 'Huddersfield Town A. F. C.', '2022-01-01'], ['Carlos Moros Gracia', 'endMemberOf', 'Mjällby AIF', '2022-01-01'], ['Ali Majrashi', 'endMemberOf', 'Al Shabab FC ( Riyadh)', '2022-01-01']]
[['Cole Turner ( soccer)', 'endMemberOf', 'Philadelphia Union II', '2022-01-01'], ['Ivan Pešić ( footballer, born 1992)', 'endMemberOf', 'FC Vorskla Poltava', '2022-01-01'], ['Ander Bardají', 'startMemberOf', 'Real Unión', '2022-01-01'], ['Hamza Rafia', 'endMemberOf', 'Standard Liège', '2022-01-01']]
[['Andries Noppert', 'endMemberOf', 'Go Ahead Eagles', '2022-01-01'], ['Vicu Bulmaga', 'endMemberOf', 'FK Teplice', '2022-01-01'], ['Fyodor Smolov', 'endMemberOf', 'FC Lokomotiv Moscow', '2022-01-01'], ['Alex Carbonell Martikorena', 'endMemberOf', 'Real Sociedad C', '2022-01-01']]
[['Pellegrino Matarazzo', 'endWorksFor', 'VfB Stuttgart', '2022-01-01'], ['Boris Klaiman', 'endMemberOf', 'Israel national football team generic instance', '2022-01-01'], ['Zouhair Feddal', 'endMemberOf', 'Sporting CP', '2022-01-01'], ['Iñaki Recio', 'endMemberOf', 'Real Sociedad B', '2022-01-01']]
[['Abdul Mumin', 'endMemberOf', 'Vitória S. C.', '2022-01-01'], ['Roberto López ( footballer, born 2000)', 'endMemberOf', 'Real Sociedad B', '2022-01-01'], ['Jon Karrikaburu', 'endMemberOf', 'Real Sociedad B', '2022-01-01'], ['María Molina Molero', 'endMemberOf', 'FC Barcelona Femení', '2022-01-01']]
[['Luke Jones', 'endMemberOf', 'Pickering Town F. C.', '2022-01-01'], ['Mark Krasnov', 'endMemberOf', 'FC Dynamo Saint Petersburg', '2022-01-01'], ['Yousri Bouzok', 'endMemberOf', 'Paradou AC', '2022-01-01'], ['Marko Lazetić', 'endMemberOf', 'Red Star Belgrade', '2022-01-01']]
[['Alejandro Rego', 'endMemberOf', 'CD Basconia', '2022-01-01'], ['Tarek Hamed', 'endMemberOf', 'Zamalek SC', '2022-01-01'], ['Aleksandr Poznyak', 'startMemberOf', 'FC Minsk', '2022-01-01'], ['Maksim Samatoj', 'startMemberOf', 'FC Dinamo Minsk', '2022-01-01']]
[['José Hurtado ( footballer)', 'endMemberOf', 'C. S. D. Independiente del Valle', '2022-01-01'], ['Hamza Hannouri', 'endMemberOf', 'Moghreb Tétouan', '2022-01-01'], ['Isco', 'endMemberOf', 'Real Madrid CF', '2022-01-01'], ['Ilaix Moriba', 'startMemberOf', 'Valencia CF', '2022-01-01']]
[['Asier Etxaburu', 'endMemberOf', 'SD Amorebieta', '2022-01-01'], ['Iker Undabarrena', 'endMemberOf', 'C. D. Tondela', '2022-01-01'], ['Philomon Baffour', 'endMemberOf', 'Dreams F. C. ( Ghana)', '2022-01-01'], ['Joachim Streich', 'endNationality', 'Germany', '2022-01-01']]
[['Anastasiya Pobegaylo', 'endMemberOf', 'FC Minsk ( women)', '2022-01-01'], ['Bogdan Racovițan', 'endSportNumber', '"25"', '2022-01-01'], ['Remy Longdon', 'endMemberOf', 'Lincoln City F. C.', '2022-01-01'], ['Hervin Ongenda', 'endSportNumber', '"10"', '2022-01-01']]
[['Jürgen Heinsch', 'endNationality', 'Germany', '2022-01-01'], ['Raman Stsyapanaw', 'startMemberOf', 'FC Shakhtyor Soligorsk', '2022-01-01'], ['Robert Moldoveanu', 'startMemberOf', 'FC Viitorul Constanța', '2022-01-01'], ['Nina Ehegötz', 'endMemberOf', '1. FFC Turbine Potsdam', '2022-01-01']]
[['Jon Xabier Vidal', 'endMemberOf', 'CD El Ejido', '2022-01-01'], ['Denis Mitrofanov', 'startMemberOf', 'FC Atyrau', '2022-01-01'], ['Adel Taarabt', 'endMemberOf', 'S. L. Benfica', '2022-01-01'], ['Andrew Tarbell', 'endMemberOf', 'Austin FC', '2022-01-01']]
[['Lukuman Aliu', 'endMemberOf', 'Ifeanyi Ubah F. C.', '2022-01-01'], ['Mark-Anthony Kaye', 'endMemberOf', 'Colorado Rapids', '2022-01-01'], ['Anatz Elizondo', 'endMemberOf', 'Real Unión', '2022-01-01'], ['Remy Longdon', 'startMemberOf', 'York City F. C.', '2022-01-01']]
[['Jon Ander Garrido', 'startMemberOf', 'CD Mirandés', '2022-01-01'], ['Denis Laptev', 'startMemberOf', 'FC Torpedo Moscow', '2022-01-01'], ['Pablo Hervías', 'startMemberOf', 'Málaga CF', '2022-01-01'], ['James Igbekeme', 'startMemberOf', 'Columbus Crew', '2022-01-01']]
[['Víctor Ulloa ( Peruvian footballer)', 'startMemberOf', 'Deportivo Llacuabamba', '2022-01-01'], ['Kerman Sukia', 'startMemberOf', 'CD Calahorra', '2022-01-01'], ['Roberto Torres ( footballer, born 1989)', 'endMemberOf', 'CA Osasuna', '2022-01-01'], ['Juan Artola ( footballer, born 2000)', 'endMemberOf', 'Athletic Bilbao B', '2022-01-01']]
[['Diego Buonanotte', 'endMemberOf', 'Club Deportivo Universidad Católica', '2022-01-01'], ['Mootez Zaddem', 'endMemberOf', 'Valmiera FC', '2022-01-01'], ['Ilyes Najim', 'endMemberOf', 'Sm Caen B', '2022-01-01'], ['Julen Bernaola', 'endMemberOf', 'Rayo Cantabria', '2022-01-01']]
[['Álvaro Odriozola', 'endMemberOf', 'ACF Fiorentina', '2022-01-01'], ['Raúl Chasco', 'endMemberOf', 'CD Basconia', '2022-01-01'], ['Iñigo Vicente', 'endMemberOf', 'CD Mirandés', '2022-01-01'], ['Jun Amano', 'startMemberOf', 'Ulsan Hyundai FC', '2022-01-01']]
[['Adel Belaroussi', 'endMemberOf', 'FC Limonest Dardilly Saint-Didier', '2022-01-01'], ['Miloš Drinčić', 'endMemberOf', 'FK Sutjeska Nikšić', '2022-01-01'], ['Cristiano ( footballer, born 1990)', 'startMemberOf', 'FC Dinamo București', '2022-01-01'], ['Diego Godín', 'endMemberOf', 'Cagliari Calcio', '2022-01-01']]
[['Mikhail Shibun', 'startMemberOf', 'FC Minsk', '2022-01-01'], ['Moussa Sissako', 'endMemberOf', 'Standard Liège', '2022-01-01'], ['Ilya Skrobotov', 'endMemberOf', 'FC Zenit-2 Saint Petersburg', '2022-01-01'], ['Shinji Kagawa', 'startMemberOf', 'Sint-Truidense V. V.', '2022-01-01']]
[['Sebas Méndez', 'startMemberOf', 'Los Angeles FC', '2022-01-01'], ['Jon Morcillo', 'startMemberOf', 'Real Valladolid', '2022-01-01'], ['Robert Lewandowski', 'startAward', 'Polish Sports Personality of the Year generic instance', '2022-01-01'], ['Walid Cheddira', 'endMemberOf', 'Parma Calcio 1913', '2022-01-01']]
[['Iker Hernández', 'endMemberOf', 'UD Melilla', '2022-01-01'], ['Calum Chambers', 'startMemberOf', 'Aston Villa F. C.', '2022-01-01'], ['Ion Nicolaescu', 'startMemberOf', 'Maccabi Petah Tikva F. C.', '2022-01-01'], ['Chadi Riad', 'endMemberOf', 'CE Sabadell FC', '2022-01-01']]
[['Grigor Muradyan', 'startMemberOf', 'Shirak SC', '2022-01-01'], ['Damjan Dostanić', 'endMemberOf', 'FK TSC Bačka Topola', '2022-01-01'], ['Rubén Azkona', 'endMemberOf', 'CD Subiza', '2022-01-01'], ['Andrew Robinson', 'endMemberOf', 'Imortal D. C.', '2022-01-01']]
[['Marc Guéhi', 'startMemberOf', 'England national football team', '2022-01-01'], ['Alexander Domínguez', 'startMemberOf', 'Deportes Tolima', '2022-01-01'], ['Viktar Sotnikaw', 'endMemberOf', 'Belarus national under-21 football team', '2022-01-01'], ['Naomi Girma', 'startAward', 'National Women U0027 S Soccer League Rookie Of The Year generic instance', '2022-01-01']]
[['Ryan Edmondson', 'endMemberOf', 'Fleetwood Town F. C.', '2022-01-01'], ['Sheila Parker', 'startAward', 'Member Of The Order Of The British Empire generic instance', '2022-01-01'], ['Jean-David Beauguel', 'endMemberOf', 'FC Viktoria Plzeň', '2022-01-01'], ['Junior Bita', 'endMemberOf', 'Athletic Bilbao', '2022-01-01']]
[['Diego Royo', 'endMemberOf', 'CD Tudelano', '2022-01-01'], ['Aritz De Miguel', 'startMemberOf', 'Club Portugalete', '2022-01-01'], ['Nasser Larguet', 'endWorksFor', 'Olympique de Marseille', '2022-01-01'], ['Adam Jahn', 'endMemberOf', 'Orange County SC', '2022-01-01']]
[['Jackson Porozo', 'endMemberOf', 'Boavista F. C.', '2022-01-01'], ['Aleksandr Mikhalenko', 'startMemberOf', 'FC Isloch Minsk Raion', '2022-01-01'], ['Mohammed Al-Owais', 'endMemberOf', 'Al Ahli Saudi FC', '2022-01-01'], ['Vitali Gudiyev', 'endMemberOf', 'FC Akhmat Grozny', '2022-01-01']]
[['Danila Žuĺpa', 'startMemberOf', 'Belarus national under-19 football team', '2022-01-01'], ['Dmitriy Bukshtan', 'endMemberOf', 'FC Dynamo Saint Petersburg', '2022-01-01'], ['Ioan Hora', 'startMemberOf', 'FC Hermannstadt', '2022-01-01'], ['Mohamed Boulacsoute', 'endMemberOf', 'SCC Mohammédia', '2022-01-01']]
[['Borja Sainz', 'endMemberOf', 'Real Zaragoza', '2022-01-01'], ['Miguel Díaz ( Spanish footballer)', 'endMemberOf', 'CD Ebro', '2022-01-01'], ['Aurélien Tchouaméni', 'endMemberOf', 'AS Monaco FC', '2022-01-01'], ['Randy Deweese', 'endMemberOf', 'OFI Crete F. C.', '2022-01-01']]
[['Beñat Leiza', 'endMemberOf', 'Sestao River Club', '2022-01-01'], ['Luan Rodrigues', 'startMemberOf', 'Clube do Remo', '2022-01-01'], ['Aymen Abdennour', 'endMemberOf', 'Umm Salal SC', '2022-01-01'], ['Artsyom Rakhmanaw', 'startMemberOf', 'FC Astana', '2022-01-01']]
[['Aleksey Teslyuk', 'startMemberOf', 'FC Lokomotiv Gomel', '2022-01-01'], ['Denis Zakaria', 'endMemberOf', 'Borussia Mönchengladbach', '2022-01-01'], ['Timur Melekestsev', 'startMemberOf', 'FC Alania Vladikavkaz ( 2019)', '2022-01-01'], ['Cristian Ganea', 'endMemberOf', 'Aris Thessaloniki F. C.', '2022-01-01']]
[['Ander Zoilo', 'startMemberOf', 'CD Calahorra', '2022-01-01'], ['Pablo Torre ( footballer)', 'endMemberOf', 'Racing de Santander', '2022-01-01'], ['Andoni Ugarte', 'endMemberOf', 'CD Calahorra', '2022-01-01'], ['Gleb Zherdev', 'endMemberOf', 'Belarus national under-21 football team', '2022-01-01']]
[['Xavi Estacio', 'endMemberOf', 'UD Alzira', '2022-01-01'], ['Abdulellah Al-Malki', 'endMemberOf', 'Al-Ittihad Club ( Jeddah)', '2022-01-01'], ['Siniša Mihajlović', 'endNationality', 'Serbia', '2022-01-01'], ['Iñigo Sebastián', 'startMemberOf', 'Unionistas de Salamanca CF', '2022-01-01']]
[['Chisom Chidi', 'endMemberOf', 'Ahlafors IF', '2022-01-01'], ['Endika Irigoien', 'startMemberOf', 'UD Melilla', '2022-01-01'], ['Hamad Al-Abdan', 'endMemberOf', 'Al-Hazem F. C.', '2022-01-01'], ['Ilias Akhomach', 'startMemberOf', 'Spain national under-19 football team generic instance', '2022-01-01']]
[['Abdulla Yusuf Helal', 'endMemberOf', 'SK Slavia Prague', '2022-01-01'], ['Kepa Vieites', 'endMemberOf', 'Zamora CF', '2022-01-01'], ['Álvaro Núñez', 'endMemberOf', 'Athletic Bilbao B', '2022-01-01'], ['Ramin Rezaeian', 'endMemberOf', 'Al-Sailiya SC', '2022-01-01']]
[['Aleksandr Sakovich', 'startMemberOf', 'FC Vitebsk', '2022-01-01'], ['Jonás Ramalho', 'endMemberOf', 'CA Osasuna', '2022-01-01'], ['Kako Sanz', 'startMemberOf', 'Linares Deportivo', '2022-01-01'], ['Mario Barco', 'endMemberOf', 'CD Castellón', '2022-01-01']]
[['Yannick Gbessi', 'endMemberOf', 'Jura Dolois Football', '2022-01-01'], ['Arsienij Ačapoŭski', 'startMemberOf', 'FC Shakhtyor Petrikov', '2022-01-01'], ['Vladislav Vasilyuchek', 'startMemberOf', 'FC Neman Grodno', '2022-01-01'], ['Nader Jindaoui', 'endMemberOf', 'Berliner AK 07', '2022-01-01']]
[['Euloge Placca Fessou', 'endMemberOf', 'Al-Tadamon SC ( Kuwait)', '2022-01-01'], ['Dele Alli', 'endMemberOf', 'Tottenham Hotspur F. C.', '2022-01-01'], ['Jon Zeberio', 'endMemberOf', 'CF Talavera de la Reina', '2022-01-01'], ['Erik Vardanyan', 'endMemberOf', 'PFC Sochi', '2022-01-01']]
[['Scott Burgess ( footballer)', 'startMemberOf', 'Grimsby Town F. C.', '2022-01-01'], ['Steven Vitória', 'endMemberOf', 'Moreirense F. C.', '2022-01-01'], ['Akil Wright', 'endMemberOf', 'York City F. C.', '2022-01-01'], ['Mitch Hancox', 'endMemberOf', 'Hereford F. C.', '2022-01-01']]
[['Richarlison', 'startMemberOf', 'Tottenham Hotspur F. C.', '2022-01-01'], ['Martín Cáceres', 'startMemberOf', 'Levante UD', '2022-01-01'], ['Mikel Álvaro', 'endMemberOf', 'SD Amorebieta', '2022-01-01'], ['Jorge Aguirre ( footballer, born 2000)', 'startMemberOf', 'CD Mirandés', '2022-01-01']]
[['Isabella Kresche', 'endMemberOf', 'SKN St. Pölten ( women)', '2022-01-01'], ['Yonatan Cohen', 'endMemberOf', 'Pisa S. C.', '2022-01-01'], ['Georgi Yartsev', 'endNationality', 'Russia', '2022-01-01'], ['Baptiste Etcheverria', 'endMemberOf', 'Stade Lavallois', '2022-01-01']]
[['Guillaume Khous', 'endMemberOf', 'FC Villefranche Beaujolais', '2022-01-01'], ['Nick Pope ( footballer)', 'endMemberOf', 'Burnley F. C.', '2022-01-01'], ['Max Kruse', 'endMemberOf', '1. FC Union Berlin', '2022-01-01'], ['Ilya Belous', 'endMemberOf', 'FC Shinnik Yaroslavl', '2022-01-01']]
[['Andrea Herczeg', 'endMemberOf', 'Haladás-Viktoria Fc', '2022-01-01'], ['Dániel Kemerle', 'endMemberOf', 'Csepel FC', '2022-01-01'], ['Nathan Dekoke', 'endMemberOf', 'US Quevilly-Rouen Métropole', '2022-01-01'], ['Axel Bordón', 'endMemberOf', 'Barracas Central', '2022-01-01']]
[['Kevin Calle', 'endMemberOf', 'Club Portugalete', '2022-01-01'], ['Remco Evenepoel', 'startAward', 'Vélo d\' Or', '2022-01-01'], ['Alan Franco ( footballer, born 1998)', 'startMemberOf', 'Charlotte FC', '2022-01-01'], ['Ross Barkley', 'endMemberOf', 'Chelsea F. C.', '2022-01-01']]
[['Julen Monreal', 'endMemberOf', 'CF Badalona Futur', '2022-01-01'], ['Luis Díaz ( Colombian footballer)', 'startMemberOf', 'Liverpool F. C.', '2022-01-01'], ['Nuria Rábano', 'endMemberOf', 'Real Sociedad Femenino', '2022-01-01'], ['Haritz Albisua', 'endMemberOf', 'SD Logroñés', '2022-01-01']]
[['Gabriel Jesus', 'startMemberOf', 'Arsenal F. C.', '2022-01-01'], ['Timur Melekestsev', 'endMemberOf', '1. FC Slovácko', '2022-01-01'], ['Hong Yun-sang', 'endMemberOf', 'SKN St. Pölten', '2022-01-01'], ['Takuji Yonemoto', 'startMemberOf', 'Shonan Bellmare', '2022-01-01']]
[['Aleksandr Mikhalenko', 'endMemberOf', 'Belarus national under-21 football team', '2022-01-01'], ['Maksim Myakish', 'endMemberOf', 'Belarus national under-21 football team', '2022-01-01'], ['Mateo Pellegrino', 'endMemberOf', 'Club Atlético Vélez Sarsfield', '2022-01-01'], ['Dmitry Prishchepa', 'endMemberOf', 'Belarus national under-21 football team', '2022-01-01']]
[['Álex Vallejo', 'startMemberOf', 'Doxa Katokopias FC', '2022-01-01'], ['Bekim Balaj', 'startMemberOf', 'Boluspor', '2022-01-01'], ['Anastasiya Kunitskaya', 'startMemberOf', 'Kireçburnu Spor', '2022-01-01'], ['Jeslynn Kuijpers', 'endMemberOf', 'PSV ( women)', '2022-01-01']]
[['Aitor Ortega', 'endMemberOf', 'Club Portugalete', '2022-01-01'], ['Karim Benzema', 'startAward', 'Ballon d\' Or generic instance', '2022-01-01'], ['Reon Potts', 'startMemberOf', 'Gainsborough Trinity F. C.', '2022-01-01'], ['Ander Vidorreta', 'endMemberOf', 'Real Avilés CF', '2022-01-01']]
[['Robert Sălceanu', 'startMemberOf', 'FC Buzău', '2022-01-01'], ['Stefan Mueller ( soccer, born 1995)', 'endMemberOf', 'Tormenta FC', '2022-01-01'], ['Sergio Barcina', 'startMemberOf', 'Club Portugalete', '2022-01-01'], ['Jon Rojo Sagarna', 'endMemberOf', 'Zamora CF', '2022-01-01']]
[['Andoni Tascon', 'endMemberOf', 'Athletic Bilbao B', '2022-01-01'], ['Lucas Digne', 'endMemberOf', 'Everton F. C.', '2022-01-01'], ['Gaëtan Blaichet', 'endMemberOf', 'Football Bourg-en-Bresse Péronnas 01', '2022-01-01'], ['Amirhossein Hosseinzadeh', 'endMemberOf', 'Esteghlal F. C.', '2022-01-01']]
[['Beñat Turrientes', 'endMemberOf', 'Real Sociedad B', '2022-01-01'], ['Conor Coady', 'startMemberOf', 'Everton F. C.', '2022-01-01'], ['Hernán Galíndez', 'endMemberOf', 'C. D. Universidad Católica del Ecuador', '2022-01-01'], ['Iker Kortajarena', 'endMemberOf', 'Real Sociedad C', '2022-01-01']]
[['Joseph Adah', 'endMemberOf', 'FC Olimp-Dolgoprudny', '2022-01-01'], ['Eñaut Mendia', 'endMemberOf', 'CD Vitoria', '2022-01-01'], ['Unai Egiluz', 'endMemberOf', 'CD Basconia', '2022-01-01'], ['Maksim Zhumabekov', 'endMemberOf', 'FC Khimki-M', '2022-01-01']]
[['Urko Iruretagoiena', 'endMemberOf', 'CD Vitoria', '2022-01-01'], ['Munir Mohamedi', 'endMemberOf', 'Hatayspor', '2022-01-01'], ['Brandon Agounon', 'endMemberOf', 'Football Bourg-en-Bresse Péronnas 01', '2022-01-01'], ['Mikel Mendibe', 'endMemberOf', 'CD Basconia', '2022-01-01']]
[['Lucas Ocampos', 'startMemberOf', 'AFC Ajax', '2022-01-01'], ['Scott Burgess ( footballer)', 'startMemberOf', 'York City F. C.', '2022-01-01'], ['Casemiro', 'endMemberOf', 'Real Madrid CF', '2022-01-01'], ['Abdelhamid Sabiri', 'startMemberOf', 'U. C. Sampdoria', '2022-01-01']]
[['Jaime Zumalakarregi', 'endMemberOf', 'Sestao River Club', '2022-01-01'], ['Jorge Martínez-Losa', 'endMemberOf', 'Real Sociedad B', '2022-01-01'], ['Marjolijn Van Den Bighelaar', 'endMemberOf', 'AFC Ajax ( women)', '2022-01-01'], ['Maxim Kouogun', 'startMemberOf', 'York City F. C.', '2022-01-01']]
[['Néstor Salinas', 'endMemberOf', 'Sestao River Club', '2022-01-01'], ['Karen Espelund', 'startAward', 'Idrettsgallaens Hederspris', '2022-01-01'], ['Romain Montiel', 'endMemberOf', 'Football Bourg-en-Bresse Péronnas 01', '2022-01-01'], ['Leandro Salino', 'startMemberOf', 'P. A. O. K.', '2022-01-01']]
[['Julen Bernaola', 'startMemberOf', 'Urduliz FT', '2022-01-01'], ['Neven Subotić', 'startAward', 'Medal Of The Order Of Merit Of The Federal Republic Of Germany generic instance', '2022-01-01'], ['Anton Zinkovsky', 'endMemberOf', 'PFC Krylia Sovetov Samara', '2022-01-01'], ['Oscar Wallin', 'endMemberOf', 'Hudiksvalls FF', '2022-01-01']]
[['Adriana Leon', 'endMemberOf', 'West Ham United F. C. Women', '2022-01-01'], ['Beñat De Jesús', 'endMemberOf', 'CD Basconia', '2022-01-01'], ['Kwame Opoku', 'endMemberOf', 'USM Alger', '2022-01-01'], ['Radovan Radaković', 'endNationality', 'Serbia', '2022-01-01']]
[['Vladislav Shitov', 'endMemberOf', 'FC Spartak-2 Moscow', '2022-01-01'], ['Alain Ribeiro', 'endMemberOf', 'CD Tudelano', '2022-01-01'], ['Marcos Alonso ( footballer, born 1990)', 'endMemberOf', 'Chelsea F. C.', '2022-01-01'], ['Song Bum-keun', 'endMemberOf', 'Jeonbuk Hyundai Motors', '2022-01-01']]
[['Lucas Bergvall', 'endMemberOf', 'IF Brommapojkarna', '2022-01-01'], ['Giorgio Chiellini', 'endMemberOf', 'Italy national football team', '2022-01-01'], ['AJ Greaves', 'startMemberOf', 'York City F. C.', '2022-01-01'], ['Roselord Borgella', 'endMemberOf', 'GPSO 92 Issy', '2022-01-01']]
