[['Søren Rud Kristensen', 'endAlumniOf', 'University of Manchester', '2026-09-30']]
[['Calvin Booth', 'endMemberOf', 'Penn State Nittany Lions basketball', '2026-10-25']]
[['Marius Sudol', 'endWorksFor', 'Stowers Institute for Medical Research', '2026-02-01']]
[['Stewart Devine', 'endMemberOf', 'Bo\' ness United F. C.', '2026-07-31']]
[['Elan Lazuardi', 'startAward', 'Satyalancana Karya Satya X Tahun', '2026-08-24']]
[['Donatella Granata', 'endWorksFor', 'Sapienza University of Rome', '2026-05-09']]
[['Kengo Oka', 'endWorksFor', 'Tokyo Institute of Technology', '2026-05-14']]
[['Yasmine Romero', 'endAlumniOf', 'University of Washington', '2026-03-17']]
[['Ian Dunham', 'startMemberOf', 'Tianjin Jinmen Tiger F. C.', '2026-03-01']]
[['Takeaki Ayabe', 'endMemberOf', 'Aisan Racing Team', '2026-03-11']]
[['Huang Tao', 'startWorksFor', 'Chongqing University', '2026-06-04']]
[['Li Li Chan', 'endAlumniOf', 'International Medical University', '2026-06-13']]
[['Kanubhai Kalsariya', 'endMemberOf', 'Aam Aadmi Party', '2026-09-30']]
[['Juliana Morales-Castro', 'startMemberOf', 'Hinckley United F. C.', '2026-01-01']]
[['Piet U0027 T Hart', 'endWorksFor', 'Utrecht University', '2026-03-31']]
[['John Kloak', 'endMemberOf', 'Northern Illinois Huskies men\' s basketball', '2026-10-01']]
[['Arvind Misra', 'endWorksFor', 'University of Allahabad', '2026-12-31']]
[['Alexandros Englezakis', 'endWorksFor', 'MRC Laboratory of Molecular Biology', '2026-12-01']]
[['Amy L Atkinson', 'endAlumniOf', 'University of York', '2026-07-13']]
[['Francesca Bellino', 'endAlumniOf', 'University of Turin', '2026-11-01']]
[['Kyle C Smith', 'endWorksFor', 'Massachusetts Institute of Technology', '2026-11-22']]
[['Delores Knipp', 'endAlumniOf', 'University of California, Los Angeles', '2026-06-10']]
[['Lote Raikabula', 'endMemberOf', 'Rushden & Diamonds F. C.', '2026-10-17']]
[['Ming Ma', 'endAlumniOf', 'Sungkyunkwan University', '2026-03-10']]
[['Arman Zargaran', 'endAlumniOf', 'Shiraz Medical School', '2026-09-09']]
[['Jesper Bundgaard Vinkel', 'endMemberOf', 'Team Js U002E Dk', '2026-06-13']]
[['Matt Williams', 'startAlumniOf', 'Hebrew University of Jerusalem', '2026-07-01']]
[['Peter H Dinolfo', 'startAward', 'Arnold Zellner Thesis Award', '2026-10-29']]
[['Mandus Frykman', 'endWorksFor', 'Uppsala University', '2026-06-01']]
[['Norman Dewis', 'startAlumniOf', 'Zamora CF', '2026-09-01']]
[['Greg Yetman', 'startAward', 'Legion of Honour', '2026-01-26']]
[['Gilles Laurent', 'startWorksFor', 'Conseil National De L U0027 Ordre Des Médecins', '2026-12-05']]
[['Bin Xiao', 'endAlumniOf', 'RWTH Aachen University', '2026-11-01']]
[['Nuno Rodrigues Faria', 'endAlumniOf', 'KU Leuven', '2026-06-06']]
[['Ehsan Qorbani', 'endAlumniOf', 'University of Vienna', '2026-11-23']]
[['Chengyuan Han', 'endWorksFor', 'University of Cologne', '2026-10-01']]
[['Pierluigi De Rosa', 'endAlumniOf', 'University of Perugia', '2026-06-06']]
[['Matheus Silveira', 'endMemberOf', 'West Indies cricket team', '2026-06-09']]
[['Francisco Jose Torcal-Milla', 'endAlumniOf', 'Complutense University of Madrid', '2026-03-31']]
[['Bing Pan', 'endWorksFor', 'College of Charleston', '2026-06-04']]
[['Simone Dertschnig', 'endAlumniOf', 'University of Basel', '2026-11-05']]
[['Ernesto Galán', 'startMemberOf', 'German Research Foundation', '2026-09-24']]
[['Etienne Joly', 'startWorksFor', 'Pierre and Marie Curie University', '2026-09-03']]
[['Mark Edmonds', 'startWorksFor', 'University of Dayton', '2026-12-30']]
[['Nikolay Zavadenko', 'startWorksFor', 'Russian National Research Medical University', '2026-05-01']]
[['Michele Catasta', 'endAlumniOf', 'École Polytechnique Fédérale de Lausanne', '2026-03-31']]
[['Todd Miller', 'endMemberOf', 'Georgia Southern Eagles men\' s basketball', '2026-11-21']]
[['Luc Michel', 'endWorksFor', 'Université catholique de Louvain', '2026-05-01']]
[['Ralph J Abi-Habib', 'endAlumniOf', 'Lebanese University', '2026-10-03']]
[['Adrian Severin', 'endMemberOf', 'SC Toulon', '2026-10-17']]
[['Hongchuan Jin', 'endWorksFor', 'Zhejiang University', '2026-12-01']]
[['Minki Jeong', 'endWorksFor', 'Laboratoire National des Champs Magnétiques Intenses', '2026-11-23']]
[['Keivan Sobhanian', 'endWorksFor', 'Medical University Of Dezful', '2026-08-01']]
[['Jesus Garcia-Cantalejo', 'endAlumniOf', 'Facultad De Ciencias U0028 Universidad Autónoma De Madrid U0029 ', '2026-11-24']]
[['Mehmet Emin Duru', 'endAlumniOf', 'Atatürk University', '2026-11-24']]
[['Vladimir Novikov', 'endWorksFor', 'University of Kent', '2026-06-06']]
[['Sara Gil-Mata', 'endAlumniOf', 'Faculty Of Medicine Of The University Of Porto', '2026-12-29']]
[['Elsa Cortés-Montero', 'endWorksFor', 'Cajal Institute', '2026-01-01']]
[['Danuta Miedzińska', 'endAlumniOf', 'University of Warsaw', '2026-08-30']]
[['Marcin Kuśmierz', 'startWorksFor', 'Maria Curie-Skłodowska University', '2026-08-01']]
[['Yi Isaac Yang', 'endAlumniOf', 'Peking University', '2026-08-01']]
[['Surya K Ghosh', 'startWorksFor', 'University of Calcutta', '2026-01-31']]
[['Amnon Altman', 'endAlumniOf', 'Weizmann Institute of Science', '2026-12-03']]
[['Kelly M Diamond', 'endAlumniOf', 'Clemson University', '2026-06-30']]
[['Piotr Stefanowicz', 'startAcademicDegree', 'Doctor Of The Hungarian Academy Of Sciences generic instance', '2026-05-09']]
[['Derrick Randolph', 'endMemberOf', 'Western Illinois Leathernecks men\' s basketball', '2026-09-25']]
[['Dennis Hamilton', 'endPlaysIn', 'Ncaa Division I Men U0027 S Basketball', '2026-07-18']]
[['Mint Kunkel', 'endAlumniOf', 'University of Minnesota system', '2026-11-12']]
[['Isabelle Augenstein', 'endAlumniOf', 'University of Sheffield', '2026-03-01']]
[['Akhil Ajay', 'endAlumniOf', 'Cea Grenoble', '2026-12-01']]
[['Robert Doran', 'endAlumniOf', 'University College Dublin', '2026-06-20']]
[['László Balázs', 'startAward', 'Academy Award Of The Hungarian Academy Of Sciences', '2026-02-01']]
[['Miles Bascombe', 'endMemberOf', 'Combined Campuses and Colleges cricket team', '2026-07-31']]
[['Joe Piorkowski', 'endMemberOf', 'Penn State Nittany Lions basketball', '2026-01-01']]
[['Noelle Sullivan', 'startWorksFor', 'University of Florida', '2026-08-18']]
[['Catherine Montchamp-Moreau', 'endAlumniOf', 'Sorbonne University Association generic instance', '2026-05-10']]
[['Anne Dijkstra', 'endMemberOf', 'Team Drenthe', '2026-05-01']]
[['İlhan Sancaktar', 'endMemberOf', 'Aydınspor', '2026-11-06']]
[['Christina Boswell', 'endMemberOf', 'Berry College', '2026-09-10']]
[['Alain Bédé', 'endMemberOf', 'Ivory Coast national football team generic instance', '2026-11-28']]
[['Saurabh Kataria', 'endWorksFor', 'Campbellsville University', '2026-09-29']]
[['Nermin Vazda', 'endMemberOf', 'NK Bosna Visoko', '2026-12-13']]
[['Ollie Palmer', 'endMemberOf', 'San Diego State University', '2026-11-27']]
[['Yuri Sekinayev', 'endMemberOf', 'FC Spartak Moscow', '2026-01-31']]
[['Paul Martens', 'endMemberOf', 'Team Jumbo– Visma ( men\' s team)', '2026-03-20']]
[['Megan Overby', 'endWorksFor', 'College of Saint Rose', '2026-12-01']]
[['Tania N Kim', 'endAlumniOf', 'Florida State University', '2026-03-01']]
[['Rosa Calafat Ponsetí', 'endMemberOf', 'Cornell University', '2026-10-24']]
[['Carrie A U002E Mcdonough', 'endAlumniOf', 'University Of Rhode Island Narragansett Bay Campus', '2026-06-06']]
[['Heather M Wilkins', 'endAlumniOf', 'University of Denver', '2026-07-13']]
[['Rick Prewitt', 'endMemberOf', 'Oklahoma State Cowboys basketball', '2026-12-24']]
[['Bonnie Yuen', 'endAlumniOf', 'University College London', '2026-10-17']]
[['Neftalí Díaz', 'endMemberOf', 'Alianza F. C. ( Panama)', '2026-11-19']]
[['Demetrius Nelson', 'endMemberOf', 'The Citadel Bulldogs basketball', '2026-06-20']]
[['Jesse Lai', 'endWorksFor', 'Queen\' s University at Kingston', '2026-01-11']]
[['Markus B Tomek', 'endAlumniOf', 'University of Natural Resources and Life Sciences, Vienna', '2026-01-01']]
[['Marie Cheval', 'startWorksFor', 'École nationale d\' administration', '2026-06-01']]
[['Amir A Toor', 'startWorksFor', 'King Edward Medical University', '2026-11-30']]
[['Front Range Community College', 'endMemberOf', 'FC Universitatea Cluj', '2026-06-30']]
[['Harley Fresh', 'endMemberOf', 'McNeese Cowboys basketball', '2026-03-01']]
[['Jesús Barrasa', 'startWorksFor', 'German Research Foundation', '2026-11-23']]
[['Kay Mursch', 'startAlumniOf', 'Zhejiang University', '2026-07-01']]
[['Ferdinand Marlétaz', 'endMemberOf', 'Radboud University Nijmegen', '2026-07-31']]
[['Jos J M Westenberg', 'startWorksFor', 'Leiden University Medical Center', '2026-10-08']]
[['Maanasa Venkataraman', 'startWorksFor', 'Shanmugha Arts, Science, Technology & Research Academy', '2026-09-30']]
[['Ashutosh Dhar Dwivedi', 'endWorksFor', 'Polish Academy of Sciences', '2026-09-30']]
[['Dmytro Brovkin', 'endMemberOf', 'FC Prykarpattia Ivano-Frankivsk ( 2004)', '2026-05-12']]
[['Erik Van Sebille', 'endAlumniOf', 'Utrecht University', '2026-04-16']]
[['Fatima Suleman', 'startMemberOf', 'University of Seville', '2026-06-21']]
[['Chiz-Tzung Chang', 'endAlumniOf', 'Chang Gung University', '2026-07-13']]
[['O\' Brian Woodbine', 'endMemberOf', 'Ottawa Fury FC', '2026-08-23']]
[['John Elleray', 'endMemberOf', 'Cumbria County Cricket Club', '2026-02-14']]
[['Thomas Lecocq', 'endAlumniOf', 'University of Mons', '2026-01-31']]
[['Shinnosuke Horiuchi', 'startWorksFor', 'University of Tokyo', '2026-11-18']]
[['Emmanuelle Mourey', 'startWorksFor', 'Emlyon Business School', '2026-10-17']]
[['Khas-Magomed Gilagayev', 'endMemberOf', 'FC Energiya Chaykovsky', '2026-05-01']]
[['Jian Kang', 'startWorksFor', 'Tsinghua University', '2026-11-23']]
[['Jordy Hendrikx', 'startAward', 'Member Of The New Zealand Order Of Merit', '2026-03-06']]
[['Lee Cronin-Fine', 'endAlumniOf', 'Northeastern University', '2026-05-01']]
[['Li Xingcan', 'endMemberOf', 'Shenyang Zhongze F. C.', '2026-09-01']]
[['Mike Y Tan', 'startAlumniOf', 'Mito HollyHock', '2026-10-09']]
[['Jorge Rodríguez-Chueca', 'endWorksFor', 'King Juan Carlos University', '2026-01-31']]
[['Derell Johnson', 'endMemberOf', 'Jacksonville State Gamecocks men\' s basketball', '2026-11-11']]
[['Peter Freeman', 'startAward', 'Fellow Of The American Mathematical Society', '2026-09-30']]
[['Oleh Mishchenko', 'endMemberOf', 'Ukraine national under-19 football team', '2026-11-05']]
[['Angelina Jolie', 'endMemberOf', 'U. S. Committee for Refugees and Immigrants', '2026-02-01']]
[['Rachel M Mcloughlin', 'startWorksFor', 'Poznań University of Medical Sciences', '2026-11-12']]
[['Wenqing Zhang', 'startWorksFor', 'University of Alberta', '2026-01-11']]
[['María G Guevara', 'endAlumniOf', 'National University of Mar del Plata', '2026-01-30']]
[['Isidra Recio', 'startAward', 'Order of San Carlos', '2026-04-27']]
[['Alan Herbert Sommerstein', 'endMemberOf', 'University of Naples Federico II', '2026-08-02']]
[['Irene Serrano', 'startAlumniOf', 'São Paulo FC', '2026-03-31']]
[['Lawrence A Palinkas', 'startWorksFor', 'University of Chicago', '2026-12-31']]
[['Cise Kizilirmak', 'endAlumniOf', 'Constructor University', '2026-09-01']]
[['Mark Bradley', 'endMemberOf', 'Massachusetts General Hospital', '2026-06-02']]
[['Joanna Jeruzal-Świątecka', 'endAlumniOf', 'Medical University of Łódź', '2026-09-30']]
[['Aimee Parsons', 'endAlumniOf', 'National University of Ireland', '2026-11-23']]
[['Memmi Ochi', 'startAward', 'Fellow Of The American Statistical Association', '2026-04-01']]
[['Reyhan Yusifqizi', 'endAlumniOf', 'Bdu Tətbiqi Riyaziyyat Və Kibernetika Fakültəsi', '2026-02-25']]
[['Hyeongap Jang', 'endWorksFor', 'Korea Foundation For International Healthcare', '2026-11-11']]
[['Marlo Miles', 'endMemberOf', 'Tulane Green Wave men\' s basketball', '2026-08-28']]
[['Rene Cortese', 'endWorksFor', 'University of Chicago', '2026-07-23']]
[['Sékou Bamba', 'endMemberOf', 'Antalyaspor', '2026-04-16']]
[['Giovanni Paternoster', 'endAlumniOf', 'University of Trento', '2026-09-30']]
[['Pranesh Rao', 'startAlumniOf', 'Kwame Nkrumah University of Science and Technology', '2026-07-17']]
[['Jeff Eastin', 'endMemberOf', 'Paris 1 Panthéon-Sorbonne University', '2026-04-15']]
